country,hazard,rp,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Tonga,earthquake,1.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,17.446314550879112,0.003906265041927807,0.0,0.0,266.36336,4.2243794896067985,4.2243794896067985,1081.436985013694
Tonga,earthquake,20.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,114.62522585425647,0.02566481943058852,0.0,0.0,266.36336,27.754884945936524,27.754884945936524,1081.436985013694
Tonga,earthquake,50.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,267.8210253371963,0.059965668148247095,0.0,0.0,266.36336,64.84909136657205,64.84909136657205,1081.4369850136943
Tonga,earthquake,100.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,581.9877791506054,0.13030823844745223,0.0,0.0,266.36336,140.92014850905827,140.92014850905827,1081.4369850136943
Tonga,earthquake,250.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,1064.5978609781432,0.23836560987836194,0.0,0.0,266.36336,257.77738647780615,257.77738647780615,1081.436985013694
Tonga,earthquake,500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,1597.696382135332,0.35772744478204394,0.0,0.0,266.36336,386.85968934174633,266.36336,744.5986151895329
Tonga,earthquake,1000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,2187.108931775591,0.4896981043284331,0.0,0.0,266.36336,529.5776415118621,266.36336,543.9338189092807
Tonga,earthquake,1500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,2536.872735457466,0.5680109259429765,0.0,0.0,266.36336,614.2680232066093,266.36336,468.9405570109414
Tonga,earthquake,2000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,0.0,0.0,0.0,0.0,266.36336,0.0,0.0,
Tonga,flood,1.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,flood,20.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
