country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
"Congo, Rep.",5301.39727121,5125821.0,0.65798,1528.24483012,1,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.372753423902,1.0,0.153842015674,1.10234974661,30.2068225101,154834765.165,1.48036263629e-06,7.58807388871,0.0,0.58231138,26506.986356,30.2068225101,33.2984831398,33.2984831398,30.2068225101,1.48036263629e-06,0.0056917214795,5.0,0.0,0.0,71111.3155677,3.38930574372,0.0,0.787810745794,1.83436809608,1.83436809608,38.8800735802,199292297.639,0.00733392945128,0.776922976953,0.00569789830205
Costa Rica,15401.4925047,4857274.0,0.77675,11824.638102,1,0.2,1.5,0.06,0.8,0.05,0.933333333333,0.75,0.481896754917,1.0,0.196189451166,1.13806731649,61.5089972981,298766053.342,5.98340294442e-07,2.90630275534,0.0,1.3456361,77007.4625234,61.5089972981,70.001379495,70.001379495,61.5089972981,5.98340294442e-07,0.00462196318273,5.0,0.0,0.0,159800.749305,3.39360403347,0.0,1.04321155668,1.98416866932,1.98416866932,77.813604594,377961998.441,0.00505234181495,0.790465852586,0.00399370368031
Cote d'Ivoire,3448.14401279,23695919.0,0.54869,1526.19717484,1,0.2,1.5,0.06,0.8,0.05,0.4,0.45,0.575976439362,1.0,0.109442382129,1.16885525078,7.19655506636,170528985.931,6.83431783441e-07,16.1945441824,0.0,0.54207842,17240.7200639,7.19655506636,8.41173117683,8.41173117683,7.19655506636,6.83431783441e-07,0.00172546173919,5.0,0.0,0.0,29933.0300438,3.39698628672,0.0,0.553698551804,3.39373960166,3.39373960166,9.41557113213,223110610.886,0.0027306200371,0.764324857767,0.00208708077147
Croatia,21408.5515146,4170600.0,0.59284,12090.6665636,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.558333333333,0.230522471532,1.0,0.319203080089,1.05580412689,133.162368689,555366974.855,7.10471388173e-07,2.96309197152,0.0,1.4150729,107042.757573,133.162368689,140.593378408,140.593378408,133.162368689,7.10471388173e-07,0.00272760929662,5.0,0.0,0.0,464348.472673,3.3957341281,0.0,1.77290329,2.4647497964,2.4647497964,151.428238478,631546611.395,0.00707325941107,0.879376066365,0.00622005503728
Cyprus,31195.5062212,1170125.0,0.6684,23324.2017354,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.201747782914,1.0,0.37022945668,1.04638750068,56.8823639244,66559476.087,2.35920250427e-07,0.276056183031,0.0,1.2116548,155977.531106,56.8823639244,59.5209946195,59.5209946195,56.8823639244,2.35920250427e-07,0.0030148343471,5.0,0.0,0.0,773131.326913,3.39408891145,0.0,1.93502983,0.864900761905,0.864900761905,88.4303247535,103474533.752,0.00283471356824,0.643244996362,0.00182341531889
Czech Republic,31071.7483717,10561633.0,0.7298,18266.5496886,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.9,0.239799831571,1.0,0.486997761933,1.05884017822,58.5055046856,617913668.969,1.7847054273e-07,1.88494037362,0.0,2.0008619,155358.741858,58.5055046856,61.9479790082,61.9479790082,58.5055046856,1.7847054273e-07,0.000962282232317,5.0,0.0,0.0,647868.436106,3.39850296432,0.0,2.406354512,2.354,2.354,66.5088845456,702442429.81,0.00214049379359,0.879664500244,0.00188291640321
Denmark,45686.4845315,5731118.0,0.87847,53417.6642756,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.916666666667,0.230106064028,1.0,0.451262143978,1.05566785595,2.68981835412,15415666.386,4.61055496364e-09,0.0264236345421,0.0,3.3538486,228432.422658,2.68981835412,2.83955477479,2.83955477479,2.68981835412,4.61055496364e-09,5.45469306854e-05,5.0,0.0,0.0,992726.652479,3.39991714751,0.0,2.426238312,1.3,1.3,3.06255068086,17551839.333,6.70340629677e-05,0.878293499248,5.88755817327e-05
Djibouti,3139.27353523,942333.0,0.7743,1862.16727373,1,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.260598620673,1.0,0.0997042200049,1.065646661,7.39503253495,6968583.19376,7.54808799642e-07,0.711281240593,0.0,0.19268074,15696.3676762,7.39503253495,7.88049172887,7.88049172887,7.39503253495,7.54808799642e-07,0.00166256776913,5.0,0.0,0.0,60231.9675968,3.39739881262,0.0,0.647745423723,1.79024013693,1.79024013693,9.03339435253,8512465.60041,0.00287754292551,0.818632758225,0.00235565090202
Dominica,10174.0385414,73543.0,0.6982,7144.45467278,1,0.2,1.5,0.06,0.8,0.05,0.0,0.0,1.47170826203,1.0,0.145975100282,1.46198689402,226.705915369,16672633.134,5.77413376296e-06,0.42464711933,0.0,1.76,40696.1541656,226.705915369,331.441077067,331.441077067,226.705915369,5.77413376296e-06,0.051552163808,4.0,0.0,0.0,27652.3243197,2.63312594781,0.0,0.906929903566,2.57736039426,2.57736039426,403.168785477,29650241.9903,0.0396272123244,0.562310187532,0.0222827851935
Dominican Republic,14098.8758698,10648791.0,0.79841,6722.22353581,1,0.2,1.5,0.06,0.8,0.05,0.6,0.508333333333,0.377150399089,1.0,0.156371125704,1.10378867345,179.234922604,1908635230.71,2.00536918866e-06,21.3547573679,0.0,1.5195851,70494.379349,179.234922604,197.837477456,197.837477456,179.234922604,2.00536918866e-06,0.0153700466953,5.0,0.0,0.0,186913.177129,3.3770069872,0.0,0.841794668456,1.54899736922,1.54899736922,228.411227385,2432303422.47,0.0162006694359,0.784702769018,0.0127127101663
Ecuador,10462.4413269,16385068.0,0.63976,5968.98413849,1,0.2,1.5,0.06,0.8,0.05,0.8,0.458333333333,0.2574734718,1.0,0.204859374659,1.06462394416,202.28165838,3314398727.7,3.6146838748e-06,59.2268410871,0.0,0.79544135,52312.2066346,202.28165838,215.353896974,215.353896974,202.28165838,3.6146838748e-06,0.00719479032177,5.0,0.0,0.0,203175.132059,3.38946288687,0.0,1.09022288084,3.40568509671,3.40568509671,263.202731635,4312594655.62,0.0251569135167,0.768539357943,0.019334078162
"Egypt, Arab Rep.",10319.2569275,95688681.0,0.43222,3514.49009689,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.458333333333,0.492778341883,1.0,0.122676409209,1.14162835718,8.31646517404,795791583.087,1.36955878296e-07,13.1051273494,0.0,0.23856751,51596.2846375,8.31646517404,9.49431247418,9.49431247418,8.31646517404,1.36955878296e-07,0.000681482090519,5.0,0.0,0.0,104704.854601,3.39897408856,0.0,0.601105452802,2.9,2.9,9.76790628651,934678068.688,0.000946570703215,0.851407141931,0.000805917057059
El Salvador,7989.99725603,6344722.0,0.67189,4223.58457943,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.508333333333,0.134243575308,1.0,0.216037682101,1.02429649219,213.190301137,1352633193.81,5.00477453585e-06,31.7539031027,0.0,0.8700515,39949.9862802,213.190301137,218.370077622,218.370077622,213.190301137,5.00477453585e-06,0.00684261866666,5.0,0.0,0.0,297593.28287,3.38934356053,0.0,1.0486889202,2.46,2.46,243.210150901,1543100795.04,0.0304393284638,0.87656826965,0.0266821494808
Estonia,27735.1385141,1316481.0,0.67468,17574.6873553,1,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.280060391597,1.0,0.396474445,1.0720155995,64.7013657513,85178118.6857,2.66615139471e-07,0.350993765425,0.0,1.7029932,138675.69257,64.7013657513,69.3608733945,69.3608733945,64.7013657513,2.66615139471e-07,0.00393267260781,5.0,0.0,0.0,495163.531622,3.39225578808,0.0,2.0846845,0.938124964724,0.938124964724,83.7911962855,110309517.877,0.00302112052705,0.772173791754,0.00233283009272
Ethiopia,1608.29347612,102403196.0,0.19922,706.757754078,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.591666666667,0.378116165384,1.0,0.114872230631,1.10410472414,5.86854867813,600958140.522,1.47149165604e-06,150.685448465,0.0,0.75083545,8041.4673806,5.86854867813,6.47949231937,6.47949231937,5.86854867813,1.47149165604e-06,0.00356569202517,5.0,0.0,0.0,21267.1874857,3.39432234685,0.0,0.588232207438,1.79024013693,1.79024013693,6.45772014033,661291181.243,0.00401526228652,0.908764788596,0.00364892898297
Fiji,8862.74044256,898760.0,0.54099,5153.35154432,1,0.2,1.5,0.06,0.8,0.05,1.0,0.675,0.336139019412,1.0,0.191434908248,1.09036754358,298.406385427,268195722.966,6.330133387e-06,5.6892706829,0.0,2.4,35450.9617702,298.406385427,325.372637468,325.372637468,298.406385427,6.330133387e-06,0.0400073824825,4.0,0.0,0.0,105465.178759,2.67178387898,0.0,0.798942536808,1.136,1.136,359.364507285,322982444.567,0.0405477865017,0.830372447412,0.0336697647145
France,38058.8730457,66896109.0,0.7975,36854.9682805,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.95,0.223449179748,1.0,0.444033858401,1.05348936527,75.9867600254,5083218581.22,1.72737031189e-07,11.5554352667,0.0,2.8015826,190294.365228,75.9867600254,80.0512435881,80.0512435881,75.9867600254,1.72737031189e-07,0.00146965707023,5.0,0.0,0.0,851622.572268,3.39779701144,0.0,2.28075308,1.528,1.528,87.3107103585,5840746797.01,0.00229409605097,0.870302849598,0.00199655833041
Gabon,16785.9980144,1979786.0,0.87366,7179.34066115,1,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.591666666667,0.329912373595,1.0,0.149618862052,1.08832985008,106.436748079,210721983.732,9.95069489329e-07,1.970024644,0.0,1.05737672,83929.9900719,106.436748079,115.838290079,115.838290079,106.436748079,9.95069489329e-07,0.00582232123676,5.0,0.0,0.0,254400.855468,3.3916372063,0.0,0.80700237359,2.00796205625,2.00796205625,147.24477021,291513134.636,0.00877188059263,0.722855880903,0.00634080547296
Georgia,9267.29900371,3719300.0,0.53826,3853.64990353,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.616666666667,0.363265148312,1.0,0.570502910751,1.09924467236,95.252276397,354271791.603,1.91216729389e-06,7.11192381618,0.0,0.043902422,46336.4950186,95.252276397,104.70555736,104.70555736,95.252276397,1.91216729389e-06,0.0143404746951,5.0,0.0,0.0,127555.575408,3.3783318981,0.0,3.15883499158,1.3431918,1.3431918,116.067604451,431690241.235,0.0125244264164,0.820662034402,0.0102783212626
