country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Belarus,16752.098769999997,16742.2555,9507120,0.096,0.77046,4989.254611,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.3864445367538237,1.0,0.43562942058399995,1.1068302153231997,51.53912228185441,489988620.2282637,3.968228454780371e-07,3.7726424107011565,15.988031076912721,0.0350263667264,17020.13235032,51.53912228185441,57.04505781279363,57.04505781279364,51.53912228185441,3.968228454780371e-07,0.0045250089838210225,0.20319999999999996,15.988031076912717,21.801860559426434,15.988031076912721,44042.88515317351,0.6841206264046711,0.8096,0.09519006408736,0.38201599999999986,0.32113407999999993,58.536888929806345,556517227.4823405,0.0034943018026275855,0.8804554397083998,0.0030765770301063246
Belgium,42094.579050000015,41945.69212,11348159,0.086,0.97897,41096.1573,1,0.2,1.5,0.06,0.8,0.05,0.0,1,0.2166915174374668,1.0,0.48314774690999995,1.0512778945961865,24.720348330063935,280530443.38495004,4.954699196504392e-08,0.562267142791041,0.0,0.23308162888,84694.29304860001,24.720348330063935,25.987955746113972,25.987955746113972,24.720348330063935,4.954699196504392e-08,0.00045658037883642636,0.4023999999999999,0.0,8.498351914615597,0.0,390851.9080496137,1.367241169851801,0.0,0.20529465017280005,0.6196960000000001,0.6196960000000001,29.130524092832996,330577819.1587996,0.0006920255470005225,0.8486063708049076,0.0005872572879443944
Belize,7846.015831999998,7831.454486,366954,0.0321,0.43845,4810.565902,1,0.2,1.5,0.06,0.8,0.05,0.0,1,0.9615481265045698,1.0,0.15088172973340003,1.2950350507821216,78.19283433895683,28693173.332017563,3.1202539827857282e-06,1.1449896799991537,0.0,0.20383034672,31415.447391328005,78.19283433895683,101.26246118894895,101.26246118894895,78.19283433895683,3.1202539827857282e-06,0.035195177279394994,0.8008,0.0,11.398795957040997,0.0,32671.736884902224,2.6656970912305487,0.0,0.16002221979744005,1.234881429611466,1.234881429611466,147.5469831391759,54142955.65085315,0.01880533844163366,0.5299521052572134,0.009965928697218162
Benin,2009.961384,2009.961384,10872298,0.032,0.44395,789.4404107,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.3302533219458435,1.0,0.08277983833600004,1.0884414267194695,4.7829584251046064,52001749.31934797,1.2105043518218717e-06,13.160964043304233,0.521191758026952,0.0331465153344,4044.0423046080004,4.7829584251046064,5.205970092160766,5.205970092160767,4.7829584251046064,1.2105043518218717e-06,0.0015139187593753625,0.4023999999999999,0.521191758026952,0.7817876370404279,0.5211917580269518,12245.273660778379,1.3660827949098966,0.40480000000000005,0.031110693898240015,1.3656408157072466,1.3106893840771972,7.422026558562524,80694484.50860621,0.0036926214690712307,0.644427554572232,0.002379627023274496
Bhutan,8253.293783000005,8105.796967,797765,0.067,0.39377,2804.000223,1,0.2,1.5,0.06,0.8,0.05,0.6,1,0.185575394278482,1.0,0.04401946709800002,1.0410950250338622,166.8815733792639,133132278.38690849,3.8083495667780472e-06,3.0381679921406888,26.520607064300847,0.09720164347199999,16605.627091396007,166.8815733792639,173.739575814975,173.739575814975,166.8815733792639,3.8083495667780472e-06,0.0061138306652746355,0.4023999999999999,26.520607064300854,45.54845775593474,26.520607064300847,89481.83651156316,1.3585263135569168,0.6072,0.017600320409920007,1.3663742721658698,1.2839028548637708,194.29376029270125,155000761.67990682,0.023541360019548107,0.8589137043199883,0.020219996739120536
Bolivia,6707.9561840000015,6707.9561840000015,10887882,0.039,0.68911,3104.956089,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,1,0.4218342004210295,1.0,0.17059334626300007,1.1184116172586664,30.62153097928168,333403615.9617634,1.1389932619652108e-06,12.401224235072306,3.1001698558869992,0.110029873792,13496.407842208004,30.621530979281687,34.247475985474786,34.24747598547479,30.62153097928168,1.1389932619652108e-06,0.005166049689728332,0.4023999999999998,3.1001698558869997,5.812818479788124,3.1001698558869997,31994.579455002317,1.3596586211432728,0.6072,0.08556523962095999,0.907579739117879,0.8528001747448795,42.57787615824054,463582891.4215363,0.006347369450593378,0.7191887839937544,0.004564956916731357
Bosnia and Herzegovina,11327.487410000002,11179.34991,3516816,0.077,0.3994,4708.718261,1,0.2,1.5,0.06,0.8,0.05,0.0,1,0.32393223235700314,1.0,0.14356445648199992,1.0863728261278711,64.30563452985284,226151084.40473893,1.064603576194753e-06,3.744014890418927,0.0,0.04014670838879998,22790.90466892,64.30563452985282,69.85989392014224,69.85989392014224,64.30563452985284,1.064603576194753e-06,0.004004885732212148,0.4023999999999999,0.0,27.083422739240532,0.0,70357.01419117293,1.3601464622401858,0.0,0.06227545305327996,0.9931611760976004,0.9931611760976004,87.33239105734039,307131950.1887116,0.007709776042676739,0.7363320040972116,0.005676954844644832
Botswana,15723.23706,15513.44193,2250260,0.028,0.5771,6788.042745000002,1,0.2,1.5,0.06,0.8,0.05,0.6,1,0.2811780767140953,1.0,0.08310013303600002,1.072381366204197,43.58397668854173,98075279.38315794,4.222954266842093e-07,0.9502745068504088,2.6006495746739704,0.12321219196800001,31635.15296472,43.58397668854174,46.738644465870266,46.738644465870266,43.58397668854173,4.222954266842093e-07,0.001360571734241429,0.4023999999999999,2.6006495746739704,4.33441595778995,2.6006495746739704,112509.31557116714,1.3659645033213934,0.8096,0.045148606140959995,1.3144007345812754,1.2086215263589095,56.65324772878372,127484537.23417285,0.0036031542049893713,0.7693111769547872,0.002771946802189964
Brazil,14023.691619999994,14023.69162,207652865,0.036000000000000004,0.8593299999999999,8649.948492,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.26557501018758395,1.0,0.21376261367200006,1.0672752033830792,25.530589912554344,5301500140.482011,2.466435701160179e-07,51.21624396841949,3.5992474891894437,0.029582823638399997,14248.070685919995,25.530589912554344,27.24816554141143,27.248165541411435,25.530589912554344,2.466435701160179e-07,0.0007851387322214233,0.2031999999999999,3.5992474891894437,4.152977872141666,3.5992474891894437,53649.892269066026,0.6897605042103151,0.2024,0.042094151910079994,0.6710987929249718,0.6443605260572522,27.870628289244188,5787415813.611605,0.0019873959756428385,0.9160392671308056,0.0018205327530265783
Bulgaria,17794.52661,17709.07519,7127822,0.06,0.74266,7350.795801,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.3230784715072762,1.0,0.4390931068799999,1.0860934296450326,39.04794265134184,278326784.68497264,2.7810364438126564e-07,1.9822732747009613,6.353482629487813,0.0690065724144,35802.58753932,39.04794265134184,42.409713954778404,42.409713954778404,39.04794265134184,2.7810364438126564e-07,0.0018857378215275116,0.4023999999999999,6.353482629487813,9.530223944231714,6.353482629487812,110817.00174043837,1.3651600195831244,0.8096,0.19047114464304,0.9019081559724799,0.8293251695832832,44.91545523420638,320149369.95839137,0.0025241163318705656,0.8693653987860286,0.002194379401438982
