country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Mauritania,3572.280550327607,4301018.0,0.60446,1077.55613626,4.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.33333333333299997,0.238105970858,1.0,0.10060623869321483,1.220173927631381,-26.53316951265504,-114119639.67098054,-3.756470653509535e-06,-16.156647897216274,-7.653165843101266,0.12945436200000002,17861.402751638034,-26.533169512655043,-32.375081656765516,-32.375081656765516,-26.53316951265504,-3.756470653509535e-06,0.010567668929410952,0.9999999999999998,-7.653165843101266,-34.43924629397292,-7.653165843101267,75014.51008253,3.3848961679076055,0.0,0.09690444424112438,-1.1815141200000001,-1.1815141200000001,-54.57215153101964,-234715806.03364304,-0.01527655814323288,0.48620347133598313,-0.007427515599305807
Mauritius,19548.638516823594,1263473.0,0.39548,9627.59578522,4.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.7416666666670001,0.294812791693,1.0,0.3754589970845792,1.2902746850994464,-164.7506577436364,-208158007.7913255,-1.145928143982155e-06,-1.4478492698615655,-24.03332862847771,0.39581502000000013,78194.55406729438,-164.7506577436364,-212.57360304009708,-212.5736030400971,-164.7506577436364,-1.145928143982155e-06,0.006941896456714119,0.9999999999999997,-24.03332862847771,-44.18793823417782,-24.033328628477708,265234.60402871994,2.7096374965655983,0.0,0.38187151735505503,-1.44,-1.44,-213.080163593369,-269221033.53580475,-0.010900000192340343,0.7731862739604325,-0.008427730534883628
Mexico,16831.124725800204,127540423.0,0.7951699999999999,8201.30625288,4.0,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.766666666667,0.36826304497699996,1.0,0.29596077846731816,1.3810736104423338,-31.688837057469406,-4041607682.687723,-2.9908864645769364e-07,-38.14589248371169,-1.2620642373749358,0.17054885599999997,84155.623629001,-31.688837057469406,-43.76461660567809,-43.764616605678086,-31.688837057469406,-2.9908864645769364e-07,0.0013751025010183514,0.9999999999999998,-1.2620642373749358,-3.0865701457545063,-1.2620642373749358,228520.41435289007,3.3976877982921323,0.0,0.3316961706148463,-2.3833845600000005,-2.3833845600000005,-44.43264115908346,-5666957848.436715,-0.002639909208858352,0.7131882379895661,-0.0018827521971181173
Moldova,4944.335661205439,3552000.0,0.45088999999999996,1900.20147935,4.0,0.2,1.5,0.06,0.8,0.05,0.6,0.375,0.256704773757,1.0,0.37818113626128,1.2431656974400394,-59.27601930518571,-210548420.5720197,-3.1193673580059526e-06,-11.079992855637144,-6.080464714085634,0.079483202,24721.6783060272,-59.27601930518572,-73.68991388100045,-73.68991388100045,-59.27601930518571,-3.1193673580059526e-06,0.00563899815871944,1.0,-6.080464714085634,-27.024287618158375,-6.080464714085633,96303.92900067003,3.3910154727017456,0.0,0.3902512663062354,-2.833479917452999,-2.833479917452999,-73.78933041545972,-262099701.63571292,-0.014924013147899779,0.8033142321720635,-0.011988672162830892
Mongolia,11328.47573582178,3027398.0,0.72823,3686.45169811,4.0,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.5666666666669999,0.20767487925099998,1.0,0.2712847408979993,1.1825551272680546,-59.256230467885146,-179392193.6060146,-9.485287089699282e-07,-2.8715739164781433,-7.722903928056499,0.37234157999999995,56642.378679108886,-59.256230467885146,-70.0737591623751,-70.0737591623751,-59.256230467885146,-9.485287089699282e-07,0.005440760482390114,1.0,-7.722903928056499,-25.55372623254083,-7.722903928056498,272745.45136799995,3.39137442680206,0.0,0.29502440995605106,-1.125749957668,-1.125749957668,-77.81753420652493,-235584647.42176515,-0.0068691972354637315,0.7614765884334146,-0.0052307328761371655
Montenegro,15658.11321311891,622781.0,0.64223,6701.00008024,4.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.364896662392,1.0,0.34022429934482246,1.3769121010214045,-43.08661732518338,-26833526.624395028,-4.2716560265979786e-07,-0.26603062119007154,0.0,0.061898894,78290.56606559452,-43.08661732518338,-59.32648478712349,-59.32648478712349,-43.08661732518338,-4.2716560265979786e-07,0.0016413252960481438,0.9999999999999998,0.0,-8.714412745225342,0.0,214555.4457867,3.396713979361371,0.0,0.3388315773694862,-2.9566750119599994,-2.9566750119599994,-56.95035076862519,-35467596.40203517,-0.0036371145101256656,0.7565645644613036,-0.0027517119552491116
Morocco,7265.847078941905,35276786.0,0.60685,2832.42977714,4.0,0.2,1.5,0.06,0.8,0.05,0.8666666666670001,0.75,0.269256967219,1.0,0.1511473168472326,1.2586826715291388,-27.577705990215723,-972852832.5877581,-8.171138483788618e-07,-28.825150366897553,-3.930972934860776,0.14832190600000003,36329.23539470952,-27.57770599021572,-34.71158065040986,-34.71158065040986,-27.577705990215723,-8.171138483788618e-07,0.002823980973574477,1.0,-3.930972934860776,-6.047650669014253,-3.930972934860776,134924.03100997998,3.396018565357972,0.0,0.1685189160860275,-1.8439305,-1.8439305,-34.43392554578754,-1214718222.6186802,-0.004739148122947009,0.8008876581191723,-0.003795525241666901
Myanmar,5351.554802902524,52885223.0,0.3465,1275.01760815,4.0,0.2,1.5,0.06,0.8,0.05,0.46666666666699996,0.25,0.7219105979680001,1.0,0.09321720564694358,1.8182513780609986,-90.29105746302551,-4775062708.837918,-6.420551863241666e-06,-339.552317070601,-3.1185198733971533,0.14794113000000003,26757.77401451262,-90.29105746302551,-164.1718396587309,-164.17183965873093,-90.29105746302551,-6.420551863241666e-06,0.03268836892563036,1.0,-3.1185198733971533,-26.730170343385076,-3.1185198733971533,37065.21844925001,3.351374422332368,0.0,0.0857007269548951,-1.8768000000000002,-1.8768000000000002,-171.02735540786722,-9044819829.845314,-0.03195844230448824,0.5279334247302063,-0.016871929894851184
Namibia,9812.40862857448,2479713.0,0.47625,4140.46193249,4.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.608333333333,0.27517268198,1.0,0.1705941894686923,1.2659956557452308,-83.80632487111554,-207815633.26512852,-1.661090705783465e-06,-4.119028217310432,-2.9233854897082474,0.30774609999999997,49062.04314287241,-83.80632487111556,-106.09844321080574,-106.09844321080577,-83.80632487111554,-1.661090705783465e-06,0.0030580967000092105,0.9999999999999998,-2.9233854897082474,-6.553043438954072,-2.9233854897082474,178295.47173740994,3.3956142504850435,0.0,0.19501674069554123,-3.9196840991490003,-3.9196840991490003,-109.85957094639852,-272420206.2502067,-0.011195984095737625,0.7628495555658542,-0.008540851491555819
Nepal,2287.7232646777584,28982771.0,0.18995,729.532501133,4.0,0.2,1.5,0.06,0.8,0.05,0.6,0.33333333333299997,0.27019930027100003,1.0,0.30540940932363303,1.2598475800844007,-28.492595937262564,-825794383.2452114,-4.599001740445673e-06,-133.29181427193836,-1.3810922663983924,0.19528356400000005,11438.616323388787,-28.492595937262564,-35.896328041882875,-35.89632804188286,-28.492595937262564,-4.599001740445673e-06,0.006073396632064823,0.9999999999999998,-1.3810922663983924,-6.905461331998867,-1.3810922663983927,42333.99683832,3.39060250288615,0.0,0.29246270184541645,-2.7517505999999994,-2.7517505999999994,-34.240756700828065,-992392010.3268154,-0.014967175982122606,0.8321251830446116,-0.012454564053784688
