country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Madagascar,1396.669615,1396.091734,24894551,0.057,0.35741,401.3188701,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.2940729838426214,1.0,0.09733548598600002,1.2211203247123867,36.556072490264725,910047010.9685923,1.6522768690496654e-05,411.32690782677224,1.9427564775961053,0.0315072053296,5592.265138459999,36.556072490264725,44.63936310952161,44.63936310952161,36.556072490264725,1.6522768690496654e-05,0.0181701125355247,0.8008,1.942756477596105,12.951709850640704,1.942756477596105,19016.58923368766,2.693666455890274,1.2016000000000002,0.07517126384768,1.9778069117676973,1.8590989804400213,58.6810203794331,1460837654.5678368,0.042014961698320544,0.6229624545362733,0.026173743666833275
Malawi,1083.8014209999997,1083.970196,18091575,0.055,0.16454000000000002,300.7948251,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.3333333333333333,0.25307656921941635,1.0,0.03173888585999999,1.1823924870751237,9.577038927163276,173263718.02869394,6.248025599884892e-06,113.03662374223754,0.8647436737866981,0.03161900171519998,2180.6084590519995,9.577038927163276,11.32381887590386,11.323818875903862,9.577038927163276,6.248025599884892e-06,0.005665798302395482,0.4024000000000001,0.8647436737866981,3.253192037427596,0.8647436737866981,8616.398056042166,1.3599656891435905,0.8096000000000002,0.012153113538559995,0.9938430335855661,0.913861391439356,15.168446431245593,274421086.244362,0.013995595629732615,0.631379025569518,0.008836525530965582
Malaysia,25668.88436,25660.45985,31187265,0.046,0.7537,9502.568396,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.7666666666666666,0.2505940745612133,1.0,0.10045609527800002,1.1800473637041682,70.76866941770105,2207081246.8272386,3.703409885217078e-07,11.54992254938846,12.612117002856781,0.14689721452800003,51645.79533232,70.76866941770105,83.51038177920992,83.51038177920992,70.76866941770105,3.703409885217078e-07,0.003789500643505578,0.4023999999999999,12.612117002856781,20.563234243788237,12.612117002856783,206093.44184514767,1.3627331584925262,1.0120000000000002,0.04511643434144,0.5177955186602061,0.4657071424291796,103.62643913677444,3231825218.3649554,0.004037044917240588,0.6829209804680726,0.0027569826730755916
Maldives,14231.534129999998,12235.54647,417492,0.064,0.4654,8601.632488,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.4958333333333334,0.326357971697339,1.0,0.072440863216,1.2516187909624277,0.23117125619569673,96512.15009165382,3.1515975225070276e-09,0.001315766752866504,0.026382278847086854,0.13914999999999997,14402.31253956,0.23117125619569676,0.2893382881849236,0.2893382881849236,0.23117125619569673,3.1515975225070276e-09,1.2509559499262658e-05,0.25299999999999995,0.026382278847086858,0.08867992889777092,0.026382278847086854,44130.4144178116,0.6881399531218286,0.40320000000000006,0.018831319478400003,0.5015471999999997,0.4615820159999997,0.36407678409604793,151999.14474582725,2.5582398971912382e-05,0.6349519285325013,1.6243593563703644e-05
Mali,1971.0844799999998,1962.690874,17994837,0.08,0.40683,780.5071109,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.6438448659589122,1.0,0.05470128307199999,1.5515372351953896,3.702813404560248,66631523.65647672,1.581460670683016e-06,28.458126990851554,1.153376922469594,0.00725174385056,2002.6218316799998,3.7028134045602483,5.745052872155835,5.745052872155835,3.702813404560248,1.581460670683016e-06,0.010139895584306944,0.20319999999999996,1.153376922469594,5.8099267968178925,1.153376922469594,3110.410500357705,0.6749736635572048,0.6071999999999999,0.010341420857375997,0.21271962536,0.18729376777759993,9.41644006159609,169447304.0286916,0.004777288927563414,0.39322858536123045,0.0018785665668476313
Malta,35705.09569,35694.04006,436947,0.086,0.95529,25058.17061,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.375,0.22391636903978407,1.0,0.4232675872499999,1.154845895296152,49.95007806954477,21825536.762253378,1.5100057190124803e-07,0.06597924689053462,0.0,0.1179127246,36133.556838280005,49.95007806954477,57.68464262833613,57.68464262833613,49.95007806954477,1.5100057190124803e-07,0.0012059013651313667,0.25299999999999995,0.0,26.881799236593956,0.0,161370.76977994404,0.6857493668000939,0.0,0.11214862559999998,0.30926719999999996,0.30926719999999996,69.32172470409708,30289919.644281108,0.0019415078818430993,0.7205544622953185,0.0013989621678435773
Mauritania,3572.280549999999,3572.28055,4301018,0.075,0.60446,1077.556136,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.2381059708580064,1.0,0.10063609187423159,1.1682503015205559,15.375564498194327,66130579.666894756,2.445213960147196e-06,10.516909256444373,3.695455747173679,0.052092435268799996,7187.428466599998,15.375564498194322,17.96250786106427,17.96250786106427,15.375564498194327,2.445213960147196e-06,0.008396422477429106,0.4024000000000001,3.6954557471736793,19.84181862067598,3.695455747173679,30185.838854440968,1.3560980100946698,0.6072000000000001,0.038994348362617705,0.39620106824000006,0.37228722245120005,35.5228615014598,152784466.72928563,0.009944029032506926,0.4328357527605841,0.004304131291758238
Mauritius,19567.489659999996,19548.63852,1263473,0.07400000000000001,0.39548,9627.595785,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7416666666666667,0.29481279169257346,1.0,0.37545899733200006,1.2218191945662276,106.4977171965037,134556990.23941812,7.207696425841247e-07,0.910672982624692,15.528691238359489,0.19869914004,39291.51923728,106.4977171965037,130.12095504817404,130.12095504817404,106.4977171965037,7.207696425841247e-07,0.006401509942601586,0.5019999999999999,15.528691238359487,28.551219845809065,15.528691238359489,133276.1682819131,1.3558818886174904,1.6032000000000002,0.19169950183520001,0.6023999999999999,0.5062079999999999,134.2455704616141,169615653.64784697,0.006860643485405278,0.7933052601311372,0.005442584564856426
Mexico,16832.463040000006,16831.12473,127540423,0.057,0.7951699999999999,8201.306253,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.7541666666666667,0.3682630449767729,1.0,0.2973997872790001,1.2912050057341198,23.384329533147124,2982447280.2289767,2.4514398604913267e-07,31.265767676612477,2.9815803023619507,0.13657552388480002,67397.18201216,23.384329533147127,30.193963348935785,30.193963348935785,23.384329533147124,2.4514398604913267e-07,0.0016451853769700376,0.8007999999999997,2.9815803023619507,7.412768707529714,2.9815803023619507,183013.69885325007,2.7199547954959904,2.4032,0.26562229325632003,1.5905119630399995,1.3995869705535997,36.42462435575691,4645611997.949339,0.0021639509481885606,0.64199233202116,0.0013892399156069744
Moldova,4944.3996929999985,4944.335661,3552000,0.1,0.45089,1900.201479,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.375,0.25670477375728673,1.0,0.37853269379999993,1.1858199213409946,38.397565481249714,136388152.589399,2.085560184708419e-06,7.407909776084303,4.197884705854392,0.0319840404848,9948.132182316,38.397565481249714,45.53259807866122,45.53259807866122,38.397565481249714,2.085560184708419e-06,0.0050651012477160185,0.4024,4.197884705854392,19.9161757494523,4.197884705854393,38753.20289805719,1.3601228977905953,0.6072,0.15703710967983994,0.9501602656530838,0.8928106321238041,49.336982643265024,175244962.34887737,0.009978356465217312,0.7782714593408836,0.007765870048008218
