country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Benin,1733.3093993643502,10323474.0,0.4395,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,20.0,0.08292798928509816,1.255298588167888,2.6845078565456943,27713447.059845205,9.466883032436003e-07,9.773112084639425,0.7139619098172509,0.44121735,8666.546996821753,53.69015713091388,55.840310298366795,67.39717844494827,53.69015713091389,1.8933766064872006e-05,0.019106904420114094,5.0,2.7223700497635464,14.279238196345014,26242.11906714123,3.3742327382748654,1.6000000000000005,0.38949999588377865,3.3937396016581687,3.1765402671520446,4.648290584291539,47986506.99137851,0.0026817431359895632,0.5775258254330605,0.0015487759182118168
Bolivia,5934.38797771874,10671200.0,0.68512,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,20.0,0.25299094871638006,1.3418117485225833,10.632119855724387,113457477.40440609,5.92932594720206e-07,6.327302304778263,3.0298703994763407,0.9922858899999999,29671.9398885937,212.64239711448775,234.94717890097746,285.3260666822243,212.64239711448778,1.185865189440412e-05,0.04083250444491936,5.0,10.218520208279937,60.597407989526815,70340.28976071253,3.334218359382375,2.4000000000000004,1.3539148475841705,2.255416846714412,2.038896829429828,18.44342309381318,196813456.5186992,0.0031078896700149836,0.576472154959722,0.0017916118554505969
Bosnia and Herzegovina,9387.350031380154,3829307.0,0.39766999999999997,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,20.0,0.14001290809823436,1.2493272822979196,25.874116775867453,99079936.48864667,5.798792670868781e-07,2.2205357366106515,5.795083564789837,0.3487670600000001,46936.75015690078,517.4823355173489,530.6275597856035,646.5047998690698,517.4823355173489,1.1597585341737561e-05,0.038943012660252886,5.0,0.02443121233047863,115.90167129579675,144896.8193605759,3.3236921466748397,0.0,0.7562381074406394,2.4681242856999996,2.4681242856999996,35.88764671117686,137424816.76463655,0.0038229794980704007,0.7209755764734835,0.002756274847467616
Botswana,15246.608797311901,2021144.0,0.57444,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,20.0,0.07042621696111831,1.2089389699717095,16.83008704874559,34016029.45804985,1.7856780315165028e-07,0.36091124393313895,4.817990707585366,0.95434085,76233.04398655951,336.60174097491176,325.0450110385192,406.9309620248939,336.6017409749117,3.5713560630330044e-06,0.011057889305620492,5.0,14.473863165332533,96.35981415170733,271120.1558721594,3.3822623656912003,3.200000000000001,0.5033290597731997,3.2664034159574444,2.848303778714892,22.872522518035844,46228661.65219304,0.0015001711411437573,0.7358212036068358,0.0011038577346926398
Brazil,14555.082195311496,200361925.0,0.8568700000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5583333333333333,0.26557501018758395,20.0,0.2190353062941068,1.1941993145009573,10.1176854966641,2027198942.6562004,1.0412153752432123e-07,20.861991692332733,3.137608002040793,0.5823356000000001,72775.41097655748,202.353709933282,193.05052785923343,241.6506616890509,202.353709933282,2.082430750486424e-06,0.005998439709081854,5.000000000000001,14.152026210998377,62.752160040815845,274029.58932451485,3.391482721470091,0.8000000000000003,1.106351119339643,3.302651539985098,3.1969666907055743,12.441541989805684,2492811303.0457973,0.0008547902253560184,0.8132179680745603,0.0006951307701940167
Bulgaria,15695.017794275904,7265115.0,0.73948,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,20.0,0.4277098855127999,1.2485207651457937,13.20544489541507,95939075.79135346,1.1650639207134977e-07,0.8464323366334442,4.7407096439028615,0.29565078,78475.08897137953,264.1088979083014,267.75452510544613,329.7454432982848,264.1088979083014,2.3301278414269953e-06,0.014565546039415986,5.0,32.823274685218614,94.81419287805724,242897.92075982428,3.3769873004374875,3.2000000000000006,2.3105104979999997,2.2431041456000003,1.9559868149632,15.585864961200407,113233101.3175915,0.0009930453832861976,0.8472705832040007,0.0008413781410449371
Burkina Faso,1630.4444967271695,16934839.0,0.29859,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,20.0,0.345259870363266,1.3265373735307222,1.6549713109531046,28026672.700609762,4.3730943000501866e-07,7.405764790316759,0.5099870392867084,0.46578390000000003,8152.222483635846,33.09942621906208,35.925262192892205,43.90762592200855,33.09942621906208,8.746188600100371e-06,0.013143826677103319,5.0,2.21737705661783,10.19974078573417,20095.94280305194,3.379677521908667,2.4000000000000004,1.8353202004681712,3.3937396016581687,3.0679405998989835,1.958937298039245,33174287.75338963,0.0012014743844218352,0.8448311809722605,0.0010150430230990188
Burundi,746.960151427392,10162532.0,0.12057000000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4629793127178333,20.0,0.10213299974961002,1.3806800555012047,1.3374992207719596,13592378.631070105,1.4193442364517596e-06,14.424131221956571,0.40163174762682974,0.21190360000000005,3734.8007571369594,26.74998441543919,31.178882346871518,36.93316996736495,26.749984415439194,2.8386884729035187e-05,0.038218213662101305,5.0,2.2783473320431638,8.032634952536595,8066.8847495852715,3.3428005730613015,2.4000000000000004,0.5141961935036782,2.4697888508587633,2.2326891211763216,1.9715465784534307,20035905.1930235,0.002639426714645934,0.6784010255649926,0.0017905897901194406
Cambodia,2943.5246683518503,15135169.0,0.20723000000000005,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.4592944496539701,20.0,0.029051198359788716,1.377199097964687,22.4511985028491,339802683.5931681,3.573093970017285e-06,54.07938108909254,4.525381538010137,0.050486593999999996,14717.623341759254,449.023970056982,527.9068541038022,618.395406526998,449.023970056982,7.146187940034571e-05,0.2866647401604847,5.0,0.0190783370067871,90.50763076020274,32043.982575551327,3.0049989927575957,0.0,0.14280992386390398,1.5154131100000001,1.5154131100000001,38.825436820792135,587629547.7815117,0.013190117697410507,0.5782600362354672,0.007627317937654677
Cameroon,2739.343944800181,22253959.0,0.54381,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5666666666666667,0.4197375746029477,20.0,0.047606027121154575,1.3398311415593882,4.369401588182823,97236483.79795542,8.182434534855977e-07,18.2091562658869,1.6866968977991776,0.5024353500000001,13696.719724000905,87.38803176365646,98.71761683554536,117.08520635652792,87.38803176365647,1.6364869069711955e-05,0.0514291124831059,5.0,15.36634843500101,33.733937955983556,32631.626408375203,3.326718117072116,3.2000000000000006,0.31961634933090066,1.8343680960785826,1.5995689797805237,7.982239794253469,177636437.10948515,0.0029139239011608405,0.5473904193317293,0.0015950540261571809
