country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Bolivia,5934.38797771874,10671200.0,0.68512,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,20.0,0.25299094871638006,1.3418117485225833,10.632119855724387,113457477.40440609,5.750881957564198e-07,6.1368811545559065,1.924660700965326,0.9922858899999999,29671.939888593697,212.64239711448778,162.15961637710066,285.32606668222434,212.64239711448778,1.1501763915128395e-05,0.04083250444491936,5.0,38.49321401930652,161.6596643244302,70340.28976071253,3.334218359382375,2.4000000000000004,1.3539148475841705,2.255416846714412,2.038896829429828,17.88836539775379,190890324.83251026,0.003014357245417298,0.5943594967631555,0.0017916118554505969
Bosnia and Herzegovina,9387.350031380154,3829307.0,0.39766999999999997,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,20.0,0.14001290809823436,1.2493272822979196,25.874116775867453,99079936.48864667,4.1829593212075296e-07,1.601783540941524,0.0,0.3487670600000001,46936.75015690078,517.4823355173489,274.90197692790014,646.5047998690698,517.4823355173489,8.365918642415061e-06,0.038943012660252886,5.0,0.0,371.6028229411697,144896.8193605759,3.3236921466748397,0.0,0.7562381074406394,2.4681242856999996,2.4681242856999996,25.887555366629343,99131396.97832131,0.0027577064112973408,0.9994808860639188,0.002756274847467616
Botswana,15246.608797311901,2021144.0,0.57444,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,20.0,0.07042621696111831,1.2089389699717095,16.83008704874559,34016029.45804985,1.962431990048767e-07,0.3966357642095125,5.5856847583818166,0.9543408499999999,76233.04398655951,336.60174097491176,255.7889038569154,406.9309620248939,336.6017409749117,3.924863980097535e-06,0.011057889305620492,5.0,111.71369516763633,262.8557533356149,271120.1558721594,3.3822623656912003,3.200000000000001,0.5033290597731997,3.2664034159574444,2.848303778714892,25.136541465084097,50804569.96290593,0.0016486644210033034,0.6695466467462684,0.0011038577346926398
Brazil,14555.082195311496,200361925.0,0.8568700000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5583333333333333,0.26557501018758395,20.0,0.2190353062941068,1.1941993145009573,10.1176854966641,2027198942.6562004,1.2453298316357372e-07,24.95166823264622,3.7688789981395323,0.5823356000000001,72775.41097655748,202.353709933282,161.25367915698146,241.6506616890509,202.353709933282,2.490659663271475e-06,0.005998439709081854,5.000000000000001,75.37757996279065,155.7745624948601,274029.58932451485,3.391482721470091,0.8000000000000003,1.106351119339643,3.302651539985098,3.1969666907055743,14.880517287630854,2981489088.7454963,0.0010223588632446328,0.6799283453051886,0.0006951307701940168
Bulgaria,15695.017794275904,7265115.0,0.73948,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,20.0,0.4277098855127999,1.2485207651457937,13.20544489541507,95939075.79135346,1.201380678639482e-07,0.8728168789093882,4.72152546875666,0.29565078,78475.08897137953,264.1088979083014,226.2770355220954,329.74544329828484,264.1088979083014,2.402761357278964e-06,0.014565546039415986,5.0,94.4305093751332,197.89891715132262,242897.92075982428,3.376987300437488,3.2000000000000006,2.3105104979999997,2.2431041456000003,1.9559868149632,16.071699321701722,116762743.817585,0.001024000070109076,0.821658284608627,0.0008413781410449372
Burkina Faso,1630.4444967271695,16934839.0,0.29859,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,20.0,0.345259870363266,1.3265373735307222,1.6549713109531046,28026672.700609762,3.8716677150985876e-07,6.556606941669245,0.42280239907103295,0.46578390000000003,8152.222483635846,33.09942621906208,26.99552995916723,43.90762592200854,33.09942621906208,7.743335430197175e-06,0.013143826677103319,5.0,8.45604798142066,25.368143944261973,20095.94280305194,3.379677521908667,2.4000000000000004,1.8353202004681712,3.3937396016581687,3.0679405998989835,1.7343221463653242,29370466.322831202,0.0010637112455202681,0.9542467726780068,0.0010150430230990188
Burundi,746.960151427392,10162532.0,0.12057000000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4629793127178333,20.0,0.10213299974961002,1.3806800555012047,1.3374992207719596,13592378.631070105,1.1731964895600456e-06,11.922646867441626,0.14249822344406615,0.21190360000000005,3734.8007571369594,26.74998441543919,21.332348105401863,36.93316996736495,26.749984415439194,2.346392979120091e-05,0.038218213662101305,5.0,2.849964468881324,18.4507863308444,8066.8847495852715,3.3428005730613015,2.4000000000000004,0.5141961935036782,2.4697888508587633,2.2326891211763216,1.6296339291361883,16561206.953132246,0.0021816879066735547,0.8207359928256532,0.001790589790119441
Cambodia,2943.5246683518503,15135169.0,0.20723000000000005,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.4592944496539701,20.0,0.029051198359788716,1.377199097964687,22.4511985028491,339802683.5931681,2.8720001158662452e-06,43.468207121655205,0.0,0.050486593999999996,14717.623341759252,449.02397005698197,342.1008071569148,618.395406526998,449.023970056982,5.744000231732489e-05,0.2866647401604847,5.0,0.0,276.29459937008346,32043.982575551327,3.0049989927575957,0.0,0.14280992386390398,1.5154131100000001,1.5154131100000001,31.207312201568875,472327944.20650697,0.010602021629749953,0.7194210881679333,0.007627317937654677
Cameroon,2739.343944800181,22253959.0,0.54381,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5666666666666667,0.4197375746029477,20.0,0.047606027121154575,1.3398311415593882,4.369401588182823,97236483.79795542,8.608978857102241e-07,19.158386251782012,1.13038276278844,0.5024353500000001,13696.719724000905,87.38803176365644,79.84906828820283,117.08520635652792,87.38803176365647,1.7217957714204482e-05,0.0514291124831059,5.0,22.607655255768798,59.84379332409388,32631.626408375203,3.326718117072116,3.2000000000000006,0.31961634933090066,1.8343680960785826,1.5995689797805237,8.398348111227245,186896494.53497854,0.0030658246209531222,0.5202691684501187,0.0015950540261571813
Canada,41898.88235946359,35154279.0,0.81828,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8333333333333333,0.3354838938558465,20.0,0.23708781730000006,1.260239721228972,17.05087400100515,599411181.8251812,3.857848619730392e-08,1.356198867177671,9.331181700675817,2.9354254999999996,209494.41179731794,341.01748002010294,356.3064295997673,429.76377395474105,341.01748002010294,7.715697239460783e-07,0.011414915384656162,5.0,186.62363401351635,260.0809783684901,624454.4541006647,3.3840298342978135,3.2000000000000006,1.4845425500000002,1.5066764561178583,1.3138218697347726,22.520033190239243,791675529.8589305,0.0005374852960762258,0.7571424898430181,0.00040695295532516536
