country,_dw_tot_curr,_bbb_complete1_dw_tot_curr,_bbb_incl1_dw_tot_curr,_bbb_fast1_dw_tot_curr,_bbb_fast2_dw_tot_curr,_bbb_fast4_dw_tot_curr,_bbb_fast5_dw_tot_curr,_bbb_50yrstand1_dw_tot_curr
Guinea,148954424.98244432,109472953.21215944,127393219.14778574,125680849.22656891,137459690.4132555,160175759.93472204,171133841.46370313,139779231.13354415
Haiti,2143359988.623226,1185104602.6367562,1555798008.5370076,2035106184.5107894,2090078327.605248,2195029745.0088806,2245161298.0412803,1441369255.308252
Honduras,1811105061.5720417,1010524552.4278578,1386867519.249589,1520678269.1797602,1668022152.7978692,1950115261.4587858,2085229756.1649885,1262679611.445123
Hungary,2721102403.7909064,2213882755.4004006,2647649788.8761616,2474259746.703925,2599960966.9458647,2837928315.1983757,2950665784.4607854,2481783139.9671054
India,30752494967.94862,23134586544.849964,29303847181.414375,24707906842.416565,27774642917.53569,33645373846.880924,36456958284.785065,29692209083.88713
Indonesia,12185310471.728796,9427597276.498251,11035534117.310556,10542149409.844099,11378183341.501541,12965008971.30043,13718657620.2267,11421224469.568012
"Iran, Islamic Rep.",15512126942.700182,10537834256.342096,12459840568.356194,13315857666.56825,14430880468.923641,16561152109.908165,17579414683.987965,13634258463.391905
Iraq,4887028395.446915,3463512849.64382,4329476555.125835,3778137872.758116,4339804642.307907,5420388565.615169,5940432402.332324,4564526078.469932
Ireland,255982830.4925529,220641297.98089772,238179585.92924422,223645485.29286018,240116546.21648744,271277093.8825055,286029762.7298494,252544554.0864593
Israel,502968916.8552265,420922554.81793475,428691255.2631124,427645542.47558004,465896485.5106411,538918002.1754754,573795428.3984286,495062332.88314086
Italy,14872857191.9594,11288050041.49376,13092611245.923826,13462825779.763561,14180417478.080732,15541452448.06359,16187421207.93896,13587227165.418655
Japan,37037009701.79861,31186666471.008743,35465028975.20146,33749214642.63431,35423216532.25348,38593790428.49044,40096532323.67332,34875412676.50653
Jordan,171896889.0019782,149557778.13997108,146632690.73101348,159284773.5955592,165685671.55264622,177926949.04744756,183783859.0058496,169732892.4479933
Kazakhstan,1956320146.286919,1510581650.8045645,1751983084.495905,1668560686.7111466,1814766331.9909425,2093444049.5137146,2226345871.2475452,1819099260.745409
"Korea, Rep.",12015011327.731852,9483862669.731525,11664060220.987974,10736634110.359732,11387477156.061693,12620468560.890661,13204995361.133493,10689441501.879189
Kyrgyz Republic,324287398.68613213,180222523.0706558,285824200.4323203,255773481.1084272,290585998.23578626,356931371.11008805,388568127.92247796,243911688.90691128
Lao PDR,1850418609.2920382,868462112.3213468,1655897985.4512978,1658242706.204003,1755917868.017817,1941898329.905459,2030500633.1511486,1023362186.7663469
Latvia,420806805.9381814,305599604.8100749,354157428.8951587,380206685.5494265,400877412.07558024,440034114.1896805,458595856.9813861,338245508.5092242
Lebanon,359232738.77731436,305083633.13903785,300325587.42549443,333690971.7138639,346642751.39240074,371476356.1197682,383388135.79029465,352230138.2191667
Lesotho,88852706.64231288,69940366.91394186,63736083.69177148,80936164.64720488,84944426.19393499,92664884.90378413,96384631.90751083,85899287.1137186
Liberia,17615375.21121362,13519199.531685334,15296448.638522532,14181632.869795937,15919014.74924327,19272274.54580659,20891188.54492506,16792534.441617236
Lithuania,309061859.1295768,250708894.09707138,279901348.2494742,269547535.29745924,289664567.1341242,327777472.837475,345846825.0329479,287462870.23857003
Luxembourg,25560698.81330168,22920519.73415629,22440865.742939927,23009158.223784655,24308346.53926646,26768708.082540598,27934693.539489713,25462234.82941883
"Macedonia, FYR",132979751.80868328,96660071.5369345,109307163.41680755,118003307.42460829,125627139.13275215,140075399.74584246,146927353.25771487,122673211.09924679
Madagascar,1889357438.9778264,1082599108.8262026,1519392181.4924285,1641851123.7877436,1767309527.7340553,2008137683.537722,2123784939.83324,1402294727.68694
Malawi,292290533.0788641,197512379.31414586,236413486.34581697,258350469.31147414,275552272.9265464,308584370.1220054,324451836.1870789,262308898.56562132
Malaysia,3352546478.035931,2516242411.5616937,2924837856.6863704,2946045133.992741,3152777185.6962605,3545700410.442333,3732563549.9760733,3062050981.7406445
Mali,206862309.82842374,112105486.27801356,190429909.15657797,156116874.77432564,181851711.77239013,231180773.11671495,254837240.85938066,161771750.89892
Malta,29485988.935542535,26126912.174490385,24579123.131561812,26837822.24350229,28185784.1746135,30740940.145345293,31952968.804448906,28704988.562518068
Mauritania,186537861.20950848,112620808.50355266,147598773.56485844,166623963.71556935,176728934.75721213,196063966.06389827,205319673.7083119,146054634.21543983
Mauritius,177176967.8744277,138943524.1947572,167168212.66495118,154554976.40852484,166070844.78078258,187894890.0832564,198244667.6487736,163405738.9566972
Mexico,4681748090.047223,3746985792.687395,4084635913.765324,3919819549.6353307,4307303943.737041,5043805703.037455,5394087142.844781,4617051384.493895
Moldova,190315842.9048053,144728049.54032058,178624419.34415412,169853699.77750683,180261287.67707604,200035184.1423826,209435941.07934073,168722858.03416327
Mongolia,191532825.46707585,146697778.31590924,158502488.4757091,174719922.13207707,183277662.3063867,199501228.51902288,207197601.6702626,171435570.99406147
Montenegro,34593479.69890277,28691861.957062863,28866698.05575101,29345084.197793894,32011008.08691645,37096461.20010552,39523662.00413947,33823383.87069739
Namibia,236361270.63997605,173409035.76374838,194406339.5334578,205339686.34286958,221082377.87887713,251197111.1520571,265609394.40820327,219993536.14115435
Nepal,1017641410.8504573,721151425.4979833,833506638.9708685,897436947.456922,958481776.2985946,1075004707.84594,1130654876.0374568,901305341.894009
Netherlands,775259196.152771,682425728.6031984,754612954.7461966,690697443.9971379,733748767.3685833,815310171.9072908,853977479.2199547,771658401.4364085
Nicaragua,500750475.92121315,349817667.44679916,393012724.74895906,432198700.19923204,466984443.08668685,533542454.77011156,565403273.4142022,450838409.9030832
Niger,197360701.0641819,129602607.3432202,172761011.91779122,176986672.6498325,187321313.26766324,207117999.4465017,216605565.65634686,162038777.46929896
Nigeria,2347100948.166269,1477293700.5351155,2194382728.498484,1622968307.947478,1989352742.972064,2696531119.366035,3037945147.935554,2257987324.13927
Norway,7065781.029127679,5959550.949104707,6768032.266049777,5959550.949104707,6522653.568197028,7589981.665324157,8096231.462607729,7065781.029127679
Pakistan,7712459106.355889,5727649205.883238,7019755177.432495,6440276225.444509,7085168546.199355,8322888494.018966,8917154764.569195,7220163888.714888
Panama,309270545.7698519,226592026.75961646,280504487.89053667,233892436.0206224,272067278.8721961,345541361.8562983,380916644.36636025,299640641.7991872
