country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Bhutan,7743.337996000002,8253.293783,7743.337995999998,7601.368909999999,774830.0,0.38644,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.185575394278482,1.0,0.044017987643799994,1.1905121288008422,178.31468491755004,138163567.3146653,5.611031280307071e-06,4.347595366920328,11.8652624059071,0.24155477999999997,38716.68998,178.31468491755,212.28579513764385,212.28579513764387,178.31468491755004,5.611031280307071e-06,0.006964584497811662,0.9999999999999998,11.8652624059071,49.082076635032536,11.8652624059071,208630.51446303364,3.389045776115463,2.4000000000000004,0.0437383708,3.395562306575224,3.069588325144003,260.13834036601935,201562990.26580277,0.03359511627936166,0.6854609922807151,0.023028141740637248
Bolivia,6531.519397999999,6707.9561840000015,6531.519398,6475.741503,10724705.0,0.68512,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.1693398626614,1.5489435584991276,31.741303734285303,340416118.8656082,1.9622194959121314e-06,21.044225238906318,1.270329506631086,0.27343408,32657.596989999987,31.741303734285307,49.165487957585526,49.16548795758552,31.741303734285303,1.9622194959121314e-06,0.0055170758939250015,0.9999999999999998,1.2703295066310862,5.2930396109628575,1.2703295066310858,77418.08738458071,3.3909223012307446,2.4000000000000004,0.21263727539999996,2.2554168467144113,2.0388968294298278,70.47652117879414,755839899.0688194,0.01079021845979277,0.4503812504274973,0.004859712082307332
Bosnia and Herzegovina,10932.048710000001,11327.48741,10932.04871,10023.56017,3810416.0,0.39767,5,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,1.0,0.14336420969680005,1.4004151588326512,66.11432242108371,251923071.98245612,1.525893552918099e-06,5.814289208335969,0.0,0.09976816199999997,54660.24355,66.11432242108371,92.58749933443508,92.58749933443508,66.11432242108371,1.525893552918099e-06,0.004271980751463786,0.9999999999999998,0.0,27.07789662624776,0.0,168739.74890451584,3.3914554137363293,0.0,0.15476007220000004,2.468124285699999,2.468124285699999,118.67737909211627,452210184.1306653,0.010855913858447879,0.5570928758863675,0.006047752271777401
Botswana,15356.457619999996,15723.23706,15356.45762,14876.33174,2262485.0,0.57444,5,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,1.0,0.0831678032508,1.33555225114749,43.2795626345693,97919361.26727355,5.926548967499823e-07,1.3408728140733834,1.8559739558745285,0.30619332,76782.28809999998,43.2795626345693,57.80211730527784,57.80211730527785,43.2795626345693,5.926548967499823e-07,0.001384196503115524,0.9999999999999998,1.8559739558745285,4.366997543234186,1.8559739558745285,273073.52336033294,3.3977668533368477,3.2000000000000006,0.11219832540000003,3.266403415957444,2.8483037787148904,76.74181633589764,173627208.33272338,0.004997364511718534,0.5639632302307699,0.0028183298326693983
Brazil,14666.018169999992,14023.69162,14666.01817,14454.93732,207847528.0,0.85687,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5583333333333333,0.26557501018758395,1.0,0.21389151814560006,1.311880627921727,27.178802870583358,5649046990.650053,3.6682517722194713e-07,76.2437062937436,1.9512965316537236,0.14558476199999998,73330.09084999995,27.17880287058335,35.65534497602172,35.65534497602172,27.178802870583358,3.6682517722194713e-07,0.0008000046519291993,0.9999999999999998,1.9512965316537236,4.032530145782666,1.9512965316537236,276118.18897495145,3.3988596309176033,0.8000000000000002,0.2071562594,3.302651539985098,3.1969666907055743,44.32609958269056,9213070224.144064,0.003022367698504671,0.6131557508208265,0.001853182135433245
Bulgaria,17000.167250000002,17794.52661,17000.16725,16956.409069999998,7177991.0,0.73948,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,1.0,0.43948447519680006,1.3991199067022253,38.20932480898888,274266189.5949989,3.9612982962646366e-07,2.8434163518902897,4.569320996620544,0.17148750599999998,85000.83625,38.20932480898888,53.459426961907525,53.45942696190754,38.20932480898888,3.9612982962646366e-07,0.0019272252620622793,0.9999999999999998,4.569320996620545,9.563695109205788,4.569320996620545,263096.56552923756,3.39693356518817,3.2000000000000006,0.4733378346,2.2431041456000003,1.9559868149632,59.73581627644667,428783151.60998774,0.003513836975718381,0.6396384479315218,0.0022475852294328975
Burkina Faso,1596.3345380000003,1642.185834,1596.334538,1561.521915,18105570.0,0.29859,5,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,1.0,0.32689123146200005,1.5244131852801732,3.6749361287241062,66536813.32414332,1.3708705681637904e-06,24.820393032829273,0.23845123997069023,0.098161232,7981.672690000001,3.674936128724106,5.602121089689504,5.602121089689503,3.6749361287241062,1.3708705681637904e-06,0.0014897494203290405,0.9999999999999998,0.23845123997069023,0.7153537199120706,0.23845123997069023,19675.522616426995,3.3976795530543136,2.4000000000000004,0.3515854992000001,3.393739601658168,3.067940599898984,5.949152683114396,107712800.34481551,0.0037267581083398164,0.6177242919239162,0.0023021090136459265
Burundi,748.4152713000001,721.1765615,748.4152713,692.6739312000002,11178921.0,0.12057,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4629793127178333,1.0,0.10244151508683054,1.6113653647650148,2.688318600423033,30052501.25695965,3.7968541857227907e-06,42.444732990714414,0.2332454658626984,0.04666023,3742.0763565000016,2.688318600423033,4.331863482175234,4.331863482175235,2.688318600423033,3.7968541857227907e-06,0.003783157378447453,0.9999999999999998,0.2332454658626984,1.4315819561298566,0.2332454658626984,8082.599489236016,3.3941860648465294,2.4000000000000004,0.1032671897007356,2.469788850858763,2.2326891211763216,5.289454689885645,59130396.11131112,0.007067539763984027,0.5082411624705973,0.003592014625454413
Cambodia,3290.9524539999998,3465.125565,3290.952454,3278.221215,15577899.0,0.20723000000000005,5,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.4592944496539701,1.0,0.04037829394999999,1.6057750091808676,61.72963631164751,961618039.7695773,1.0699691631564581e-05,166.67871556765823,0.0,0.039280146,16454.76227,61.72963631164751,99.1239073150674,99.1239073150674,61.72963631164751,1.0699691631564581e-05,0.03525538623355813,0.9999999999999998,0.0,63.68954217077993,0.0,35826.17269247849,3.33730276136333,0.0,0.040794602,1.5154131099999995,1.5154131099999995,137.44385186580945,2141086442.5365412,0.04176415605723894,0.449126210257233,0.018757377134579388
Cameroon,3289.064546000001,3346.817793,3289.064546,2938.776214,23344179.0,0.54381,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5666666666666667,0.4197375746029477,1.0,0.048416212832799996,1.545762739118097,8.531347679669901,199157307.3454488,1.6168427815393808e-06,37.74386730711319,1.3878464335323282,0.09980292199999999,16445.322730000007,8.531347679669901,13.187439357695368,13.187439357695366,8.531347679669901,1.6168427815393808e-06,0.004210478344019831,0.9999999999999998,1.3878464335323284,3.673711147585575,1.3878464335323282,39180.0108569182,3.393883201652992,3.2000000000000006,0.06385485519999999,1.8343680960785826,1.599568979780524,20.751246932053096,484420822.8550483,0.006309163788618787,0.4111245800122057,0.0025938523128241154
