country,gdp_pc_pp,gdp_pc_pp_A,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Guatemala,7366.768479999996,7366.76848,16582469,0.5203,4146.744129,4,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.5708333333333333,0.6475627728005022,1.0,0.059539326164,1.7263428777500784,49.58313812643416,822210850.9043126,4.958670678597862e-06,82.227002809058,10.481133122705343,0.177810088,36833.84239999997,49.58313812643416,85.59749736106798,85.59749736106798,49.58313812643416,4.958670678597862e-06,0.036645770269665916,0.9999999999999998,10.481133122705343,39.345233828716616,10.481133122705343,56880.728706354406,3.3403078617191566,1.6000000000000003,0.06908316920000002,0.982809055982214,0.9199092763993522,213.33461425665206,3537614627.537891,0.028959049661440178,0.23241956444434844,0.006730649709034182
Guinea,1823.338788,1215.025377,12395924,0.37651,508.1450784,4,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3510694892836516,1.0,0.07727869865088091,1.359819001915079,7.984813788439902,98979144.87565309,2.49419470629099e-06,30.917848020385428,0.5400064355286137,0.03659406579999999,9116.693940000001,7.984813788439903,10.857901516274104,10.857901516274106,7.984813788439902,2.49419470629099e-06,0.0026178640307085495,0.9999999999999998,0.5400064355286137,2.7000321776430694,0.5400064355286137,25968.345920924043,3.395920605764808,2.4000000000000004,0.0695644249892488,3.4400000000000004,3.109759999999999,13.213101937164394,163788607.4173426,0.007246652143926417,0.6043103145962323,0.004379226636865634
Guinea-Bissau,1491.681953,1466.267695,1815698,0.5009399999999999,620.2147647,4,0.2,1.5,0.06,0.8,0.05,0.2,0.16666666666666666,0.4231887629374076,1.0,0.09027000656517369,1.4489725752724238,1.7226845785361957,3127874.9438790134,8.34528011865098e-07,1.5152508420874349,0.011097105309432347,0.00020000000000000004,7458.409765000001,1.7226845785361955,2.4961227101436814,2.4961227101436814,1.7226845785361957,8.34528011865098e-07,0.000762676969032562,1.0000000000000002,0.011097105309432347,0.33291315928297044,0.011097105309432349,17624.3095710534,3.398575452499757,0.8000000000000002,0.08707872789798046,3.402000000000001,3.2931359999999996,3.2713567997091904,5939795.998518378,0.0021930658831998285,0.5265963586391234,0.0011548605083487227
Guyana,7266.335284999999,7248.230183,773303,0.28661,4456.553697,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.3808481921743437,1.0,0.1951052074018167,1.396631321814444,72.38342094401618,55974316.566270545,3.421661108585611e-06,2.645980800252579,0.0,0.68,36331.676425,72.38342094401618,101.09295287049262,101.09295287049262,72.38342094401618,3.421661108585611e-06,0.014383453935177376,0.9999999999999998,0.0,14.682944275881063,0.0,95396.74119909747,3.3758035792801335,0.0,0.21436110998930857,1.482,1.482,144.20542479519256,111514487.61039679,0.019845688251253407,0.5019465879790485,0.009961475503812536
Haiti,1653.9618480000001,1653.961848,10847334,0.5979399999999999,739.5954363,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.25,0.1333669537730951,1.0,0.026397595831999993,1.0906959508025207,89.35240117591503,969235339.2571433,4.920872836537133e-05,533.783512294457,7.681151190000807,0.11078163,8269.80924,89.35240117591503,97.45630215705293,97.45630215705293,89.35240117591503,4.920872836537133e-05,0.05870755143488285,0.9999999999999998,7.681151190000807,74.79375233290926,7.681151190000807,62007.93379497822,3.318719593043049,2.4000000000000004,0.024608323399999993,0.8973639326435505,0.8112348260959091,225.218785198919,2443023386.1269307,0.1361692746850585,0.39673600537804476,0.05402325409377582
Honduras,4392.265946999999,4392.265947,9112867,0.55315,2361.15762,4,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.5916666666666667,0.3635926941047578,1.0,0.15858295587200003,1.3753001403559317,121.45066469393058,1106763754.417385,1.2442575446832235e-05,113.38753518444776,5.207592540363619,0.17042607599999998,21961.329734999992,121.45066469393056,167.03111619988394,167.03111619988394,121.45066469393058,1.2442575446832235e-05,0.02547204040185032,0.9999999999999998,5.20759254036362,26.40469457085778,5.207592540363619,60400.91038977953,3.3555495057138085,1.6000000000000003,0.17661632240000003,2.265503315887336,2.120511103670546,246.44374239547426,2245809047.4322186,0.0561085656855091,0.4928129378064538,0.027651027091582125
Hungary,25664.136000000006,25381.28792,9817958,0.71672,12664.84744,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.22126941170098394,1.0,0.5774637604800001,1.1993606368722867,230.98445697441048,2267795697.227569,1.0575995539443816e-06,10.383468001444673,13.744634755472974,0.21281976,128320.68000000002,230.98445697441048,277.03366542442825,277.03366542442825,230.98445697441048,1.0575995539443816e-06,0.005777260860863133,1.0,13.744634755472974,22.928955106442405,13.744634755472974,579929.5935825432,3.3923804712501138,3.9999999999999996,0.624313376,2.4404199999999996,2.0499528,295.93072115881455,2905435391.2469525,0.011530905274146555,0.7805355796448389,0.009000281831985712
India,6092.648097,6092.648097,1324171354,0.33136,1709.387921,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7875,0.4525301642355351,1.0,0.13688150290589995,1.4852443045968038,16.640944252410513,22035461682.552948,8.387308335157711e-07,1110.6233434581272,4.503274834258674,0.165629104,30463.240485000006,16.640944252410513,24.715867674005636,24.715867674005636,16.640944252410513,8.387308335157711e-07,0.00274266637664782,1.0,4.503274834258674,6.598204885360694,4.503274834258674,67317.5909421683,3.396078767682761,3.2000000000000006,0.14607166064116445,2.7888669600000005,2.431891989119999,27.139731781044492,35937655379.702515,0.004454505060682564,0.6131580218502098,0.00273131551132987
Indonesia,10764.548,10764.548,261115456,0.54466,3570.294888000001,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6333333333333333,0.30997681866727844,1.0,0.15882024994016108,1.3090203978992547,35.01438786513614,9142797853.96589,6.828083285273449e-07,178.2918080640155,5.5039321539829915,0.30853852000000004,53822.73999999998,35.01438786513615,45.83454793541935,45.83454793541936,35.01438786513614,6.828083285273449e-07,0.005535763422584927,1.0000000000000002,5.5039321539829915,13.03562878574919,5.503932153982993,173634.72607857184,3.3913345907430723,3.2000000000000006,0.1707632207360449,1.0875826,0.9483720271999999,51.8872071867244,13548551765.12802,0.004820193768166058,0.6748173540952258,0.0032527504048601155
"Iran, Islamic Rep.",18497.67701,16010.11144,80277428,0.73879,4957.581276,4,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.31799517747918205,1.0,0.16354622943540267,1.3189326627395057,125.90056373323797,10106973440.254421,1.3576470404789909e-06,108.98841254146525,15.887062624936743,0.23857387999999996,92488.38504999995,125.90056373323796,166.05436576508436,166.05436576508436,125.90056373323797,1.3576470404789909e-06,0.0074152942024746805,0.9999999999999997,15.887062624936739,63.54825049974697,15.88706262493674,290848.3889069508,3.388028039020602,1.6000000000000003,0.18194494408357897,1.7873266726933488,1.6729377656409739,232.43865065964036,18659577042.746433,0.012565829240827487,0.5416507253675036,0.006806290523138395
Iraq,16086.91806,16086.91806,37202572,0.69592,4609.600694,4,0.2,1.5,0.06,0.8,0.05,0.2,0.3625,0.5840924714508963,1.0,0.11759863028799998,1.6478811312473085,82.10449802565432,3054498499.3232636,1.1525296047126397e-06,42.87706560145352,2.413422344900489,0.035840168000000006,80434.5903,82.10449802565432,135.2984530870077,135.29845308700766,82.10449802565432,1.1525296047126397e-06,0.005410520204392187,0.9999999999999998,2.413422344900489,33.28858406759294,2.4134223449004883,137708.65784350722,3.390042053144215,2.4000000000000004,0.11947359720000002,3.0999999999999988,2.8023999999999996,160.00406591606995,5952562782.535338,0.009946222472153871,0.5131400727574147,0.00510380532302247
