country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid
Albania,flood,1000.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,1778.7316282167371,0.08679298577863823,0,0,87.15823135086856,1431.762613339316,383.8263265121176
Albania,flood,1500.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,1900.5206711388116,0.0927356667894476,0,0,87.15823135086856,1529.794826633359,410.1067615213446
Albania,flood,2000.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,1.1722908869944656e-11,5.717648576819556e-16,0,0,87.15823135086856,9.436246332290305e-12,2.532772088119523e-12
Albania,surge,20.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,0.0,0.0,0,0,87.15823135086856,0.0,0.0
Albania,surge,50.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,0.0,0.0,0,0,87.15823135086856,0.0,0.0
Albania,surge,100.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,0.0,0.0,0,0,87.15823135086856,0.0,0.0
Albania,surge,250.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,0.0,0.0,0,0,87.15823135086856,0.0,0.0
Albania,surge,500.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,0.0,0.0,0,0,87.15823135086856,0.0,0.0
Albania,surge,1000.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,0.0,0.0,0,0,87.15823135086856,0.0,0.0
Albania,surge,1500.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,0.0,0.0,0,0,87.15823135086856,0.0,0.0
