country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid
Mongolia,wind,1000.0,9132.30570379131,2839073.0,0.7204,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5666666666666667,0.20767487925071607,20.0,0.22547705134707596,1.139503144342944,0.0,0.0,0.0,0.23333333333333334,258.74866160742044,0.0,0.0
Mongolia,wind,1500.0,9132.30570379131,2839073.0,0.7204,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5666666666666667,0.20767487925071607,20.0,0.22547705134707596,1.139503144342944,0.0,0.0,0.0,0.23333333333333334,258.74866160742044,0.0,0.0
Mongolia,wind,2000.0,9132.30570379131,2839073.0,0.7204,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5666666666666667,0.20767487925071607,20.0,0.22547705134707596,1.139503144342944,0.0,0.0,0.0,0.23333333333333334,258.74866160742044,0.0,0.0
Montenegro,earthquake,20.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,49.23536357909373,0.0028042209912162845,0.00140605338001114,0.5,123.82598466796512,36.628126676495114,0.0
Montenegro,earthquake,50.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,110.76889256215884,0.006308889203135335,0.0031744719936540873,0.5,123.82598466796512,82.40534310392742,0.0
Montenegro,earthquake,100.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,203.17594094477707,0.011571971792026957,0.0058537250370201575,0.5,123.82598466796512,151.15058692694166,0.0
Montenegro,earthquake,250.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,437.90863270043894,0.02494127169550996,0.012789625368966152,0.5,123.82598466796512,325.77748401340614,0.0
Montenegro,earthquake,500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,732.6375827636695,0.04172768390832418,0.021772351766620474,0.5,123.82598466796512,545.0379613084358,0.0
Montenegro,earthquake,1000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,1151.5438418364447,0.06558666736351218,0.03509510463557736,0.5,123.82598466796512,856.6788309497344,0.0
Montenegro,earthquake,1500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,1460.9622672433077,0.08320972486772137,0.04538100322656427,0.5,123.82598466796512,1086.8673876694947,0.0
Montenegro,earthquake,2000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,8.284457479660528e-12,4.718447854656915e-16,2.3592239273284586e-16,0.5,123.82598466796512,6.163134299263942e-12,0.0
Montenegro,flood,20.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,64.7963422688736,0.003882654458889307,0.001948894111857962,0.5,123.82598466796512,48.790149351069985,0.0
Montenegro,flood,50.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,164.9537461247224,0.009884175178346555,0.004991423695367641,0.5,123.82598466796512,124.23628632760845,0.0
Montenegro,flood,100.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,220.8122140255122,0.013231264255717355,0.006704339008945955,0.5,123.82598466796512,166.32910864824106,0.0
Montenegro,flood,250.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,373.3153114323012,0.022369385489226196,0.011440612209356951,0.5,123.82598466796512,281.3090870793212,0.0
