country,gdp_pc_pp,gdp_pc_pp_A,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Germany,44356.857729999996,44072.39216,82667685,0.7551,41936.05858,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.2730174463967501,1.0,0.4651170857469999,1.201229916171454,41.156574268588706,3402318717.314796,7.875716935700276e-08,6.510672867896357,7.908978240738218,0.596566,221784.28864999997,41.1565742685887,49.438508258561015,49.438508258561015,41.156574268588706,7.875716935700276e-08,0.001130359720004317,0.9999999999999998,7.908978240738218,9.886222800922772,7.908978240738218,812344.7478433378,3.3983410875933844,3.2000000000000006,0.4950705503999999,1.26275525,1.1011225779999998,50.06221010147532,4138527015.07258,0.0011286239076312345,0.8221086161630692,0.0009278514388712699
Ghana,3980.202105999998,3980.202106,28206728,0.54682,1513.461034,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.4079350165763704,1.0,0.195803902202,1.3286816897071048,7.014297026794888,197850368.34601212,6.049786730116163e-07,17.0644688754396,0.5594607814437834,0.20917837999999994,19901.01052999999,7.014297026794886,9.319768025669353,9.319768025669354,7.014297026794888,6.049786730116163e-07,0.0012653678476834517,0.9999999999999998,0.5594607814437834,0.6993259768047293,0.5594607814437834,48784.756692428426,3.398173311681859,3.2000000000000006,0.26396411359999994,3.4895954398094906,3.042927223513875,10.336438128693093,291557098.7848751,0.002596963132377454,0.678599043448418,0.0017622966975021476
Greece,24223.992290000002,24263.87813,10746740,0.7832899999999999,18103.96932,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.2367917503163358,1.0,0.505664739768,1.1670088046671074,515.6992452095734,5542085706.463529,2.396259396919467e-06,25.75197671125031,179.84256462791214,0.14366985999999998,121119.96145,515.6992452095734,601.8255597197536,601.8255597197538,515.6992452095734,2.396259396919467e-06,0.027102536728434917,0.9999999999999998,179.8425646279121,236.45188017089257,179.84256462791214,511504.14357000584,3.362070548952006,3.9999999999999996,0.4885035384,1.0103888699999999,0.8487266508000001,614.7418357761071,6606470676.208521,0.025377395617397096,0.8388875056120213,0.02128878010840769
Guatemala,7366.768479999996,7366.76848,16582469,0.5203,4146.744129,3.0,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,1,0.6475627728005022,1.0,0.059539326164,1.5550494079996444,49.58313812643416,822210850.9043126,4.1082064521324345e-06,68.12420613808607,18.361109120067756,0.177810088,36833.84239999997,49.58313812643416,77.10422959027602,77.10422959027603,49.58313812643416,4.1082064521324345e-06,0.036645770269665916,0.9999999999999998,18.361109120067756,39.345233828716616,18.36110912006776,56880.728706354406,3.3403078617191566,1.6000000000000003,0.06908316920000002,0.982809055982214,0.9199092763993522,176.74548191617023,2930876474.7649536,0.023992267762454552,0.2805341193952062,0.006730649709034183
Guinea,1823.338788,1215.025377,12395924,0.37651,508.1450784,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.3510694892836516,1.0,0.07727869865088091,1.274962872381474,7.984813788439902,98979144.87565309,2.1681974984912832e-06,26.876811408288066,1.6200193065858413,0.03659406579999999,9116.693940000001,7.984813788439903,10.180341123140536,10.180341123140536,7.984813788439902,2.1681974984912832e-06,0.0026178640307085495,0.9999999999999998,1.6200193065858413,2.7000321776430694,1.6200193065858413,25968.345920924043,3.395920605764808,2.4000000000000004,0.0695644249892488,3.4400000000000004,3.109759999999999,11.486117942280574,142381045.06754637,0.0062994973933942185,0.6951707990954612,0.004379226636865634
Guinea-Bissau,1491.681953,1466.267695,1815698,0.5009399999999999,620.2147647,3.0,0.2,1.5,0.06,0.8,0.05,0.2,1,0.4231887629374076,1.0,0.09027000656517369,1.3430913549878307,1.7407582645575719,3160691.299440654,7.354958932173465e-07,1.3354384223229496,0.06296814612723615,0.00020000000000000004,7458.409765000001,1.7407582645575719,2.337997376250894,2.3379973762508945,1.7407582645575719,7.354958932173465e-07,0.000762676969032562,1.0000000000000002,0.06296814612723615,0.3148407306361808,0.06296814612723615,17624.3095710534,3.398575452499757,0.8000000000000002,0.08707872789798046,3.4020000000000006,3.2931359999999987,2.883150064738263,5234929.806245134,0.0019328182250511299,0.603769566436217,0.0011669768217391393
Guyana,7266.335284999999,7248.230183,773303,0.28661,4456.553697,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.3808481921743437,1.0,0.1951052074018167,1.3030937414147443,72.17183983229101,55810700.25783015,3.000449665640211e-06,2.3202567277885726,0.0,0.6800000000000002,36331.676425,72.17183983229101,94.04667279184578,94.04667279184578,72.17183983229101,3.000449665640211e-06,0.013968783971963042,0.9999999999999998,0.0,12.435732654540336,0.0,95396.74119909745,3.3763965397682028,0.0,0.21436110998930857,1.482,1.482,126.45352794423717,97786892.51986243,0.01740265525667072,0.5707380490334519,0.009932357509193994
Haiti,1653.9618480000001,1653.961848,10847334,0.5979399999999999,739.5954363,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,1,0.1333669537730951,1.0,0.026397595831999993,1.0693071211172875,94.92894938328138,1029726020.2295473,3.936407267200756e-05,426.9952438735384,28.08691394919473,0.11078163,8269.80924,94.92894938328136,101.50820157572532,101.50820157572534,94.92894938328138,3.936407267200756e-05,0.05870755143488285,0.9999999999999998,28.086913949194727,66.59654560503226,28.08691394919473,62007.93379497822,3.318719593043049,2.4000000000000004,0.024608323399999993,0.8973082394252898,0.8111793865887351,180.16170956188066,1954274237.6287131,0.1089273672060425,0.526909683606637,0.05739488459063982
Honduras,4392.265946999999,4392.265947,9112867,0.55315,2361.15762,3.0,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,1,0.3635926941047578,1.0,0.15858295587200003,1.286793093328051,146.93540504019188,1339002803.7223985,1.0389047517205594e-05,94.67400828097482,3.7720992244082554,0.17042607599999998,21961.329734999992,146.93540504019188,189.07546437107857,189.07546437107854,146.93540504019188,1.0389047517205594e-05,0.02547204040185032,0.9999999999999998,3.7720992244082554,11.316297673224764,3.7720992244082554,60400.91038977953,3.3555495057138085,1.6000000000000003,0.17661632240000003,2.265503315887336,2.1205111036705464,205.77056261422064,1875159769.618565,0.046848384204687295,0.7140739820771491,0.03345321226292127
Hungary,25664.136000000006,25381.28792,9817958,0.71672,12664.84744,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.22126941170098394,1.0,0.5774637604800001,1.1523454099490313,278.6868068759432,2736135365.0621214,1.2195707867361708e-06,11.973694762202683,8.51646903953575,0.21281976,128320.68000000002,278.68680687594315,321.1434627168453,321.1434627168453,278.6868068759432,1.2195707867361708e-06,0.005777260860863133,1.0,8.516469039535748,9.826695045618173,8.516469039535748,579929.5935825432,3.3923804712501138,3.9999999999999996,0.624313376,2.4404199999999996,2.0499528,341.25247223963726,3350402439.8449244,0.013296861902525657,0.8166587191205501,0.010858998209639445
