country,hazard,rp,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Italy,flood,500.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,723.2946134160288,0.020935774338126587,0.0,0.0,1715.8785930000004,385.2810576708104,385.2810576708104,18403.000120667468
Italy,flood,1000.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,918.8845648790274,0.02659712866136027,0.0,0.0,1715.8785930000004,489.4669619644211,489.4669619644211,18403.000120667468
Italy,flood,1500.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,994.756857709851,0.02879325341019582,0.0,0.0,1715.8785930000004,529.8822459822426,529.8822459822426,18403.000120667464
Italy,flood,2000.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,3.5495366751612985e-12,1.0269562977782698e-16,0.0,0.0,1715.8785930000004,1.889907687193372e-12,1.889907687193372e-12,18403.00012066747
Italy,surge,1.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,surge,20.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,surge,50.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,surge,100.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,surge,250.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,surge,500.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
