country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,aid,need
Angola,earthquake,500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,32.7598970517,0.00278508120684,0.00139642977374,0.5,65.5201028984,0,0.0
Angola,earthquake,1000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,62.967931178,0.00535321589933,0.00269101352606,0.5,65.5201028984,0,0.0
Angola,earthquake,1500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,88.7808168956,0.00754769724319,0.00380254911104,0.5,65.5201028984,0,0.0
Angola,earthquake,2000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,1.22429527038e-13,1.04083408559e-17,5.20417042793e-18,0.5,65.5201028984,0,0.0
Angola,flood,20.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,67.2882196621,0.00957956049986,0.00483610803948,0.5,65.5201028984,0,0.0
Angola,flood,50.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,118.576623308,0.0168812898091,0.00858558057845,0.5,65.5201028984,0,0.0
Angola,flood,100.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,131.572783866,0.018731502327,0.00954453463623,0.5,65.5201028984,0,0.0
Angola,flood,250.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,145.666743077,0.0207380041429,0.0105885882586,0.5,65.5201028984,0,0.0
Angola,flood,500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,168.935639044,0.0240507057985,0.0123216984435,0.5,65.5201028984,0,0.0
Angola,flood,1000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,202.692350709,0.028856516731,0.0148569790294,0.5,65.5201028984,0,0.0
Angola,flood,1500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,222.203263925,0.0316342090892,0.0163338117611,0.5,65.5201028984,0,0.0
Angola,flood,2000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,surge,20.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,surge,50.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,surge,100.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,surge,250.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,surge,500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,surge,1000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,surge,1500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,surge,2000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,tsunami,20.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,tsunami,50.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,tsunami,100.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,tsunami,250.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,tsunami,500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,tsunami,1000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,tsunami,1500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,tsunami,2000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
