province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,axfin_p,axfin_r,urbanization_rate,pi,rho,shareable,T_rebuild_K,income_elast,max_increased_spending,share1,finance_pre,prepare_scaleup,rating,borrow_abi,avg_prod_k,assets,eff_prod_k_gar,protection,gdp_pc_pp_nat,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Batanes,4454,101.80045308641978,175.89881860592754,0.1818182,162.42638716422857,0.5,0.33342480790340284,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11395423774736026,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2643625.526432471,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,22.64382105831457,100855.57899373308,0.00022671855728060978,1.0098044541278361,0.0,0.5638877352777603,487.27916149268583,22.643821058314575,27.214119864227698,27.214119864227698,22.64382105831457,0.00022671855728060978,0.24367259562148297,3.0,0.0,0.0,1780.6188997075474,2.9355759247919915,0.727422418990121,3.0,0.4910288351920965,0.46798788645523615,31.93339193509707,142231.32767892236,0.19660224236108487,0.7090953915680783,0.1394097440301957
Batangas,546431,86.02898454395351,276.5634392311325,0.1474136,248.47606934165864,0.06250698315353008,0.1012385163561432,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.05103848571642853,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,496150047.80131316,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,5.517589680586406,3014982.0467525106,2.6926283718175126e-05,14.713356138406153,0.0,0.7775263841126403,993.9042773666346,5.517589680586406,6.631228295896132,6.631228295896132,5.517589680586406,2.6926283718175126e-05,0.05377075312962159,4.0,0.0,0.0,3631.931920416765,2.9817068961325672,0.2865868848396794,4.0,0.4742631080619779,0.4675975413936079,7.175901539423796,3921135.054088884,0.028879648484606436,0.7689054330348927,0.022205718623951792
Benguet,182831,92.42916188244484,341.04516746384564,0.0280084,334.08183093311953,0.0,0.2003488830116482,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.007748978537496474,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,223200843.4171857,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,6.773815107458747,1238463.38991179,2.0034664127164675e-05,3.6629576770336447,0.0,0.6499786487251201,1002.245492799359,6.7738151074587485,8.141003048812287,8.141003048812287,6.773815107458747,2.0034664127164675e-05,0.056369148074873476,3.000000000000001,0.0,0.0,3662.4124478428575,2.752625696015724,0.3894748627134095,3.0,0.3070531396362314,0.2991450970253475,8.324044511240821,1521893.3820346706,0.024916184421017576,0.8137648829618055,0.020275915899224128
Biliran,35756,82.69809868773434,205.5642049632353,0.2088654,179.90172652956025,0.04204606320299946,0.1747737556561086,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.09601226066507462,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,23505927.88815331,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,3.3845814983484472,121019.09605494708,2.6441104164354835e-05,0.9454281205006715,0.0,0.73166505325696,719.606906118241,3.3845814983484472,4.067705991364951,4.067705991364951,3.3845814983484472,2.6441104164354835e-05,0.03503855549446868,4.0,0.0,0.0,2629.592559363834,2.6537898387274947,0.44115459924243877,4.0,0.6525363575541193,0.6396911022860476,4.341159241269722,155222.48983084018,0.02413072584134656,0.7796492388882076,0.01881350203602585
Bohol,272951,78.22296492720628,224.89207501477603,0.3057509,180.04786260330246,0.048025882211970516,0.15500591041499556,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.13283546708831112,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,179583238.6288394,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,0.8671426198423913,236687.44522860055,6.947324854605984e-06,1.8962792663895578,0.0,0.6593596371321601,720.1914504132097,0.8671426198423913,1.0421617064981237,1.0421617064981237,0.8671426198423913,6.947324854605984e-06,0.00932748711039997,4.0,0.0,0.0,2631.72860519052,2.2934687969849885,0.3668900115296858,4.0,0.5975446229403286,0.5871650125837247,1.1420173637479323,311714.78145236184,0.0063428543234869,0.7593077367900584,0.004816178361155874
Bukidnon,291073,78.06423230374295,209.47389468214402,0.4148774,154.95499561971516,0.06386220602848626,0.2130430442773012,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.2090096263218004,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,164816483.43848097,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,0.32181566061007316,93671.84978075582,3.220682628739348e-06,0.9374537547950484,0.0,0.43343909406432013,464.86498685914535,0.3218156606100731,0.38676908545929045,0.38676908545929045,0.32181566061007316,3.220682628739348e-06,0.004592545676175058,3.0,0.0,0.0,1698.7128669283752,1.539058686538521,0.30230257194962457,3.0,0.39794128088796527,0.39038559589300637,0.42269728730685946,123035.7675082695,0.0027278713126760207,0.7613383626388152,0.002076833078682157
Bulacan,710908,101.5324967587854,293.50470803278813,0.0535976,283.2154582418087,0.0,0.15943847028485222,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.019214693230594774,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,735738521.0782692,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,12.181220561721265,8659727.147092141,4.644733818466229e-05,33.019784294181896,0.0,0.8475410397542403,1132.8618329672345,12.181220561721265,14.639808166897422,14.639808166897422,12.181220561721265,4.644733818466229e-05,0.10491277324682212,4.0,0.0,0.0,4139.7115861870725,3.4605894443110827,0.45267885278973835,4.0,0.4706561037330719,0.460347556549842,15.062931849325938,10708358.755140604,0.053185415594318455,0.8086885530366633,0.04301043677962298
Cagayan,265428,84.3379001665134,213.96610821924494,0.1515935,194.31531446180324,0.03660809702512613,0.07915502839811538,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.0657955215949051,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,188472028.1279195,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,16.479544554436778,4374132.5519950455,0.00011289298182626034,29.96495838018063,0.0,0.7744069347744001,777.2612578472127,16.479544554436774,19.80568119035049,19.80568119035049,16.479544554436778,0.00011289298182626034,0.18911803865386564,4.0,0.0,0.0,2840.273492290482,2.7840923525969794,0.21811557047107236,4.0,0.5135420181729603,0.5080999245442582,20.806575231826706,5522647.650633299,0.10707635314002323,0.7920354200930146,0.08480826434128629
Camarines Norte,122835,88.82260132018152,189.4534566609824,0.21706430000000002,167.61009048803024,0.03236695045568766,0.12888366676371502,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11503016151119592,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,75234221.30615057,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,10.990588171781841,1350028.898080822,9.38712513040444e-05,11.530675153932293,0.0,0.7255462338643202,670.440361952121,10.990588171781841,13.208865372808097,13.208865372808097,10.990588171781841,9.38712513040444e-05,0.1166328570151691,4.0,0.0,0.0,2449.927831844364,2.5341261839498386,0.3237999999000435,4.0,0.6677725037223953,0.6578973941222542,13.859769904389895,1702464.8362057328,0.0826905460407211,0.7929848942370047,0.06557235390650139
Camarines Sur,383327,92.94640543029585,215.63893477588044,0.3172596,176.713551992712,0.035744239972371604,0.12151861008050804,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.16686971132508066,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,247532601.53843608,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,4.574312069739195,1753457.3227569163,3.709091745988712e-05,14.217950117146149,0.0,0.6507707219430403,706.854207970848,4.574312069739195,5.497564949028602,5.497564949028602,4.574312069739195,3.709091745988712e-05,0.046939611342733015,4.0,0.0,0.0,2582.9915611312135,2.2438314889830515,0.28291760318924625,4.0,0.6451161458045138,0.636591625408002,5.928508796395019,2272557.4913957133,0.03354869351864718,0.7715788618751349,0.025885462762515504
