province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,axfin_p,axfin_r,urbanization_rate,pi,rho,shareable,T_rebuild_K,income_elast,max_increased_spending,share1,finance_pre,prepare_scaleup,rating,borrow_abi,avg_prod_k,k,eff_prod_k_gar,protection,gdp_pc_pp_nat,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Marinduque,53412,79.78056964608021,206.29932705500502,0.23857609999999999,176.11497533553765,0.1568704386722122,0.13172195037989626,0.1542804147866543,0.23723002052799766,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.1080756314201944,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2574.242269202345,0.17731872965773066,1,234.60257722888613,0.2484372949027613,1.2018342573076888,1.7369848272238761,92775.83359168169,1.5501143189417273e-05,0.8279470600331554,0.0,0.7094920291526401,704.4599013421505,1.7369848272238761,2.087567869781331,2.087567869781331,1.7369848272238761,1.5501143189417273e-05,0.008866610652613637,4.0,0.0,0.0,2.536732412082027,0.4131653359127181,0.9407101112900252,1.8490330276804852,1.8104400976832644,2.4650817530861246,131664.94659583608,0.013997002517188576,0.7046357894821469,0.009862788919082769
Masbate,179704,83.88989665720203,165.61549354868916,0.405685,132.4606447737662,0.15349162585901815,0.1527996254681648,0.17714824964871265,0.14261762578512702,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.2569281825821009,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1936.1544362299287,0.17731872965773066,1,234.60257722888613,0.16888441406698954,1.2018342573076888,1.6905872798440207,303805.29653708986,2.276294797530463e-05,4.090592802954143,0.0,0.5847790581440003,529.8425790950649,1.6905872798440207,2.031805707885164,2.031805707885164,1.6905872798440207,2.276294797530463e-05,0.021195920545669506,4.0,0.0,0.0,2.050019025952462,0.4592410789401845,0.6849826335233028,1.0314688696172818,1.0077737625458765,2.361195352784223,424316.249676736,0.017825636866081882,0.7159878905616811,0.012762940137664503
Misamis Occidental,131488,74.97652820628308,171.92244757300512,0.3377106999999999,139.18277328152584,0.10746537552077468,0.09683864818621317,0.12295992367972194,0.18078810659626796,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.18192176536745625,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2034.4106311430312,0.17731872965773066,1,234.60257722888613,0.18906222705006034,1.2018342573076888,0.2867880449376442,37709.186452760965,3.658314346809492e-06,0.4810244368332865,0.0,0.6355081150956803,556.7310931261034,0.2867880449376442,0.3446716969923577,0.3446716969923577,0.2867880449376442,3.658314346809492e-06,0.004833194486227748,4.0,0.0,0.0,2.2066600695026515,0.3012822231392312,0.7085864533647406,0.7103246871432404,0.699521453352308,0.4087261400846639,53742.58270745229,0.0029366144275479486,0.7016630863840484,0.002060513942753219
Misamis Oriental,332788,79.70204754932061,279.38905941880984,0.1908518,241.2784337668964,0.01550863602727001,0.15906044007055986,0.139525012787014,0.1599408089103435,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.06304450423103014,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,3526.725320582954,0.17731872965773066,1,234.60257722888613,0.1796659761102463,1.2018342573076888,0.5840310830843007,194358.5360774583,3.2209170808561225e-06,1.0718825535039473,0.0,0.7451085597043202,965.1137350675857,0.5840310830843007,0.7019085629832257,0.7019085629832257,0.5840310830843007,3.2209170808561225e-06,0.006160119118912103,4.0,0.0,0.0,2.7577385009440483,0.39498995962695216,0.6986885258575244,0.6467867960695362,0.6345410335481664,0.8213540862463803,273336.7836537604,0.0034041753066082394,0.7110588391339784,0.0024205689417254096
Mountain Province,34301,103.57907500521593,199.78927397426563,0.27947690000000003,172.90074581801244,0.0566451074483622,0.10965444687221818,0.10466988781377896,0.14966559843120392,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.16742529738879525,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1895.4453223526862,0.17731872965773066,1,234.60257722888613,0.16119697075934775,1.2018342573076888,1.7996958699733463,61731.36803595574,1.4967593657117335e-05,0.5134034300327817,0.0,0.5092258952059202,518.7022374540376,1.7996958699733465,2.1629361492691315,2.1629361492691315,1.7996958699733463,1.4967593657117335e-05,0.03903349659629395,3.000000000000001,0.0,0.0,1.7501402992860162,0.18967912203798232,0.46219359966423884,0.32324788907962865,0.3192243844391218,2.3153699784523405,79419.50563089373,0.013391324412732117,0.7772821997011098,0.010408838096439593
Negros Occidental,661738,74.8561867787849,206.71811029719547,0.24908110000000003,173.87379733911393,0.08307548566366957,0.1939156228869498,0.1282870148860177,0.23585832222813424,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.10723445182657687,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2541.4833563375623,0.17731872965773066,1,234.60257722888613,0.24451077170214694,1.2018342573076888,1.1661302055935652,771672.6699890746,1.0684262319458386e-05,7.070182378753753,0.0,0.7016521728646404,695.4951893564559,1.1661302055935652,1.4014952295636047,1.4014952295636047,1.1661302055935652,1.0684262319458386e-05,0.016691661059558285,4.0,0.0,0.0,2.483146619555426,0.49892231874967274,0.9064225879541512,0.6796667461237667,0.663532691349039,1.6667436736541967,1102947.6251165809,0.009585939337388895,0.69964579678705,0.006706762165659779
Negros Oriental,298807,63.80098416808182,254.9196265090453,0.43947179999999997,170.92837274590588,0.07808585331678305,0.15837363424682072,0.1594269982178859,0.2518601877874853,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.16403791192583042,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2498.4305922319636,0.17731872965773066,1,234.60257722888613,0.25582563287836224,1.2018342573076888,0.20783049638273138,62101.207132634816,2.283021833137912e-06,0.6821829048944402,0.0,0.5595640503923203,683.7134909836236,0.20783049638273132,0.2497778102660283,0.2497778102660283,0.20783049638273138,2.283021833137912e-06,0.002887093678559877,4.000000000000001,0.0,0.0,2.026377233648931,0.36926825593047413,0.900910035389601,0.7344843572728843,0.7217219591444137,0.347139819188262,103727.807952187,0.0020309081143848706,0.5986939120631968,0.0012158923240419685
Northern Samar,118770,80.71985405415869,212.92396898982219,0.434986,155.41702985041766,0.05346185858351238,0.17175555456211722,0.12288401961501487,0.1688928332735196,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.22592122928482214,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2271.7039640302332,0.17731872965773066,1,234.60257722888613,0.17647187375374604,1.2018342573076888,6.72977265647825,799295.0984099216,7.859887837095741e-05,9.335188784118612,0.0,0.5629117921664002,621.6681194016704,6.729772656478249,8.08807132244813,8.08807132244813,6.72977265647825,7.859887837095741e-05,0.03812291072788969,4.0,0.0,0.0,1.9935752473351736,0.3608983587695033,0.651809753038485,1.9552703816971169,1.9229564788016196,10.361851115283903,1230677.0569622691,0.06667127228757845,0.6494759074999373,0.043301385073150435
Nueva Ecija,464189,92.824413730695,235.18403018328732,0.19640320000000003,207.22414596122556,0.0210490522990523,0.102712715906075,0.10728498821167907,0.20023316555340331,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.08797725675387127,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2271.7197446572045,0.17731872965773066,1,234.60257722888613,0.21260292950135606,1.2018342573076888,2.486152232560916,1154044.5186802188,1.7012000272750307e-05,7.896783394607693,0.0,0.5557241724057602,621.6724378836768,2.4861522325609156,2.9879429219737004,2.9879429219737004,2.486152232560916,1.7012000272750307e-05,0.020477085738775817,3.0,0.0,0.0,2.029626927723683,0.17334742209986445,0.6015059555085397,0.7228351750801986,0.7149581288305255,3.4529403122570126,1602816.9106062704,0.016662828051433275,0.7200101964507588,0.011997406098737687
Nueva Vizcaya,101443,77.16578224488461,246.205641306619,0.150795,220.7152757594047,0.05903118258482056,0.12016808673647066,0.11149138493419647,0.18430755243039687,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.052720474799857864,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2419.617885571687,0.17731872965773066,1,234.60257722888613,0.2016735404115413,1.2018342573076888,2.462133541573265,249766.21285781672,1.5267227626242712e-05,1.5487533720889393,0.0,0.5812521400560002,662.1458272782141,2.462133541573265,2.9590764363290543,2.9590764363290543,2.462133541573265,1.5267227626242712e-05,0.023581289638417286,3.0,0.0,0.0,2.201048013993283,0.22189789454984515,0.578106929364022,0.5850131516806087,0.5765699465153851,3.4062917469218386,345544.4536829921,0.015432967814311764,0.7228193368340278,0.011155247560921724
Occidental Mindoro,104345,72.34070038622465,229.9078975503241,0.2977628,182.99024773458981,0.1334084325716125,0.14415557830092118,0.15361131586632634,0.14605282632944394,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11771321022640298,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2674.7369420045893,0.17731872965773066,1,234.60257722888613,0.1669348532402866,1.2018342573076888,1.3951819704013748,145580.26270153146,1.2655193900987277e-05,1.3205062075985172,0.0,0.6653211369907199,731.9609909383594,1.3951819704013748,1.676777487206414,1.676777487206414,1.3951819704013748,1.2655193900987277e-05,0.010353258517294897,4.0,0.0,0.0,2.3163171062509105,0.42286643428966264,0.6597459670499392,1.2597549495340787,1.2332840048146017,2.131492569808217,222410.59219663843,0.011648121122278315,0.6545563377342232,0.007624351503283143
Oriental Mindoro,182397,78.7653092534121,207.5621342532751,0.2153085,179.83108305779209,0.09609900183336728,0.1256593886462882,0.17737811335958745,0.2366695102841177,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.09430427876552486,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2628.5599759011143,0.17731872965773066,1,234.60257722888613,0.2515071214373384,1.2018342573076888,1.526836358980105,278490.37136889424,1.3779214992021705e-05,2.513287476899783,0.0,0.7268565831904001,719.3243322311685,1.526836358980105,1.8350042415252306,1.8350042415252306,1.526836358980105,1.3779214992021705e-05,0.013302887058407698,4.0,0.0,0.0,2.6343644511227575,0.3578843583065352,0.9682999325166098,1.0948690008665847,1.0758214709210017,2.2609697319647237,412394.0962011697,0.012572741561246777,0.6753015475591193,0.008490391833370806
Palawan,233128,74.5974588937775,215.46470306583674,0.2047371,186.6239520090575,0.05487115021998743,0.15849146161231512,0.14014327451761344,0.18120938023222236,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.08183765929755883,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2727.8501716961273,0.17731872965773066,1,234.60257722888613,0.198510265045988,1.2018342573076888,0.1159229067496758,27024.875404738414,9.308724910977189e-07,0.217012442104629,0.0,0.7347459936390401,746.49580803623,0.11592290674967579,0.13932012053844509,0.13932012053844509,0.1159229067496758,9.308724910977189e-07,0.0012115274171544763,4.0,0.0,0.0,2.6956102238415593,0.41182961867025886,0.7646810987235839,0.8554107060120822,0.838459518884767,0.16147839277359263,37645.134750522106,0.0008652608147841363,0.7178849427378822,0.000621157710474643
Pampanga,523257,112.66825172910156,312.38010583417883,0.054434699999999996,301.50885096952516,0.07035775725871572,0.22231766422649527,0.1319795186072831,0.271894777607589,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.02034123529931804,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,4407.102957744694,0.17731872965773066,1,234.60257722888613,0.29085773302517576,1.2018342573076888,3.9292751218138053,2056020.7124149262,1.4451555118459905e-05,7.561877376619973,0.0,0.8469163140332805,1206.0354038781006,3.929275121813804,4.722337447782672,4.722337447782672,3.9292751218138053,1.4451555118459905e-05,0.019053525099278906,4.0,0.0,0.0,3.5575363573439223,0.6421373168360289,1.1418057612372683,1.1276866355822366,1.0923544636180802,5.147991117844796,2693722.3883501147,0.017074096170945,0.7632637725798552,0.013032039056826743
Pangasinan,646070,90.23663691225588,201.39996161182341,0.14875970000000002,184.8633387785132,0.04912131017906752,0.08907904378674124,0.12654975576080474,0.2567798026250148,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.07261350533195254,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2702.11559126565,0.17731872965773066,1,234.60257722888613,0.2681570803037397,1.2018342573076888,2.961610448992548,1913407.6627806153,2.3739512645470112e-05,15.337386934858873,0.0,0.7765217929132803,739.453355114053,2.961610448992548,3.559364894399649,3.559364894399649,2.961610448992548,2.3739512645470112e-05,0.010450842796528364,4.0,0.0,0.0,2.973407567311569,0.24940482996775135,1.0272794589813647,2.4690023219246693,2.438796727648544,4.059954571518921,2623014.8500212296,0.021961923864110222,0.7294688639544413,0.01602053965140642
