province,hazard,rp,0
Camarines Sur,surge,1000,0.008659386
Camarines Sur,surge,1500,0.008890747
Camarines Sur,surge,2000,1.786165117
Camarines Sur,tsunami,20,8.25E-05
Camarines Sur,tsunami,50,0.00019776
Camarines Sur,tsunami,100,0.000536292
Camarines Sur,tsunami,250,0.002622035
Camarines Sur,tsunami,500,0.005394383
Camarines Sur,tsunami,1000,0.009966293
Camarines Sur,tsunami,1500,0.015727976
Camarines Sur,tsunami,2000,1.36E-17
Camarines Sur,wind,20,0.023734604
Camarines Sur,wind,50,0.032366968
Camarines Sur,wind,100,0.038610263
Camarines Sur,wind,250,0.047329513
Camarines Sur,wind,500,0.051516345
Camarines Sur,wind,1000,0.057140025
Camarines Sur,wind,1500,0.062763705
Camarines Sur,wind,2000,1.73E-15
Camiguin,earthquake,20,0.004361556
Camiguin,earthquake,50,0.008689917
Camiguin,earthquake,100,0.013530406
Camiguin,earthquake,250,0.022799017
Camiguin,earthquake,500,0.033622107
Camiguin,earthquake,1000,0.048921138
Camiguin,earthquake,1500,0.059429067
Camiguin,earthquake,2000,-4.34E-16
Camiguin,flood,20,0.00299518
Camiguin,flood,50,0.006529518
Camiguin,flood,100,0.011072441
Camiguin,flood,250,0.048478893
Camiguin,flood,500,0.054065956
Camiguin,flood,1000,0.063573287
Camiguin,flood,1500,0.067351827
Camiguin,flood,2000,0
Camiguin,surge,20,0.004384592
Camiguin,surge,50,0.005500548
Camiguin,surge,100,0.006751683
Camiguin,surge,250,0.007069631
Camiguin,surge,500,0.007599555
Camiguin,surge,1000,0.008659386
Camiguin,surge,1500,0.008890747
Camiguin,surge,2000,1.786165117
Camiguin,tsunami,20,8.25E-05
Camiguin,tsunami,50,0.00019776
Camiguin,tsunami,100,0.000536292
Camiguin,tsunami,250,0.002622035
Camiguin,tsunami,500,0.005394383
Camiguin,tsunami,1000,0.009966293
Camiguin,tsunami,1500,0.015727976
Camiguin,tsunami,2000,1.36E-17
Camiguin,wind,20,0.023734604
Camiguin,wind,50,0.032366968
Camiguin,wind,100,0.038610263
Camiguin,wind,250,0.047329513
Camiguin,wind,500,0.051516345
Camiguin,wind,1000,0.057140025
Camiguin,wind,1500,0.062763705
Camiguin,wind,2000,1.73E-15
Capiz,earthquake,20,0.004361556
Capiz,earthquake,50,0.008689917
Capiz,earthquake,100,0.013530406
Capiz,earthquake,250,0.022799017
Capiz,earthquake,500,0.033622107
Capiz,earthquake,1000,0.048921138
Capiz,earthquake,1500,0.059429067
Capiz,earthquake,2000,-4.34E-16
Capiz,flood,20,0.00299518
Capiz,flood,50,0.006529518
Capiz,flood,100,0.011072441
Capiz,flood,250,0.048478893
Capiz,flood,500,0.054065956
Capiz,flood,1000,0.063573287
Capiz,flood,1500,0.067351827
Capiz,flood,2000,0
Capiz,surge,20,0.004384592
Capiz,surge,50,0.005500548
Capiz,surge,100,0.006751683
Capiz,surge,250,0.007069631
Capiz,surge,500,0.007599555
Capiz,surge,1000,0.008659386
Capiz,surge,1500,0.008890747
Capiz,surge,2000,1.786165117
Capiz,tsunami,20,8.25E-05
Capiz,tsunami,50,0.00019776
Capiz,tsunami,100,0.000536292
Capiz,tsunami,250,0.002622035
Capiz,tsunami,500,0.005394383
Capiz,tsunami,1000,0.009966293
Capiz,tsunami,1500,0.015727976
Capiz,tsunami,2000,1.36E-17
Capiz,wind,20,0.023734604
Capiz,wind,50,0.032366968
Capiz,wind,100,0.038610263
Capiz,wind,250,0.047329513
Capiz,wind,500,0.051516345
Capiz,wind,1000,0.057140025
Capiz,wind,1500,0.062763705
Capiz,wind,2000,1.73E-15
Catanduanes,earthquake,20,0.004361556
Catanduanes,earthquake,50,0.008689917
Catanduanes,earthquake,100,0.013530406
Catanduanes,earthquake,250,0.022799017
Catanduanes,earthquake,500,0.033622107
Catanduanes,earthquake,1000,0.048921138
Catanduanes,earthquake,1500,0.059429067
Catanduanes,earthquake,2000,-4.34E-16
Catanduanes,flood,20,0.00299518
Catanduanes,flood,50,0.006529518
Catanduanes,flood,100,0.011072441
Catanduanes,flood,250,0.048478893
Catanduanes,flood,500,0.054065956
Catanduanes,flood,1000,0.063573287
Catanduanes,flood,1500,0.067351827
Catanduanes,flood,2000,0
Catanduanes,surge,20,0.004384592
Catanduanes,surge,50,0.005500548
Catanduanes,surge,100,0.006751683
Catanduanes,surge,250,0.007069631
Catanduanes,surge,500,0.007599555
Catanduanes,surge,1000,0.008659386
Catanduanes,surge,1500,0.008890747
Catanduanes,surge,2000,1.786165117
Catanduanes,tsunami,20,8.25E-05
Catanduanes,tsunami,50,0.00019776
Catanduanes,tsunami,100,0.000536292
Catanduanes,tsunami,250,0.002622035
Catanduanes,tsunami,500,0.005394383
Catanduanes,tsunami,1000,0.009966293
Catanduanes,tsunami,1500,0.015727976
Catanduanes,tsunami,2000,1.36E-17
Catanduanes,wind,20,0.023734604
Catanduanes,wind,50,0.032366968
Catanduanes,wind,100,0.038610263
Catanduanes,wind,250,0.047329513
Catanduanes,wind,500,0.051516345
Catanduanes,wind,1000,0.057140025
Catanduanes,wind,1500,0.062763705
Catanduanes,wind,2000,1.73E-15
Cavite,earthquake,20,0.004361556
Cavite,earthquake,50,0.008689917
Cavite,earthquake,100,0.013530406
Cavite,earthquake,250,0.022799017
Cavite,earthquake,500,0.033622107
Cavite,earthquake,1000,0.048921138
Cavite,earthquake,1500,0.059429067
Cavite,earthquake,2000,-4.34E-16
Cavite,flood,20,0.00299518
Cavite,flood,50,0.006529518
Cavite,flood,100,0.011072441
Cavite,flood,250,0.048478893
Cavite,flood,500,0.054065956
Cavite,flood,1000,0.063573287
Cavite,flood,1500,0.067351827
Cavite,flood,2000,0
Cavite,surge,20,0.004384592
Cavite,surge,50,0.005500548
Cavite,surge,100,0.006751683
Cavite,surge,250,0.007069631
Cavite,surge,500,0.007599555
Cavite,surge,1000,0.008659386
Cavite,surge,1500,0.008890747
Cavite,surge,2000,1.786165117
Cavite,tsunami,20,8.25E-05
Cavite,tsunami,50,0.00019776
Cavite,tsunami,100,0.000536292
Cavite,tsunami,250,0.002622035
Cavite,tsunami,500,0.005394383
Cavite,tsunami,1000,0.009966293
Cavite,tsunami,1500,0.015727976
Cavite,tsunami,2000,1.36E-17
Cavite,wind,20,0.023734604
Cavite,wind,50,0.032366968
Cavite,wind,100,0.038610263
Cavite,wind,250,0.047329513
Cavite,wind,500,0.051516345
Cavite,wind,1000,0.057140025
Cavite,wind,1500,0.062763705
Cavite,wind,2000,1.73E-15
Cebu,earthquake,20,0.004361556
Cebu,earthquake,50,0.008689917
Cebu,earthquake,100,0.013530406
Cebu,earthquake,250,0.022799017
Cebu,earthquake,500,0.033622107
Cebu,earthquake,1000,0.048921138
Cebu,earthquake,1500,0.059429067
Cebu,earthquake,2000,-4.34E-16
Cebu,flood,20,0.00299518
Cebu,flood,50,0.006529518
Cebu,flood,100,0.011072441
Cebu,flood,250,0.048478893
Cebu,flood,500,0.054065956
Cebu,flood,1000,0.063573287
Cebu,flood,1500,0.067351827
Cebu,flood,2000,0
Cebu,surge,20,0.004384592
Cebu,surge,50,0.005500548
Cebu,surge,100,0.006751683
Cebu,surge,250,0.007069631
Cebu,surge,500,0.007599555
Cebu,surge,1000,0.008659386
Cebu,surge,1500,0.008890747
Cebu,surge,2000,1.786165117
Cebu,tsunami,20,8.25E-05
Cebu,tsunami,50,0.00019776
Cebu,tsunami,100,0.000536292
Cebu,tsunami,250,0.002622035
Cebu,tsunami,500,0.005394383
Cebu,tsunami,1000,0.009966293
Cebu,tsunami,1500,0.015727976
Cebu,tsunami,2000,1.36E-17
Cebu,wind,20,0.023734604
Cebu,wind,50,0.032366968
Cebu,wind,100,0.038610263
Cebu,wind,250,0.047329513
Cebu,wind,500,0.051516345
Cebu,wind,1000,0.057140025
Cebu,wind,1500,0.062763705
Cebu,wind,2000,1.73E-15
Compostela Valley,earthquake,20,0.004361556
Compostela Valley,earthquake,50,0.008689917
Compostela Valley,earthquake,100,0.013530406
Compostela Valley,earthquake,250,0.022799017
Compostela Valley,earthquake,500,0.033622107
Compostela Valley,earthquake,1000,0.048921138
Compostela Valley,earthquake,1500,0.059429067
Compostela Valley,earthquake,2000,-4.34E-16
Compostela Valley,flood,20,0.00299518
Compostela Valley,flood,50,0.006529518
Compostela Valley,flood,100,0.011072441
Compostela Valley,flood,250,0.048478893
Compostela Valley,flood,500,0.054065956
Compostela Valley,flood,1000,0.063573287
Compostela Valley,flood,1500,0.067351827
Compostela Valley,flood,2000,0
Compostela Valley,surge,20,0.004384592
Compostela Valley,surge,50,0.005500548
Compostela Valley,surge,100,0.006751683
Compostela Valley,surge,250,0.007069631
Compostela Valley,surge,500,0.007599555
Compostela Valley,surge,1000,0.008659386
Compostela Valley,surge,1500,0.008890747
Compostela Valley,surge,2000,1.786165117
Compostela Valley,tsunami,20,8.25E-05
Compostela Valley,tsunami,50,0.00019776
Compostela Valley,tsunami,100,0.000536292
Compostela Valley,tsunami,250,0.002622035
Compostela Valley,tsunami,500,0.005394383
Compostela Valley,tsunami,1000,0.009966293
Compostela Valley,tsunami,1500,0.015727976
Compostela Valley,tsunami,2000,1.36E-17
Compostela Valley,wind,20,0.023734604
Compostela Valley,wind,50,0.032366968
Compostela Valley,wind,100,0.038610263
Compostela Valley,wind,250,0.047329513
Compostela Valley,wind,500,0.051516345
Compostela Valley,wind,1000,0.057140025
Compostela Valley,wind,1500,0.062763705
Compostela Valley,wind,2000,1.73E-15
Cotabato,earthquake,20,0.004361556
Cotabato,earthquake,50,0.008689917
Cotabato,earthquake,100,0.013530406
Cotabato,earthquake,250,0.022799017
Cotabato,earthquake,500,0.033622107
Cotabato,earthquake,1000,0.048921138
Cotabato,earthquake,1500,0.059429067
Cotabato,earthquake,2000,-4.34E-16
Cotabato,flood,20,0.00299518
Cotabato,flood,50,0.006529518
Cotabato,flood,100,0.011072441
Cotabato,flood,250,0.048478893
Cotabato,flood,500,0.054065956
Cotabato,flood,1000,0.063573287
Cotabato,flood,1500,0.067351827
Cotabato,flood,2000,0
Cotabato,surge,20,0.004384592
Cotabato,surge,50,0.005500548
Cotabato,surge,100,0.006751683
Cotabato,surge,250,0.007069631
Cotabato,surge,500,0.007599555
Cotabato,surge,1000,0.008659386
Cotabato,surge,1500,0.008890747
Cotabato,surge,2000,1.786165117
Cotabato,tsunami,20,8.25E-05
Cotabato,tsunami,50,0.00019776
Cotabato,tsunami,100,0.000536292
Cotabato,tsunami,250,0.002622035
Cotabato,tsunami,500,0.005394383
Cotabato,tsunami,1000,0.009966293
Cotabato,tsunami,1500,0.015727976
Cotabato,tsunami,2000,1.36E-17
Cotabato,wind,20,0.023734604
Cotabato,wind,50,0.032366968
Cotabato,wind,100,0.038610263
Cotabato,wind,250,0.047329513
Cotabato,wind,500,0.051516345
Cotabato,wind,1000,0.057140025
Cotabato,wind,1500,0.062763705
Cotabato,wind,2000,1.73E-15
Cotabato City,earthquake,20,0.004361556
Cotabato City,earthquake,50,0.008689917
Cotabato City,earthquake,100,0.013530406
Cotabato City,earthquake,250,0.022799017
Cotabato City,earthquake,500,0.033622107
Cotabato City,earthquake,1000,0.048921138
Cotabato City,earthquake,1500,0.059429067
Cotabato City,earthquake,2000,-4.34E-16
Cotabato City,flood,20,0.00299518
Cotabato City,flood,50,0.006529518
Cotabato City,flood,100,0.011072441
Cotabato City,flood,250,0.048478893
Cotabato City,flood,500,0.054065956
Cotabato City,flood,1000,0.063573287
Cotabato City,flood,1500,0.067351827
Cotabato City,flood,2000,0
Cotabato City,surge,20,0.004384592
Cotabato City,surge,50,0.005500548
Cotabato City,surge,100,0.006751683
Cotabato City,surge,250,0.007069631
Cotabato City,surge,500,0.007599555
Cotabato City,surge,1000,0.008659386
Cotabato City,surge,1500,0.008890747
Cotabato City,surge,2000,1.786165117
Cotabato City,tsunami,20,8.25E-05
Cotabato City,tsunami,50,0.00019776
Cotabato City,tsunami,100,0.000536292
Cotabato City,tsunami,250,0.002622035
Cotabato City,tsunami,500,0.005394383
Cotabato City,tsunami,1000,0.009966293
Cotabato City,tsunami,1500,0.015727976
Cotabato City,tsunami,2000,1.36E-17
Cotabato City,wind,20,0.023734604
Cotabato City,wind,50,0.032366968
Cotabato City,wind,100,0.038610263
Cotabato City,wind,250,0.047329513
Cotabato City,wind,500,0.051516345
Cotabato City,wind,1000,0.057140025
Cotabato City,wind,1500,0.062763705
Cotabato City,wind,2000,1.73E-15
Davao,earthquake,20,0.004361556
Davao,earthquake,50,0.008689917
Davao,earthquake,100,0.013530406
Davao,earthquake,250,0.022799017
Davao,earthquake,500,0.033622107
Davao,earthquake,1000,0.048921138
Davao,earthquake,1500,0.059429067
Davao,earthquake,2000,-4.34E-16
Davao,flood,20,0.00299518
Davao,flood,50,0.006529518
Davao,flood,100,0.011072441
Davao,flood,250,0.048478893
Davao,flood,500,0.054065956
Davao,flood,1000,0.063573287
Davao,flood,1500,0.067351827
Davao,flood,2000,0
Davao,surge,20,0.004384592
Davao,surge,50,0.005500548
Davao,surge,100,0.006751683
Davao,surge,250,0.007069631
Davao,surge,500,0.007599555
Davao,surge,1000,0.008659386
Davao,surge,1500,0.008890747
Davao,surge,2000,1.786165117
Davao,tsunami,20,8.25E-05
Davao,tsunami,50,0.00019776
Davao,tsunami,100,0.000536292
Davao,tsunami,250,0.002622035
Davao,tsunami,500,0.005394383
Davao,tsunami,1000,0.009966293
Davao,tsunami,1500,0.015727976
Davao,tsunami,2000,1.36E-17
Davao,wind,20,0.023734604
Davao,wind,50,0.032366968
Davao,wind,100,0.038610263
Davao,wind,250,0.047329513
Davao,wind,500,0.051516345
Davao,wind,1000,0.057140025
Davao,wind,1500,0.062763705
Davao,wind,2000,1.73E-15
Davao del Sur,earthquake,20,0.004361556
Davao del Sur,earthquake,50,0.008689917
Davao del Sur,earthquake,100,0.013530406
Davao del Sur,earthquake,250,0.022799017
Davao del Sur,earthquake,500,0.033622107
Davao del Sur,earthquake,1000,0.048921138
Davao del Sur,earthquake,1500,0.059429067
Davao del Sur,earthquake,2000,-4.34E-16
Davao del Sur,flood,20,0.00299518
Davao del Sur,flood,50,0.006529518
Davao del Sur,flood,100,0.011072441
Davao del Sur,flood,250,0.048478893
Davao del Sur,flood,500,0.054065956
Davao del Sur,flood,1000,0.063573287
Davao del Sur,flood,1500,0.067351827
Davao del Sur,flood,2000,0
Davao del Sur,surge,20,0.004384592
Davao del Sur,surge,50,0.005500548
Davao del Sur,surge,100,0.006751683
Davao del Sur,surge,250,0.007069631
Davao del Sur,surge,500,0.007599555
Davao del Sur,surge,1000,0.008659386
Davao del Sur,surge,1500,0.008890747
Davao del Sur,surge,2000,1.786165117
Davao del Sur,tsunami,20,8.25E-05
Davao del Sur,tsunami,50,0.00019776
Davao del Sur,tsunami,100,0.000536292
Davao del Sur,tsunami,250,0.002622035
Davao del Sur,tsunami,500,0.005394383
Davao del Sur,tsunami,1000,0.009966293
Davao del Sur,tsunami,1500,0.015727976
Davao del Sur,tsunami,2000,1.36E-17
Davao del Sur,wind,20,0.023734604
Davao del Sur,wind,50,0.032366968
Davao del Sur,wind,100,0.038610263
Davao del Sur,wind,250,0.047329513
Davao del Sur,wind,500,0.051516345
Davao del Sur,wind,1000,0.057140025
Davao del Sur,wind,1500,0.062763705
Davao del Sur,wind,2000,1.73E-15
Davao Oriental,earthquake,20,0.004361556
Davao Oriental,earthquake,50,0.008689917
Davao Oriental,earthquake,100,0.013530406
Davao Oriental,earthquake,250,0.022799017
Davao Oriental,earthquake,500,0.033622107
Davao Oriental,earthquake,1000,0.048921138
Davao Oriental,earthquake,1500,0.059429067
Davao Oriental,earthquake,2000,-4.34E-16
Davao Oriental,flood,20,0.00299518
Davao Oriental,flood,50,0.006529518
Davao Oriental,flood,100,0.011072441
Davao Oriental,flood,250,0.048478893
Davao Oriental,flood,500,0.054065956
Davao Oriental,flood,1000,0.063573287
Davao Oriental,flood,1500,0.067351827
Davao Oriental,flood,2000,0
Davao Oriental,surge,20,0.004384592
Davao Oriental,surge,50,0.005500548
Davao Oriental,surge,100,0.006751683
Davao Oriental,surge,250,0.007069631
Davao Oriental,surge,500,0.007599555
Davao Oriental,surge,1000,0.008659386
Davao Oriental,surge,1500,0.008890747
Davao Oriental,surge,2000,1.786165117
Davao Oriental,tsunami,20,8.25E-05
Davao Oriental,tsunami,50,0.00019776
Davao Oriental,tsunami,100,0.000536292
Davao Oriental,tsunami,250,0.002622035
Davao Oriental,tsunami,500,0.005394383
Davao Oriental,tsunami,1000,0.009966293
Davao Oriental,tsunami,1500,0.015727976
Davao Oriental,tsunami,2000,1.36E-17
Davao Oriental,wind,20,0.023734604
Davao Oriental,wind,50,0.032366968
Davao Oriental,wind,100,0.038610263
Davao Oriental,wind,250,0.047329513
Davao Oriental,wind,500,0.051516345
Davao Oriental,wind,1000,0.057140025
Davao Oriental,wind,1500,0.062763705
Davao Oriental,wind,2000,1.73E-15
Eastern Samar,earthquake,20,0.004361556
Eastern Samar,earthquake,50,0.008689917
Eastern Samar,earthquake,100,0.013530406
Eastern Samar,earthquake,250,0.022799017
Eastern Samar,earthquake,500,0.033622107
Eastern Samar,earthquake,1000,0.048921138
Eastern Samar,earthquake,1500,0.059429067
Eastern Samar,earthquake,2000,-4.34E-16
Eastern Samar,flood,20,0.00299518
Eastern Samar,flood,50,0.006529518
Eastern Samar,flood,100,0.011072441
Eastern Samar,flood,250,0.048478893
Eastern Samar,flood,500,0.054065956
Eastern Samar,flood,1000,0.063573287
Eastern Samar,flood,1500,0.067351827
Eastern Samar,flood,2000,0
Eastern Samar,surge,20,0.004384592
Eastern Samar,surge,50,0.005500548
Eastern Samar,surge,100,0.006751683
Eastern Samar,surge,250,0.007069631
Eastern Samar,surge,500,0.007599555
Eastern Samar,surge,1000,0.008659386
Eastern Samar,surge,1500,0.008890747
Eastern Samar,surge,2000,1.786165117
Eastern Samar,tsunami,20,8.25E-05
Eastern Samar,tsunami,50,0.00019776
Eastern Samar,tsunami,100,0.000536292
Eastern Samar,tsunami,250,0.002622035
Eastern Samar,tsunami,500,0.005394383
Eastern Samar,tsunami,1000,0.009966293
Eastern Samar,tsunami,1500,0.015727976
Eastern Samar,tsunami,2000,1.36E-17
Eastern Samar,wind,20,0.023734604
Eastern Samar,wind,50,0.032366968
Eastern Samar,wind,100,0.038610263
Eastern Samar,wind,250,0.047329513
Eastern Samar,wind,500,0.051516345
Eastern Samar,wind,1000,0.057140025
Eastern Samar,wind,1500,0.062763705
Eastern Samar,wind,2000,1.73E-15
Guimaras,earthquake,20,0.004361556
Guimaras,earthquake,50,0.008689917
Guimaras,earthquake,100,0.013530406
Guimaras,earthquake,250,0.022799017
Guimaras,earthquake,500,0.033622107
Guimaras,earthquake,1000,0.048921138
Guimaras,earthquake,1500,0.059429067
Guimaras,earthquake,2000,-4.34E-16
Guimaras,flood,20,0.00299518
Guimaras,flood,50,0.006529518
Guimaras,flood,100,0.011072441
Guimaras,flood,250,0.048478893
Guimaras,flood,500,0.054065956
Guimaras,flood,1000,0.063573287
Guimaras,flood,1500,0.067351827
Guimaras,flood,2000,0
Guimaras,surge,20,0.004384592
Guimaras,surge,50,0.005500548
Guimaras,surge,100,0.006751683
Guimaras,surge,250,0.007069631
Guimaras,surge,500,0.007599555
Guimaras,surge,1000,0.008659386
Guimaras,surge,1500,0.008890747
Guimaras,surge,2000,1.786165117
Guimaras,tsunami,20,8.25E-05
Guimaras,tsunami,50,0.00019776
Guimaras,tsunami,100,0.000536292
Guimaras,tsunami,250,0.002622035
Guimaras,tsunami,500,0.005394383
Guimaras,tsunami,1000,0.009966293
Guimaras,tsunami,1500,0.015727976
Guimaras,tsunami,2000,1.36E-17
Guimaras,wind,20,0.023734604
Guimaras,wind,50,0.032366968
Guimaras,wind,100,0.038610263
Guimaras,wind,250,0.047329513
Guimaras,wind,500,0.051516345
Guimaras,wind,1000,0.057140025
Guimaras,wind,1500,0.062763705
Guimaras,wind,2000,1.73E-15
Ifugao,earthquake,20,0.004361556
Ifugao,earthquake,50,0.008689917
Ifugao,earthquake,100,0.013530406
Ifugao,earthquake,250,0.022799017
Ifugao,earthquake,500,0.033622107
Ifugao,earthquake,1000,0.048921138
Ifugao,earthquake,1500,0.059429067
Ifugao,earthquake,2000,-4.34E-16
Ifugao,flood,20,0.00299518
Ifugao,flood,50,0.006529518
Ifugao,flood,100,0.011072441
Ifugao,flood,250,0.048478893
Ifugao,flood,500,0.054065956
Ifugao,flood,1000,0.063573287
Ifugao,flood,1500,0.067351827
Ifugao,flood,2000,0
Ifugao,surge,20,0.004384592
Ifugao,surge,50,0.005500548
Ifugao,surge,100,0.006751683
Ifugao,surge,250,0.007069631
Ifugao,surge,500,0.007599555
Ifugao,surge,1000,0.008659386
Ifugao,surge,1500,0.008890747
Ifugao,surge,2000,1.786165117
Ifugao,tsunami,20,8.25E-05
Ifugao,tsunami,50,0.00019776
Ifugao,tsunami,100,0.000536292
Ifugao,tsunami,250,0.002622035
Ifugao,tsunami,500,0.005394383
Ifugao,tsunami,1000,0.009966293
Ifugao,tsunami,1500,0.015727976
Ifugao,tsunami,2000,1.36E-17
Ifugao,wind,20,0.023734604
Ifugao,wind,50,0.032366968
Ifugao,wind,100,0.038610263
Ifugao,wind,250,0.047329513
Ifugao,wind,500,0.051516345
Ifugao,wind,1000,0.057140025
Ifugao,wind,1500,0.062763705
Ifugao,wind,2000,1.73E-15
Ilocos Norte,earthquake,20,0.004361556
Ilocos Norte,earthquake,50,0.008689917
Ilocos Norte,earthquake,100,0.013530406
Ilocos Norte,earthquake,250,0.022799017
Ilocos Norte,earthquake,500,0.033622107
Ilocos Norte,earthquake,1000,0.048921138
Ilocos Norte,earthquake,1500,0.059429067
Ilocos Norte,earthquake,2000,-4.34E-16
Ilocos Norte,flood,20,0.00299518
Ilocos Norte,flood,50,0.006529518
Ilocos Norte,flood,100,0.011072441
Ilocos Norte,flood,250,0.048478893
Ilocos Norte,flood,500,0.054065956
Ilocos Norte,flood,1000,0.063573287
Ilocos Norte,flood,1500,0.067351827
Ilocos Norte,flood,2000,0
Ilocos Norte,surge,20,0.004384592
Ilocos Norte,surge,50,0.005500548
Ilocos Norte,surge,100,0.006751683
Ilocos Norte,surge,250,0.007069631
Ilocos Norte,surge,500,0.007599555
Ilocos Norte,surge,1000,0.008659386
Ilocos Norte,surge,1500,0.008890747
Ilocos Norte,surge,2000,1.786165117
Ilocos Norte,tsunami,20,8.25E-05
Ilocos Norte,tsunami,50,0.00019776
Ilocos Norte,tsunami,100,0.000536292
Ilocos Norte,tsunami,250,0.002622035
Ilocos Norte,tsunami,500,0.005394383
Ilocos Norte,tsunami,1000,0.009966293
Ilocos Norte,tsunami,1500,0.015727976
Ilocos Norte,tsunami,2000,1.36E-17
Ilocos Norte,wind,20,0.023734604
Ilocos Norte,wind,50,0.032366968
Ilocos Norte,wind,100,0.038610263
Ilocos Norte,wind,250,0.047329513
Ilocos Norte,wind,500,0.051516345
Ilocos Norte,wind,1000,0.057140025
Ilocos Norte,wind,1500,0.062763705
Ilocos Norte,wind,2000,1.73E-15
Ilocos Sur,earthquake,20,0.004361556
Ilocos Sur,earthquake,50,0.008689917
Ilocos Sur,earthquake,100,0.013530406
Ilocos Sur,earthquake,250,0.022799017
Ilocos Sur,earthquake,500,0.033622107
Ilocos Sur,earthquake,1000,0.048921138
Ilocos Sur,earthquake,1500,0.059429067
Ilocos Sur,earthquake,2000,-4.34E-16
Ilocos Sur,flood,20,0.00299518
Ilocos Sur,flood,50,0.006529518
Ilocos Sur,flood,100,0.011072441
Ilocos Sur,flood,250,0.048478893
Ilocos Sur,flood,500,0.054065956
Ilocos Sur,flood,1000,0.063573287
Ilocos Sur,flood,1500,0.067351827
Ilocos Sur,flood,2000,0
Ilocos Sur,surge,20,0.004384592
Ilocos Sur,surge,50,0.005500548
Ilocos Sur,surge,100,0.006751683
Ilocos Sur,surge,250,0.007069631
Ilocos Sur,surge,500,0.007599555
Ilocos Sur,surge,1000,0.008659386
Ilocos Sur,surge,1500,0.008890747
Ilocos Sur,surge,2000,1.786165117
Ilocos Sur,tsunami,20,8.25E-05
Ilocos Sur,tsunami,50,0.00019776
Ilocos Sur,tsunami,100,0.000536292
Ilocos Sur,tsunami,250,0.002622035
Ilocos Sur,tsunami,500,0.005394383
Ilocos Sur,tsunami,1000,0.009966293
Ilocos Sur,tsunami,1500,0.015727976
Ilocos Sur,tsunami,2000,1.36E-17
Ilocos Sur,wind,20,0.023734604
Ilocos Sur,wind,50,0.032366968
Ilocos Sur,wind,100,0.038610263
Ilocos Sur,wind,250,0.047329513
Ilocos Sur,wind,500,0.051516345
Ilocos Sur,wind,1000,0.057140025
Ilocos Sur,wind,1500,0.062763705
Ilocos Sur,wind,2000,1.73E-15
Iloilo,earthquake,20,0.004361556
Iloilo,earthquake,50,0.008689917
Iloilo,earthquake,100,0.013530406
Iloilo,earthquake,250,0.022799017
Iloilo,earthquake,500,0.033622107
Iloilo,earthquake,1000,0.048921138
Iloilo,earthquake,1500,0.059429067
Iloilo,earthquake,2000,-4.34E-16
Iloilo,flood,20,0.00299518
Iloilo,flood,50,0.006529518
Iloilo,flood,100,0.011072441
Iloilo,flood,250,0.048478893
Iloilo,flood,500,0.054065956
Iloilo,flood,1000,0.063573287
Iloilo,flood,1500,0.067351827
Iloilo,flood,2000,0
Iloilo,surge,20,0.004384592
Iloilo,surge,50,0.005500548
Iloilo,surge,100,0.006751683
Iloilo,surge,250,0.007069631
Iloilo,surge,500,0.007599555
Iloilo,surge,1000,0.008659386
Iloilo,surge,1500,0.008890747
Iloilo,surge,2000,1.786165117
Iloilo,tsunami,20,8.25E-05
Iloilo,tsunami,50,0.00019776
Iloilo,tsunami,100,0.000536292
Iloilo,tsunami,250,0.002622035
Iloilo,tsunami,500,0.005394383
Iloilo,tsunami,1000,0.009966293
Iloilo,tsunami,1500,0.015727976
Iloilo,tsunami,2000,1.36E-17
Iloilo,wind,20,0.023734604
Iloilo,wind,50,0.032366968
Iloilo,wind,100,0.038610263
Iloilo,wind,250,0.047329513
Iloilo,wind,500,0.051516345
Iloilo,wind,1000,0.057140025
Iloilo,wind,1500,0.062763705
Iloilo,wind,2000,1.73E-15
Isabela,earthquake,20,0.004361556
Isabela,earthquake,50,0.008689917
Isabela,earthquake,100,0.013530406
Isabela,earthquake,250,0.022799017
Isabela,earthquake,500,0.033622107
Isabela,earthquake,1000,0.048921138
Isabela,earthquake,1500,0.059429067
Isabela,earthquake,2000,-4.34E-16
Isabela,flood,20,0.00299518
Isabela,flood,50,0.006529518
Isabela,flood,100,0.011072441
Isabela,flood,250,0.048478893
Isabela,flood,500,0.054065956
Isabela,flood,1000,0.063573287
Isabela,flood,1500,0.067351827
Isabela,flood,2000,0
Isabela,surge,20,0.004384592
Isabela,surge,50,0.005500548
Isabela,surge,100,0.006751683
Isabela,surge,250,0.007069631
Isabela,surge,500,0.007599555
Isabela,surge,1000,0.008659386
Isabela,surge,1500,0.008890747
Isabela,surge,2000,1.786165117
Isabela,tsunami,20,8.25E-05
Isabela,tsunami,50,0.00019776
Isabela,tsunami,100,0.000536292
Isabela,tsunami,250,0.002622035
Isabela,tsunami,500,0.005394383
Isabela,tsunami,1000,0.009966293
Isabela,tsunami,1500,0.015727976
Isabela,tsunami,2000,1.36E-17
Isabela,wind,20,0.023734604
Isabela,wind,50,0.032366968
Isabela,wind,100,0.038610263
Isabela,wind,250,0.047329513
Isabela,wind,500,0.051516345
Isabela,wind,1000,0.057140025
Isabela,wind,1500,0.062763705
Isabela,wind,2000,1.73E-15
Isabela City,earthquake,20,0.004361556
Isabela City,earthquake,50,0.008689917
Isabela City,earthquake,100,0.013530406
Isabela City,earthquake,250,0.022799017
Isabela City,earthquake,500,0.033622107
