country,hazard,rp,0
Argentina,flood,50,0.004100576
Argentina,flood,100,0.005874906
Argentina,flood,250,0.008783969
Argentina,flood,500,0.011605961
Argentina,flood,1000,0.015123473
Argentina,flood,1500,0.016313386
Argentina,flood,2000,1.08E-16
Argentina,surge,20,0
Argentina,surge,50,0
Argentina,surge,100,0
Argentina,surge,250,0
Argentina,surge,500,0
Argentina,surge,1000,0
Argentina,surge,1500,0
Argentina,surge,2000,0
Argentina,tsunami,20,0
Argentina,tsunami,50,0
Argentina,tsunami,100,0
Argentina,tsunami,250,0
Argentina,tsunami,500,0
Argentina,tsunami,1000,0
Argentina,tsunami,1500,0
Argentina,tsunami,2000,0
Argentina,wind,20,0
Argentina,wind,50,0
Argentina,wind,100,0
Argentina,wind,250,0
Argentina,wind,500,0
Argentina,wind,1000,0
Argentina,wind,1500,0
Argentina,wind,2000,0
Armenia,earthquake,20,0.004850798
Armenia,earthquake,50,0.012011251
Armenia,earthquake,100,0.022476327
Armenia,earthquake,250,0.047469339
Armenia,earthquake,500,0.07464141
Armenia,earthquake,1000,0.109843985
Armenia,earthquake,1500,0.129405727
Armenia,earthquake,2000,-8.67E-16
Armenia,flood,20,0.00468715
Armenia,flood,50,0.012106725
Armenia,flood,100,0.015196216
Armenia,flood,250,0.018244936
Armenia,flood,500,0.020890686
Armenia,flood,1000,0.020978532
Armenia,flood,1500,0.021066378
Armenia,flood,2000,0
Armenia,surge,20,0
Armenia,surge,50,0
Armenia,surge,100,0
Armenia,surge,250,0
Armenia,surge,500,0
Armenia,surge,1000,0
Armenia,surge,1500,0
Armenia,surge,2000,0
Armenia,tsunami,20,0
Armenia,tsunami,50,0
Armenia,tsunami,100,0
Armenia,tsunami,250,0
Armenia,tsunami,500,0
Armenia,tsunami,1000,0
Armenia,tsunami,1500,0
Armenia,tsunami,2000,0
Armenia,wind,20,0
Armenia,wind,50,0
Armenia,wind,100,0
Armenia,wind,250,0
Armenia,wind,500,0
Armenia,wind,1000,0
Armenia,wind,1500,0
Armenia,wind,2000,0
Aruba,earthquake,20,0.001582602
Aruba,earthquake,50,0.009071338
Aruba,earthquake,100,0.031750806
Aruba,earthquake,250,0.113943956
Aruba,earthquake,500,0.21109662
Aruba,earthquake,1000,0.31590077
Aruba,earthquake,1500,0.370418593
Aruba,earthquake,2000,-4.34E-16
Aruba,surge,20,0.010536087
Aruba,surge,50,0.057509052
Aruba,surge,100,0.077411672
Aruba,surge,250,0.096268203
Aruba,surge,500,0.107576509
Aruba,surge,1000,0.122809892
Aruba,surge,1500,0.124154543
Aruba,surge,2000,0
Aruba,tsunami,20,0
Aruba,tsunami,50,0
Aruba,tsunami,100,0
Aruba,tsunami,250,0
Aruba,tsunami,500,0
Aruba,tsunami,1000,0
Aruba,tsunami,1500,0
Aruba,tsunami,2000,0
Aruba,wind,20,0.006157555
Aruba,wind,50,0.019066422
Aruba,wind,100,0.040666129
Aruba,wind,250,0.078585715
Aruba,wind,500,0.095986477
Aruba,wind,1000,0.114937291
Aruba,wind,1500,0.120095899
Aruba,wind,2000,4.34E-16
Australia,earthquake,20,0
Australia,earthquake,50,0
Australia,earthquake,100,0
Australia,earthquake,250,0
Australia,earthquake,500,0
Australia,earthquake,1000,0
Australia,earthquake,1500,0
Australia,earthquake,2000,0.018544464
Australia,flood,20,0.002491669
Australia,flood,50,0.004883281
Australia,flood,100,0.007575952
Australia,flood,250,0.012550039
Australia,flood,500,0.015511151
Australia,flood,1000,0.017864169
Australia,flood,1500,0.019859411
Australia,flood,2000,2.17E-16
Australia,surge,20,0.000507154
Australia,surge,50,0.000592005
Australia,surge,100,0.000696755
Australia,surge,250,0.000697246
Australia,surge,500,0.000698064
Australia,surge,1000,0.000699699
Australia,surge,1500,0.000701334
Australia,surge,2000,5.42E-17
Australia,tsunami,20,0
Australia,tsunami,50,0
Australia,tsunami,100,0
Australia,tsunami,250,0
Australia,tsunami,500,0
Australia,tsunami,1000,0
Australia,tsunami,1500,0
Australia,tsunami,2000,0.015455231
Australia,wind,20,6.06E-05
Australia,wind,50,0.000226025
Australia,wind,100,0.000313015
Australia,wind,250,0.000377656
Australia,wind,500,0.000443193
Australia,wind,1000,0.000460684
Australia,wind,1500,0.000478177
Australia,wind,2000,0
Austria,earthquake,20,0.000627288
Austria,earthquake,50,0.001765891
Austria,earthquake,100,0.003628731
Austria,earthquake,250,0.008122417
Austria,earthquake,500,0.013644918
Austria,earthquake,1000,0.022009531
Austria,earthquake,1500,0.028807207
Austria,earthquake,2000,1.08E-16
Austria,flood,20,0.000430533
Austria,flood,50,0.002502566
Austria,flood,100,0.006624567
Austria,flood,250,0.025108001
Austria,flood,500,0.034676811
Austria,flood,1000,0.047083072
Austria,flood,1500,0.06228591
Austria,flood,2000,0
Austria,surge,20,0
Austria,surge,50,0
Austria,surge,100,0
Austria,surge,250,0
Austria,surge,500,0
Austria,surge,1000,0
Austria,surge,1500,0
Austria,surge,2000,0
Austria,tsunami,20,0
Austria,tsunami,50,0
Austria,tsunami,100,0
Austria,tsunami,250,0
Austria,tsunami,500,0
Austria,tsunami,1000,0
Austria,tsunami,1500,0
Austria,tsunami,2000,0
Austria,wind,20,0
Austria,wind,50,0
Austria,wind,100,0
Austria,wind,250,0
Austria,wind,500,0
Austria,wind,1000,0
Austria,wind,1500,0
Austria,wind,2000,0
Azerbaijan,earthquake,20,0.003618921
Azerbaijan,earthquake,50,0.008237094
Azerbaijan,earthquake,100,0.014367997
Azerbaijan,earthquake,250,0.027114906
Azerbaijan,earthquake,500,0.040065514
Azerbaijan,earthquake,1000,0.055900905
Azerbaijan,earthquake,1500,0.066003973
Azerbaijan,earthquake,2000,4.34E-16
Azerbaijan,flood,20,0.000810236
Azerbaijan,flood,50,0.001883766
Azerbaijan,flood,100,0.003006814
Azerbaijan,flood,250,0.004299797
Azerbaijan,flood,500,0.005601003
Azerbaijan,flood,1000,0.008200699
Azerbaijan,flood,1500,0.009732204
Azerbaijan,flood,2000,0
Azerbaijan,surge,20,0
Azerbaijan,surge,50,0
Azerbaijan,surge,100,0
Azerbaijan,surge,250,0
Azerbaijan,surge,500,0
Azerbaijan,surge,1000,0
Azerbaijan,surge,1500,0
Azerbaijan,surge,2000,0
Azerbaijan,tsunami,20,0
Azerbaijan,tsunami,50,0
Azerbaijan,tsunami,100,0
Azerbaijan,tsunami,250,0
Azerbaijan,tsunami,500,0
Azerbaijan,tsunami,1000,0
Azerbaijan,tsunami,1500,0
Azerbaijan,tsunami,2000,0
Azerbaijan,wind,20,0
Azerbaijan,wind,50,0
Azerbaijan,wind,100,0
Azerbaijan,wind,250,0
Azerbaijan,wind,500,0
Azerbaijan,wind,1000,0
Azerbaijan,wind,1500,0
Azerbaijan,wind,2000,0
"Bahamas, The",earthquake,20,0
"Bahamas, The",earthquake,50,0
"Bahamas, The",earthquake,100,0
"Bahamas, The",earthquake,250,0
"Bahamas, The",earthquake,500,0
"Bahamas, The",earthquake,1000,0
"Bahamas, The",earthquake,1500,0
"Bahamas, The",earthquake,2000,0
"Bahamas, The",surge,20,0.208629822
"Bahamas, The",surge,50,0.273271729
"Bahamas, The",surge,100,0.273618444
"Bahamas, The",surge,250,0.274658805
"Bahamas, The",surge,500,0.276392378
"Bahamas, The",surge,1000,0.27985974
"Bahamas, The",surge,1500,0.283327103
"Bahamas, The",surge,2000,0
"Bahamas, The",tsunami,20,0
"Bahamas, The",tsunami,50,0
"Bahamas, The",tsunami,100,0
"Bahamas, The",tsunami,250,0
"Bahamas, The",tsunami,500,0
"Bahamas, The",tsunami,1000,0
"Bahamas, The",tsunami,1500,0
"Bahamas, The",tsunami,2000,0
"Bahamas, The",wind,20,0.119026227
"Bahamas, The",wind,50,0.254708517
