country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
"Congo, Rep.",5301.39727121401,5125821.0,0.042,0.65798,1528.24483012457,0.044292179999999994,0.13450479999999998,0.1719690500661691,0.13940263943101538
Costa Rica,15401.4925046929,4857274.0,0.043,0.7767499999999999,11824.638102000401,0.16048690000000002,0.2962873,0.2560476858962857,0.1631500651955905
Cote d'Ivoire,3448.14401279157,23695919.0,0.057,0.54869,1526.1971748425199,0.028859220000000005,0.1283048,,
Croatia,21408.5515144884,4170600.0,0.071,0.59284,12090.666563570301,0.2455249,0.292387,0.3912030319877197,0.26822971876610086
Cuba,,11475982.0,,0.77184,7602.261218318969,,,,
Curacao,,159999.0,,0.89241,,,,,
Cyprus,31195.506221171698,1170125.0,0.076,0.6684,23324.201735361803,0.15590479999999998,0.2639375,,
Czech Republic,31071.748371626803,10561633.0,0.09699999999999999,0.7298,18266.5496886036,0.3099159,0.4227365,,
Denmark,45686.48453149,5731118.0,0.091,0.8784700000000001,53417.6642756422,0.5787514,0.6937743000000001,,
Djibouti,3139.2735352270397,942333.0,0.049,0.7743000000000001,1862.1672737310398,0.01797438,0.043676589999999994,0.2858701354316727,0.08565180357270068
Dominica,10174.0385413709,73543.0,0.038,0.6981999999999999,7144.45467277647,0.44,0.44,0.5815343307526244,0.08303201217611587
Dominican Republic,14098.875869833,10648791.0,0.051,0.7984100000000001,6722.223535806121,0.16015629999999997,0.3398572,0.2167073734240724,0.11828219625866958
Early-demographic dividend,8510.79831247123,3170542188.0,,0.445769965069252,3240.72451541109,,,,
East Asia & Pacific,15784.1990680169,2296786207.0,,0.575222713607578,9786.46814302823,,,,
East Asia & Pacific (IDA & IBRD countries),12978.1803546634,2026028438.0,,0.538190623526529,6655.8457966614005,,,,
East Asia & Pacific (excluding high income),12841.957497047,2051431154.0,,0.5390900642014621,6586.0777441624205,,,,
Ecuador,10462.4413268594,16385068.0,0.045,0.6397600000000001,5968.98413848511,0.09100455,0.1761092,0.2769967741263885,0.18342049292966386
"Egypt, Arab Rep.",10319.256927452,95688681.0,0.091,0.43222,3514.4900968880797,0.020687630000000002,0.054469970000000006,0.10013164023017088,0.11927926539328736
El Salvador,7989.99725603083,6344722.0,0.061,0.6718899999999999,4223.58457943469,0.0411891,0.2072156,0.1693604679350849,0.1980808255660691
Equatorial Guinea,23671.400471362,1221490.0,,0.40103,8333.23826311996,,,,
Eritrea,1510.45892910899,4474690.0,,0.20954,582.775530237486,,,,
Estonia,27735.1385141946,1316481.0,0.07,0.6746800000000001,17574.6873552714,0.24340720000000002,0.36489649999999996,,
Ethiopia,1608.29347611692,102403196.0,0.08,0.19922,706.757754078087,0.09488185000000002,0.1639884,,
Euro area,38234.8144081083,340894606.0,,0.761427097081583,34866.0960709045,0.37590640000000003,0.5452209,,
Europe & Central Asia,29007.945967118198,911995305.0,,0.710606161463265,22108.5112817638,,,,
Europe & Central Asia (IDA & IBRD countries),19146.721286435,455372659.0,,0.647973419097974,7573.19766257718,,,,
Europe & Central Asia (excluding high income),18523.4167283924,417424643.0,,0.6518688936433371,7136.90129771336,,,,
European Union,36198.346535539706,511497415.0,,0.750256292946603,32058.773584566698,,,,
Faroe Islands,,49117.0,,0.42186999999999997,53612.713448651106,,,,
Fiji,8862.740442568871,898760.0,0.076,0.54099,5153.35154431659,0.6,0.6,0.193288704870383,0.12634736653352485
