country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Turks and Caicos Islands,,34900.0,,0.9250200000000001,,,,,
Tuvalu,3385.4342215619204,11097.0,0.066,0.6062,3083.6152508861896,,,,
Uganda,1713.85119176675,41487965.0,0.064,0.16444000000000003,615.308803182525,0.06975457,0.23384429999999998,0.06807252486519175,0.10572498882333774
Ukraine,7668.0557761534,45004645.0,0.1,0.69915,2185.72803066435,0.03185545,0.1091335,0.5823882631214791,0.3852444833522442
United Arab Emirates,67133.0655220221,9269612.0,,0.85804,37622.2074575932,0.245883,0.37138129999999997,,
United Kingdom,38901.0467584745,65637239.0,0.073,0.8283499999999999,39899.3883948894,0.36570890000000006,0.6278858,,
United States,53272.515709925996,323127513.0,0.051,0.8178799999999999,57466.78711323481,0.3883319,0.6432125000000001,,
Upper middle income,15722.0565080946,2579909675.0,,0.650454586241916,7937.288209255849,0.230716,0.384352,,
Uruguay,20046.9268328536,3444006.0,0.051,0.9545999999999999,15220.566025068401,0.0528978,0.17571460000000003,0.6301863446405656,0.3778652067178794
Uzbekistan,6038.87141395484,31848200.0,0.07400000000000001,0.36479,2110.64787239513,0.008141437999999999,0.025224540000000004,,
Vanuatu,2856.47531029292,270402.0,0.068,0.26441,2860.56647483229,0.19,0.19,,
"Venezuela, RB",17665.2399979234,31568179.0,0.032,0.8904299999999999,12237.224064196298,0.1876162,0.2550486,,
Vietnam,5955.26188759499,92701100.0,0.071,0.34236,2185.69028246406,0.09144978999999999,0.18475560000000002,0.06426081465899935,0.15717147787750502
Virgin Islands (U.S.),,102951.0,,0.95459,36350.8216347732,,,,
West Bank and Gaza,,4551566.0,0.077,0.7548100000000001,2943.4045337363,0.01446696,0.07598995,0.25398332836594356,0.02966014560020321
World,15023.508585079098,7442135578.0,,0.542980917295943,10150.7882814935,0.19189150000000002,0.3292653,,
"Yemen, Rep.",2325.06995998438,27584213.0,0.073,0.35186999999999996,990.3347739546319,0.000864128,0.01403569,0.10970581006083205,0.07832728932803425
Zambia,3636.05971130666,16591390.0,0.028999999999999998,0.41379,1178.3879050120402,0.05518930999999999,0.24588529999999997,0.14486472453515187,0.08702799925219307
Zimbabwe,1859.93744141499,16150362.0,0.057999999999999996,0.32277,1008.59733051185,0.008329735,0.08131872,0.1581687691719552,0.10555390139868119
