country,hazard,0
Ethiopia,earthquake,4.48178246891e-05
Ethiopia,tsunami,0.0
Ethiopia,flood,0.00127624091258
Ethiopia,surge,0.0
Ethiopia,wind,0.0
Faeroe Islands,earthquake,0.0
Faeroe Islands,tsunami,0.0
Faeroe Islands,flood,0.0
Faeroe Islands,surge,0.0
Faeroe Islands,wind,0.000121867440579
United Kingdom,earthquake,0.000114608216588
United Kingdom,tsunami,0.0
United Kingdom,flood,8.54930362208e-05
United Kingdom,surge,5.60744393667e-07
United Kingdom,wind,3.27741015477e-07
Fiji,earthquake,0.000131362889984
Fiji,tsunami,0.0
Fiji,flood,0.0
Fiji,surge,0.0073502722323
Fiji,wind,0.00390804597701
Finland,earthquake,0.0
Finland,tsunami,0.0
Finland,flood,0.0
Finland,surge,0.0
Finland,wind,0.0
France,earthquake,7.25356945939e-05
France,tsunami,2.66622835396e-08
France,flood,0.000273455997778
France,surge,4.43031929987e-05
France,wind,9.25352639219e-05
French Polynesia,earthquake,0.0
French Polynesia,tsunami,0.0
French Polynesia,flood,0.0
French Polynesia,surge,0.0
French Polynesia,wind,0.00473047904736
Gabon,earthquake,2.41160230183e-05
Gabon,tsunami,0.0
Gabon,flood,0.00246956391578
Gabon,surge,0.0
Gabon,wind,0.0
"Gambia, The",earthquake,2.38366521899e-05
"Gambia, The",tsunami,0.0
"Gambia, The",flood,0.000834282826646
"Gambia, The",surge,0.0
"Gambia, The",wind,0.0
Georgia,earthquake,0.00310291972837
Georgia,tsunami,0.0
Georgia,flood,0.000749115163451
Georgia,surge,0.0
Georgia,wind,0.0
Germany,earthquake,0.000155483661817
Germany,tsunami,0.0
Germany,flood,0.000139308232274
Germany,surge,0.0
Germany,wind,0.0
Ghana,earthquake,0.0
Ghana,tsunami,0.0
Ghana,flood,0.000893304931647
Ghana,surge,0.0
Ghana,wind,0.0
Greece,earthquake,0.00432506264391
Greece,tsunami,0.0
Greece,flood,3.58763375322e-05
Greece,surge,0.0
Greece,wind,0.0
Grenada,earthquake,0.00189586415031
Grenada,tsunami,0.0
Grenada,flood,0.0
Grenada,surge,0.00241392005185
Grenada,wind,0.00223094711641
Guatemala,earthquake,0.00405784445267
Guatemala,tsunami,0.0
Guatemala,flood,0.000332018599056
Guatemala,surge,0.0
Guatemala,wind,0.0
Guinea,earthquake,3.29286764867e-05
Guinea,tsunami,0.0
Guinea,flood,0.00178619776231
Guinea,surge,0.0
Guinea,wind,0.0
Guinea-Bissau,earthquake,2.95661172297e-05
Guinea-Bissau,tsunami,0.0
Guinea-Bissau,flood,0.000497696306699
Guinea-Bissau,surge,0.0
Guinea-Bissau,wind,0.0
Guyana,earthquake,7.42937450858e-06
Guyana,tsunami,0.0
Guyana,flood,0.00417902316108
Guyana,surge,0.0
Guyana,wind,0.0
Haiti,earthquake,0.00422836645607
Haiti,tsunami,0.0
Haiti,flood,0.000988375795052
Haiti,surge,0.000371790608661
Haiti,wind,0.00143799126947
Honduras,earthquake,0.0086686980922
Honduras,tsunami,0.0
Honduras,flood,0.00134453695296
Honduras,surge,4.29625981727e-05
Honduras,wind,0.000269189533029
Hungary,earthquake,0.000219030009956
Hungary,tsunami,0.0
Hungary,flood,0.00249441757929
Hungary,surge,0.0
Hungary,wind,0.0
Iceland,earthquake,0.000549817861924
Iceland,tsunami,0.0
Iceland,flood,0.0
Iceland,surge,0.0
Iceland,wind,0.0
India,earthquake,7.74001320768e-05
India,tsunami,0.0
India,flood,0.00107998100313
India,surge,0.000125996425953
India,wind,0.000201138079201
Indonesia,earthquake,0.000394652436674
Indonesia,tsunami,1.70271904605e-05
Indonesia,flood,0.000737979298614
Indonesia,surge,1.33883578574e-05
Indonesia,wind,0.0
"Iran, Islamic Rep.",earthquake,0.00202690023408
"Iran, Islamic Rep.",tsunami,0.0
"Iran, Islamic Rep.",flood,0.000239567816448
"Iran, Islamic Rep.",surge,0.0
"Iran, Islamic Rep.",wind,0.0
Iraq,earthquake,0.00120324528302
Iraq,tsunami,0.0
Iraq,flood,0.00215101886792
Iraq,surge,0.0
Iraq,wind,0.0
Ireland,earthquake,1.63323583566e-05
Ireland,tsunami,0.0
Ireland,flood,0.000217931696845
Ireland,surge,0.0
Ireland,wind,0.0
Israel,earthquake,0.000446599963224
Israel,tsunami,0.0
Israel,flood,3.6541274658e-06
Israel,surge,0.0
Israel,wind,0.0
Italy,earthquake,0.00113580720405
Italy,tsunami,0.0
Italy,flood,6.1326099766e-05
Italy,surge,0.0
Italy,wind,0.0
Jamaica,earthquake,0.000689422073386
Jamaica,tsunami,0.0
Jamaica,flood,0.000138308674415
Jamaica,surge,0.00134942880497
Jamaica,wind,0.00434852088914
Japan,earthquake,0.000811538598708
Japan,tsunami,7.63509038293e-05
Japan,flood,6.20712669914e-05
Japan,surge,0.000453755680776
Japan,wind,0.000115484063258
Jordan,earthquake,0.000380717972358
Jordan,tsunami,0.0
Jordan,flood,7.32624854916e-06
Jordan,surge,0.0
Jordan,wind,0.0
Kazakhstan,earthquake,0.000527433917555
Kazakhstan,tsunami,0.0
Kazakhstan,flood,0.00049455951846
Kazakhstan,surge,0.0
Kazakhstan,wind,0.0
Kenya,earthquake,0.000127766365428
Kenya,tsunami,0.0
Kenya,flood,0.00109439972678
Kenya,surge,0.0
Kenya,wind,0.0
Kiribati,earthquake,0.0
Kiribati,tsunami,1.68034749586e-05
Kiribati,flood,0.0
Kiribati,surge,0.0
Kiribati,wind,0.0
Kuwait,earthquake,0.00042910582892
Kuwait,tsunami,0.0
Kuwait,flood,1.57642016284e-06
Kuwait,surge,0.0
Kuwait,wind,0.0
Kyrgyz Republic,earthquake,0.00338990393467
Kyrgyz Republic,tsunami,0.0
Kyrgyz Republic,flood,0.00162888674688
Kyrgyz Republic,surge,0.0
Kyrgyz Republic,wind,0.0
Lao PDR,earthquake,0.000229412193965
Lao PDR,tsunami,0.0
Lao PDR,flood,0.00946792790163
Lao PDR,surge,0.0
Lao PDR,wind,1.59630751268e-05
Latvia,earthquake,0.0
Latvia,tsunami,0.0
Latvia,flood,0.00161585544427
Latvia,surge,0.0
Latvia,wind,0.0
Lebanon,earthquake,0.000576004698542
Lebanon,tsunami,1.31424390056e-05
Lebanon,flood,1.55976199187e-05
Lebanon,surge,0.0
Lebanon,wind,0.0
Lesotho,earthquake,0.000879139257442
Lesotho,tsunami,0.0
Lesotho,flood,0.00110547441186
Lesotho,surge,0.0
Lesotho,wind,0.0
Liberia,earthquake,5.75542579686e-05
Liberia,tsunami,0.0
Liberia,flood,0.00142839203868
Liberia,surge,0.0
Liberia,wind,0.0
Libya,earthquake,0.000155780979264
Libya,tsunami,4.20296810896e-06
Libya,flood,4.10806237747e-05
Libya,surge,0.0
Libya,wind,0.0
Liechtenstein,earthquake,0.000520249932314
Liechtenstein,tsunami,0.0
Liechtenstein,flood,0.0
Liechtenstein,surge,0.0
Liechtenstein,wind,0.0
Lithuania,earthquake,0.0
Lithuania,tsunami,0.0
Lithuania,flood,0.000924609553586
Lithuania,surge,0.0
Lithuania,wind,0.0
Luxembourg,earthquake,6.5976900627e-05
Luxembourg,tsunami,0.0
Luxembourg,flood,3.34607792931e-05
Luxembourg,surge,0.0
Luxembourg,wind,0.0
Madagascar,earthquake,2.46846325395e-05
Madagascar,tsunami,0.0
Madagascar,flood,0.00244377862141
Madagascar,surge,0.000497097427691
Madagascar,wind,0.00828126861987
Malawi,earthquake,0.000446696083238
Malawi,tsunami,0.0
Malawi,flood,0.00250857983331
Malawi,surge,0.0
Malawi,wind,0.0
Malaysia,earthquake,8.95830842542e-06
Malaysia,tsunami,0.0
Malaysia,flood,0.000978274607594
Malaysia,surge,0.0
Malaysia,wind,0.0
Maldives,earthquake,0.0
Maldives,tsunami,6.71761304399e-06
Maldives,flood,0.0
Maldives,surge,0.0
Maldives,wind,0.0
Mali,earthquake,0.0
Mali,tsunami,0.0
Mali,flood,0.00202026032497
Mali,surge,0.0
Mali,wind,0.0
Malta,earthquake,0.000360095376613
Malta,tsunami,0.0
Malta,flood,0.0
Malta,surge,0.0
Malta,wind,0.0
Marshall Islands,earthquake,0.0
Marshall Islands,tsunami,0.0
Marshall Islands,flood,0.0
Marshall Islands,surge,0.0
Marshall Islands,wind,0.000326237025553
Mauritania,earthquake,1.83555129114e-05
Mauritania,tsunami,0.0
Mauritania,flood,0.0014509198615
Mauritania,surge,0.0
Mauritania,wind,0.0
Mauritius,earthquake,0.0
Mauritius,tsunami,0.0
Mauritius,flood,0.0
Mauritius,surge,0.000822517577723
Mauritius,wind,0.00129246300706
Mexico,earthquake,0.000300109662483
Mexico,tsunami,0.0
Mexico,flood,0.000125500404311
Mexico,surge,2.28297351485e-05
Mexico,wind,0.000135808677736
"Micronesia, Fed. Sts.",earthquake,4.45163300737e-05
"Micronesia, Fed. Sts.",tsunami,1.48387766912e-05
"Micronesia, Fed. Sts.",flood,0.0
"Micronesia, Fed. Sts.",surge,0.00153581338754
"Micronesia, Fed. Sts.",wind,0.00319775637696
Monaco,earthquake,0.000564769940723
Monaco,tsunami,0.0
Monaco,flood,0.0
Monaco,surge,0.0
Monaco,wind,0.0
Mongolia,earthquake,0.000104680274191
Mongolia,tsunami,0.0
Mongolia,flood,0.000848374859242
Mongolia,surge,0.0
Mongolia,wind,0.0
Montenegro,earthquake,0.000573489277437
Montenegro,tsunami,0.0
Montenegro,flood,0.000310358903084
Montenegro,surge,0.0
Montenegro,wind,0.0
Morocco,earthquake,0.000419585643171
Morocco,tsunami,0.0
Morocco,flood,0.000470886710809
Morocco,surge,0.0
Morocco,wind,0.0
Mozambique,earthquake,0.000217251588875
Mozambique,tsunami,0.0
Mozambique,flood,0.00138865238098
Mozambique,surge,0.000174680165012
Mozambique,wind,0.00106346163353
Myanmar,earthquake,0.000182046164082
Myanmar,tsunami,1.67357592507e-05
Myanmar,flood,0.00977025436307
Myanmar,surge,0.000207840728799
Myanmar,wind,0.000213726393367
Namibia,earthquake,8.05939704299e-05
Namibia,tsunami,0.0
Namibia,flood,0.00207547304381
Namibia,surge,0.0
Namibia,wind,0.0
Nepal,earthquake,0.000546330694896
Nepal,tsunami,0.0
Nepal,flood,0.00244589474152
Nepal,surge,0.0
Nepal,wind,0.0
Netherlands,earthquake,6.97223069165e-05
Netherlands,tsunami,0.0
Netherlands,flood,0.000202740577433
Netherlands,surge,0.0
Netherlands,wind,0.0
New Caledonia,earthquake,0.000139073118569
New Caledonia,tsunami,2.16206108699e-05
New Caledonia,flood,0.0
New Caledonia,surge,0.015088264683
New Caledonia,wind,0.0129694448178
