province,hazard,rp,fa
Batangas,flood,200,0.09719071965739245
Batangas,flood,250,0.1161507063108261
Batangas,flood,500,0.17116794653019504
Batangas,flood,1000,0.24559148948595627
Batangas,surge,10,0.0036903676587672417
Batangas,surge,25,0.005870966793938107
Batangas,surge,30,0.006252848794744727
Batangas,surge,50,0.0073636754821617845
Batangas,surge,100,0.008994976045854261
Batangas,surge,200,0.010593879977452826
Batangas,surge,250,0.011300472226609251
Batangas,surge,500,0.01225848622658887
Batangas,surge,1000,0.01325671813822544
Batangas,wind,10,0.05317837117998874
Batangas,wind,25,0.24306596775364203
Batangas,wind,30,0.3071032731257282
Batangas,wind,50,0.5359886087207519
Batangas,wind,100,0.9422901096823854
Batangas,wind,200,1.6121155071528208
Batangas,wind,250,1.8518120433495462
Batangas,wind,500,2.6196560555337625
Batangas,wind,1000,3.5475006509630393
Benguet,earthquake,10,9.755902816159399e-06
Benguet,earthquake,25,0.008013439055338195
Benguet,earthquake,30,0.015307834514294434
Benguet,earthquake,50,0.0587125338340341
Benguet,earthquake,100,0.28674338736481897
Benguet,earthquake,200,0.6421755202425041
Benguet,earthquake,250,0.952242297578371
Benguet,earthquake,500,1.8072941719417
Benguet,earthquake,1000,2.923194993399382
Benguet,flood,10,0.04775402934931828
Benguet,flood,25,0.0725320860375963
Benguet,flood,30,0.0767087508716909
Benguet,flood,50,0.0902329470683144
Benguet,flood,100,0.10822044825699705
Benguet,flood,200,0.12669539745691769
Benguet,flood,250,0.13330392177245173
Benguet,flood,500,0.15230927572129369
Benguet,flood,1000,0.16353023764960914
Benguet,wind,10,0.03347211034432612
Benguet,wind,25,0.11101345206554193
Benguet,wind,30,0.129276148642123
Benguet,wind,50,0.19078152871252257
Benguet,wind,100,0.30642308800928875
Benguet,wind,200,0.4291068813391157
Benguet,wind,250,0.46255738533718244
Benguet,wind,500,0.645365751936187
Benguet,wind,1000,0.7788047482379523
Biliran,earthquake,10,0.00040148060603473673
Biliran,earthquake,25,0.009809154152293064
Biliran,earthquake,30,0.016071888117800144
Biliran,earthquake,50,0.049491731317421246
Biliran,earthquake,100,0.1606229939205776
Biliran,earthquake,200,0.37143626117506306
Biliran,earthquake,250,0.47778464216530747
Biliran,earthquake,500,1.1872579203446234
Biliran,earthquake,1000,1.458339203231298
Biliran,flood,10,0.0024483693888960865
Biliran,flood,25,0.03420620600547706
Biliran,flood,30,0.044626286408835605
Biliran,flood,50,0.07335740162600152
Biliran,flood,100,0.11600602051944899
Biliran,flood,200,0.147925694011513
Biliran,flood,250,0.15327818678201843
Biliran,flood,500,0.1667568848388233
Biliran,flood,1000,0.18451766478626858
Biliran,surge,10,0.009464885226301999
Biliran,surge,25,0.017620294415610072
Biliran,surge,30,0.020523976928103118
Biliran,surge,50,0.03339784037473733
Biliran,surge,100,0.04711185900278735
Biliran,surge,200,0.05755507600470026
Biliran,surge,250,0.06109956701669458
Biliran,surge,500,0.07049321924399342
Biliran,surge,1000,0.08159234107161115
Biliran,wind,10,0.048007461486497746
Biliran,wind,25,0.16638996095734263
Biliran,wind,30,0.19436942359264656
Biliran,wind,50,0.3474440596008664
Biliran,wind,100,0.5686920922270327
Biliran,wind,200,1.0372083030024868
Biliran,wind,250,1.177765537693004
Biliran,wind,500,1.693798431132383
Biliran,wind,1000,2.4142108226931374
Bohol,earthquake,10,0.0004056131154866682
Bohol,earthquake,25,0.009137137012947529
Bohol,earthquake,30,0.014308194704602898
Bohol,earthquake,50,0.03765856945606112
Bohol,earthquake,100,0.113172895126444
Bohol,earthquake,200,0.2978125849059112
Bohol,earthquake,250,0.38465464683622186
Bohol,earthquake,500,0.7204608122817359
Bohol,earthquake,1000,1.2287493197872217
Bohol,flood,10,0.0003324263563023247
Bohol,flood,25,0.0037743282722983496
Bohol,flood,30,0.005936030744166182
Bohol,flood,50,0.013742443998866932
Bohol,flood,100,0.033586225143782955
Bohol,flood,200,0.058000335399697164
Bohol,flood,250,0.07013746762794945
Bohol,flood,500,0.08901301686632847
Bohol,flood,1000,0.10846197173270555
Bohol,surge,10,0.0
Bohol,surge,25,0.020505821713034566
Bohol,surge,30,0.02244766581668041
Bohol,surge,50,0.02758762497448285
Bohol,surge,100,0.03559434778764516
Bohol,surge,200,0.04164628081710769
Bohol,surge,250,0.044409709353921537
Bohol,surge,500,0.05018504631249267
Bohol,surge,1000,0.06056567899436571
Bohol,wind,10,0.002923699588140946
Bohol,wind,25,0.018836219163104767
Bohol,wind,30,0.024552090624038223
Bohol,wind,50,0.051963198769217074
Bohol,wind,100,0.10577156286077453
Bohol,wind,200,0.18055709027271458
Bohol,wind,250,0.21807057730562746
Bohol,wind,500,0.3157007613563254
Bohol,wind,1000,0.5269984063148777
Bukidnon,earthquake,10,0.0013354615792253103
Bukidnon,earthquake,25,0.011378436373827476
Bukidnon,earthquake,30,0.015082144934678608
Bukidnon,earthquake,50,0.029030902350685107
Bukidnon,earthquake,100,0.06656806661882346
Bukidnon,earthquake,200,0.12427601671353035
Bukidnon,earthquake,250,0.1585496166355458
Bukidnon,earthquake,500,0.26093336615182966
Bukidnon,earthquake,1000,0.351655807720043
Bukidnon,flood,10,0.0005603478689053819
Bukidnon,flood,25,0.002211779594261521
Bukidnon,flood,30,0.0028238123133134925
Bukidnon,flood,50,0.006697324005732996
Bukidnon,flood,100,0.028709420716427857
Bukidnon,flood,200,0.07358324322473017
Bukidnon,flood,250,0.10174830244538137
Bukidnon,flood,500,0.24544401174890298
Bukidnon,flood,1000,0.5739942985553159
Bukidnon,wind,10,4.2166516843277e-05
Bukidnon,wind,25,0.002170541553101732
Bukidnon,wind,30,0.0032101056011884003
Bukidnon,wind,50,0.009271200660904156
Bukidnon,wind,100,0.03421327065175117
Bukidnon,wind,200,0.10044172511022129
Bukidnon,wind,250,0.13178225103012203
Bukidnon,wind,500,0.19494038892548812
Bukidnon,wind,1000,0.2827706383325461
Bulacan,earthquake,10,0.0021506027109778484
Bulacan,earthquake,25,0.050438650955518756
Bulacan,earthquake,30,0.07665460236447103
Bulacan,earthquake,50,0.24041936041177114
Bulacan,earthquake,100,0.584377708329596
Bulacan,earthquake,200,1.045991116577896
Bulacan,earthquake,250,1.1405623395043911
Bulacan,earthquake,500,1.4705871662716055
Bulacan,earthquake,1000,1.708496528837132
Bulacan,flood,10,0.09437584453831215
Bulacan,flood,25,0.1568350079808295
Bulacan,flood,30,0.16798573467512573
Bulacan,flood,50,0.2064503410579239
Bulacan,flood,100,0.28250233167264394
Bulacan,flood,200,0.36877400873224275
Bulacan,flood,250,0.39820426820967
Bulacan,flood,500,0.4533113274916057
Bulacan,flood,1000,0.5457263008942324
Bulacan,surge,10,0.00032532826975955925
Bulacan,surge,25,0.0009072418067221335
Bulacan,surge,30,0.0011203398613455933
Bulacan,surge,50,0.0016936597263982273
Bulacan,surge,100,0.0022245113394538333
Bulacan,surge,200,0.002784080413323014
Bulacan,surge,250,0.00298082441966084
Bulacan,surge,500,0.003968664219765749
Bulacan,surge,1000,0.00980522740718457
Bulacan,wind,10,0.045769350321650706
Bulacan,wind,25,0.22343685123832624
Bulacan,wind,30,0.27693843743344737
Bulacan,wind,50,0.46790219398572674
Bulacan,wind,100,0.782254083844579
Bulacan,wind,200,1.2557900912504154
Bulacan,wind,250,1.3869123728308115
Bulacan,wind,500,1.9910639159237382
Bulacan,wind,1000,3.1633539008262392
Cagayan,earthquake,10,0.006737030338121311
Cagayan,earthquake,25,0.04990773192582446
Cagayan,earthquake,30,0.06646503773438335
Cagayan,earthquake,50,0.14172575442646138
Cagayan,earthquake,100,0.26365595033365014
Cagayan,earthquake,200,0.4261741359917476
Cagayan,earthquake,250,0.4581914905310544
Cagayan,earthquake,500,0.5878646960540231
Cagayan,earthquake,1000,0.7121888302174905
Cagayan,flood,10,0.012728872182154299
Cagayan,flood,25,0.04453186887445045
Cagayan,flood,30,0.057063476358560024
