country,gdp_pc_pp,pop,share1,axfin_p,axfin_r,social_p,social_r,urbanization_rate,pov_head,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,shew,prepare_scaleup,finance_pre,rating,borrow_abi,avg_prod_k,protection,tau_tax
"Congo, Rep.",5680.2299827443285,4447632.0,0.0561,0.017709810000000003,0.08744304,0.1719690500661691,0.1521444160488617,0.6537999999999999,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.25,0.125,0.37275342390232385,20,0.15325657801723264
Costa Rica,13430.743207071202,4872166.0,0.0421,0.07918306,0.2792255,0.4696688141506717,0.20280860501907427,0.7682100000000001,0.2,3.0,0.2,1.5,0.06,0.8,0.05,1.0,0.9333333333333333,1.0,0.5,0.75,0.48189675491736383,20,0.21404341982351455
Croatia,20048.9871590995,4255700.0,0.0801,0.07799293,0.1524273,0.549424,0.270493,0.5896399999999999,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.6666666666666666,0.45,0.5583333333333333,0.23052247153165525,20,0.2928353731
Czech Republic,28124.4644802821,10514272.0,0.0933,0.2615189,0.4178777,0.40579885,0.45011736799999996,0.72992,0.2,3.0,0.2,1.5,0.06,0.8,0.05,1.0,0.6666666666666667,1.0,0.8,0.9,0.23979983157078164,20,0.4459824502705999
Denmark,42482.7324552521,5614932.0,0.0913,0.4418965999999999,0.6474435000000001,0.67680752,0.35351148299999996,0.87676,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.7333333333333333,0.8333333333333334,1.0,0.9166666666666667,0.23010606402758518,20,0.3830284111781
Djibouti,2902.5462446952697,872932.0,0.0603,0.01797438,0.04367659,0.2858701354316727,0.08565180357270068,0.7734300000000001,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.6,0.5,0.0,0.25,0.2605986206727131,20,0.09772496898379668
Dominican Republic,11795.4705790204,10403761.0,0.0501,0.05700692,0.2295297,0.1917471414625228,0.11760695886439584,0.7898000000000001,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.6,0.6666666666666666,0.35,0.5083333333333333,0.3771503990888722,20,0.12132138201256201
Ecuador,10540.6573666533,15737878.0,0.043,0.09387966,0.17696589999999998,0.2792929608576753,0.17364544512629726,0.63742,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.8,0.6666666666666666,0.25,0.4583333333333333,0.25747347179967145,20,0.17818828830274655
"Egypt, Arab Rep.",10733.488722812801,82056378.0,0.0925,0.002091735,0.01016893,0.10013164023017088,0.11927926539328736,0.43135,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.6666666666666667,0.6666666666666666,0.25,0.4583333333333333,0.4927783418827425,20,0.11750811006569908
El Salvador,7515.082656377621,6340454.0,0.057,0.04984934,0.1816167,0.18429042105884488,0.1773739959750223,0.6672600000000001,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.6666666666666667,0.6666666666666666,0.35,0.5083333333333333,0.13424357530792413,20,0.17776823220480018
Estonia,25253.7672011471,1317997.0,0.0717,0.18928570000000003,0.3582999,0.51851898,0.34896655,0.67538,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.8,0.4,0.2800603915970392,20,0.361123459231
Finland,38820.8218247281,5438972.0,0.0918,0.4118611,0.6638473000000001,0.57169229,0.33561739799999996,0.84221,0.2,3.0,0.2,1.5,0.06,0.8,0.05,1.0,0.8666666666666666,0.8333333333333334,0.95,0.8916666666666666,0.21799096857432496,20,0.3572890730856
France,37216.8018998205,65939866.0,0.0781,0.4022605,0.5575401999999999,0.49639142,0.37605085,0.7951999999999999,0.2,3.0,0.2,1.5,0.06,0.8,0.05,1.0,0.7333333333333333,1.0,0.9,0.95,0.2234491797478895,20,0.385449448517
Gabon,18646.3698144321,1671711.0,0.05860000000000001,0.01964613,0.13129620000000003,0.22083996445867293,0.12165273695354185,0.8715600000000001,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.2,0.5333333333333333,0.8333333333333334,0.35,0.5916666666666667,0.3299123735952057,20,0.12746510848534254
Georgia,6930.291380152889,4487200.0,0.0528,0.0015679239999999998,0.01637902,0.9832011784414144,0.5428108927360503,0.53641,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.6666666666666667,0.8333333333333334,0.4,0.6166666666666667,0.3632651483124993,20,0.5660634998212936
Germany,42883.6868079517,80651873.0,0.08289999999999999,0.5698233,0.5140285,0.64378774,0.383320503,0.7530100000000001,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8,0.8333333333333334,1.0,0.9166666666666667,0.27301744639675013,20,0.40491323694729997
Ghana,3864.0307887795,25904598.0,0.0524,0.04551203,0.2401777,0.2178191446631305,0.11562052942292167,0.54042,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8,0.8333333333333334,0.25,0.5416666666666667,0.40793501657637044,20,0.12097573686150863
Greece,24305.0596068933,11027549.0,0.0645,0.12937169999999998,0.24796239999999997,0.38459209,0.49652266799999994,0.7800699999999999,0.2,3.0,0.2,1.5,0.06,0.8,0.05,1.0,0.8,0.8333333333333334,0.1,0.4666666666666667,0.23679175031633581,20,0.48930314571899997
Guatemala,7062.530674821691,15468203.0,0.0387,0.05336335,0.1347752,0.21925287935117188,0.10471864953838116,0.51571,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.4666666666666667,0.6666666666666666,0.5,0.5833333333333333,0.6475627728005022,20,0.10915112423213616
Guinea,1212.88813283302,11745189.0,0.0755,0.01277901,0.02541692,0.01925244459484815,0.07756816186284897,0.37161,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.6,0.6666666666666666,0.0,0.3333333333333333,0.3510694892836516,20,0.0731653252091149
Honduras,4445.2710541232,8097688.0,0.0261,0.0431121,0.118058,0.2579741926798659,0.13477151366151952,0.5473,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.33333333333333337,0.8333333333333334,0.3,0.5666666666666667,0.3635926941047578,20,0.13798710358389835
Hungary,22706.6118964343,9893899.0,0.0825,0.0918939,0.2239262,0.912333,0.525706,0.7122700000000001,0.2,3.0,0.2,1.5,0.06,0.8,0.05,1.0,0.8666666666666666,0.8333333333333334,0.5,0.6666666666666667,0.22126941170098394,20,0.5576027275000001
India,5243.95705971261,1252139596.0,0.08539999999999999,0.106086,0.1227241,0.20143031401049424,0.111528359298832,0.32747,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8666666666666666,1.0,0.55,0.775,0.4525301642355351,20,0.11920598623120797
Indonesia,9254.42217970391,249865631.0,0.07629999999999999,0.07181267,0.2072208,0.23161020821031855,0.11698415886747647,0.53742,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.6666666666666666,0.55,0.6083333333333334,0.30997681866727844,20,0.12573012643233533
"Iran, Islamic Rep.",15090.047220074799,77447168.0,0.0643,0.1211886,0.2492838,0.2742158738539515,0.12905547664098582,0.73375,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.6,0.8333333333333334,0.0,0.4166666666666667,0.31799517747918205,20,0.1383892901817795
Iraq,14471.473317625,33417476.0,0.08800000000000001,0.0292944,0.07414198,0.13105041321080904,0.08987146573864697,0.69471,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.2,0.5,0.0,0.25,0.5840924714508963,20,0.09349521311619721
Ireland,44647.2359111421,4597558.0,0.0762,0.4951397,0.5241702,0.78696066,0.48333248799999995,0.63241,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.7,0.35,0.31125054927451323,20,0.5064689547064
Israel,30926.8490945208,8059500.0,0.0461,0.1858163,0.290902,0.4760781831249963,0.1637579491590871,0.9214,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.8,0.4,0.3584782813615938,20,0.1781559119449155
Italy,33923.5598171182,60233948.0,0.0607,0.11888060000000003,0.17877559999999998,0.43236375,0.413812555,0.6896399999999999,0.2,3.0,0.2,1.5,0.06,0.8,0.05,1.0,0.8666666666666666,0.8333333333333334,0.6,0.7166666666666667,0.2046119687179293,20,0.4149386125365
Jamaica,8607.498562766179,2714734.0,0.0535,0.2945098,0.3105106,0.26651858938195394,0.1474314747293658,0.54788,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.6,0.6666666666666666,0.15,0.4083333333333333,0.38100911347268046,20,0.15380263536327926
