province,income_cat,n,c,social,axfin,gamma_SP,k,fa,v,shew
Bulacan,poor,0.0535976,101.5324967587854,0.15132723732958844,0.0353108,0.2951383556561848,385.7887406060013,0.5161927458356192,0.1848056583471118,0.0
Cagayan,nonpoor,0.8484065000000001,213.96610821924497,0.16505190490225702,0.22188520000000003,1.134109754935536,777.407307051987,0.5623621840796438,0.12106811551083302,0.07915502839811533
Cagayan,poor,0.1515935,84.3379001665134,0.09209980061998387,0.0353108,0.2494428336260081,333.2000423647365,0.5614634016091201,0.16933792280736637,0.03660809702512613
Camarines Norte,nonpoor,0.7829357,189.4534566609824,0.18591028482148728,0.22188520000000003,1.1290042483198914,692.4867869602207,0.4633648614200967,0.1462962192738011,0.12888366676371502
Camarines Norte,poor,0.2170643,88.82260132018152,0.18779738410323188,0.0353108,0.5346907277645004,323.9101532202185,0.46235917276974825,0.24141506957206618,0.03236695045568764
Camarines Sur,nonpoor,0.6827404,215.63893477588044,0.22941208513897615,0.22188520000000003,1.2667097873173154,779.4822836398333,0.3969969882185571,0.14416842113307324,0.121518610080508
Camarines Sur,poor,0.3172596,92.94640543029585,0.17901383863276676,0.0353108,0.426042436928815,357.9524280987245,0.3963292960071708,0.1981009587711941,0.03574423997237162
Camiguin,nonpoor,0.5895895,219.2762802035896,0.2032505166190428,0.22188520000000003,1.4048316696560867,786.212681823099,0.10721298023814638,0.11593445843378875,0.05991606393427989
Camiguin,poor,0.4104105,96.20523191380195,0.13798056528896288,0.0353108,0.41842496306332955,373.20061198404176,0.10670587186685206,0.1227809132888661,0.0
Capiz,nonpoor,0.7768233,248.3915829369223,0.30602262850808715,0.22188520000000003,1.23756723189725,886.8458875616243,0.07493928430400221,0.1679707622694048,0.08277062304211628
Capiz,poor,0.2231767,85.33278461621302,0.12458610950924612,0.0353108,0.17308679152309803,384.322068389461,0.07472429277978572,0.23242602913065716,0.0
Catanduanes,nonpoor,0.7291505,198.75256459662137,0.19096191351561398,0.22188520000000003,1.1885555750353811,728.8081571794422,0.756219567718702,0.14047530089936217,0.29601558538603184
Catanduanes,poor,0.2708495,73.4070479201092,0.21419689617654056,0.0353108,0.49239193051921576,261.44661034582464,0.7548830612783357,0.2012500898053021,0.274732380199727
Cavite,nonpoor,0.9744631,310.5756049173212,0.19710243809770311,0.22188520000000003,1.021836656529956,1133.7848933191478,0.711567524144311,0.10675351363685842,0.2527916971026674
Cavite,poor,0.0255369,98.87756467997798,0.1010196233141053,0.0353108,0.16673456778950857,404.15798201668196,0.7106447719513522,0.13688635340039032,0.0
Cebu,nonpoor,0.811266,261.91609483508523,0.20434179006640446,0.22188520000000003,1.1770625226433629,951.4001369396033,0.31841484590087427,0.1366963271772837,0.18562282058545565
Cebu,poor,0.188734,81.29791925777062,0.13361732101702944,0.0353108,0.23890340640906998,321.5612187097033,0.3168504715827108,0.18933476290792714,0.06413150649504586
Compostela Valley,nonpoor,0.6933957,224.18854450398996,0.09595660839353884,0.22188520000000003,1.2441078193795494,818.7460630382893,0.1227868471034046,0.13299006805057254,0.1425176000650682
Compostela Valley,poor,0.3066043,84.0196542266187,0.0921873481184648,0.0353108,0.44794214466608556,308.1226698551894,0.12266020254754739,0.17026855788096795,0.18294228253760633
Cotabato,nonpoor,0.5516441000000001,215.79078875220551,0.12634736347654563,0.22188520000000003,1.4318654910174904,789.2819559180816,0.06840099357791703,0.13573235283230717,0.13783360272434517
Cotabato,poor,0.4483559,68.46911614950207,0.1303305820844122,0.0353108,0.46864522109912743,249.2926074237421,0.06832721757979729,0.2032483452756862,0.047933871751275184
Cotabato City,nonpoor,0.6547286999999999,195.44622987718353,0.1696914257007913,0.22188520000000003,1.2376204269642277,709.1882746752744,,0.13321182169594364,
Cotabato City,poor,0.3452713,103.14817406634192,0.14273555976135227,0.0353108,0.5494067614663204,386.4302183016072,,0.16567617722106237,
Davao,nonpoor,0.732711,212.90348833782417,0.15066891861429288,0.22188520000000003,1.2386127455335818,771.9468442474937,0.261597340495829,0.14411929220997932,0.28131164894384847
Davao,poor,0.267289,89.16260085405263,0.10047005287986746,0.0353108,0.34589832206841187,342.39385062106845,0.261392999200907,0.1929021301853195,0.17575677636351641
Davao Oriental,nonpoor,0.6224291,178.7028994658833,0.1740724323477431,0.22188520000000003,1.3154651860271147,648.1776813101192,0.09654708276256513,0.14748230738416343,0.17575110161570304
Davao Oriental,poor,0.3775709,78.41508870985494,0.14473750289967358,0.0353108,0.4799527404781734,294.52324625218876,0.09647063528580165,0.20706487045719696,0.07959673336415068
Davao del Sur,nonpoor,0.8004183,249.41700390384807,0.17256739566359452,0.22188520000000003,1.1964608978811964,905.7001582666588,0.1035696912289927,0.12292733897173869,0.15897895992209807
Davao del Sur,poor,0.1995817,76.83857947484817,0.09929851321684963,0.0353108,0.2120976126641835,303.72879191383936,0.10346056284393437,0.2022470776143504,0.0366658475795977
Eastern Samar,nonpoor,0.44571689999999997,196.978667667453,0.274305109652464,0.22188520000000003,1.7540389294507843,688.224673743679,0.5479560291020016,0.13616055472156696,0.1419686896847523
Eastern Samar,poor,0.5542831,72.19684222728928,0.167961300839374,0.0353108,0.3936530013018217,289.21359690191923,0.5468576676100647,0.19539845561325184,0.04882254881296826
Guimaras,nonpoor,0.8305837,248.17696939595592,0.2766414798310448,0.22188520000000003,1.1589465134798465,895.1477672141748,0.10306600507074073,0.15104960298325135,0.033529430674767734
Guimaras,poor,0.1694163,92.16500914105596,0.1418866483216505,0.0353108,0.22074568227383837,394.3577539880812,0.10297963621003803,0.24048857368006302,0.0
Ifugao,nonpoor,0.6396969,316.21209226190473,0.07848106893964787,0.22188520000000003,1.2709585872860047,1163.2042997807187,0.6647579160731847,0.11066154309825196,0.12594183242917417
Ifugao,poor,0.3603031,79.30760642140469,0.127762997552135,0.0353108,0.5189290119478944,276.13573506242966,0.6588604521795299,0.11512374581939801,0.1119732441471572
Ilocos Norte,nonpoor,0.916207,270.862299925767,0.3255040139593034,0.22188520000000003,1.071568813531426,985.7749182159347,0.8571966581356456,0.11283945279678921,0.17021380733683014
Ilocos Norte,poor,0.083793,80.62314334136117,0.22191834816764777,0.0353108,0.2174543465541586,338.4813412618424,0.8562464104227473,0.12676835251092677,0.0
Ilocos Sur,nonpoor,0.862696,255.51006569532186,0.2510494156213512,0.22188520000000003,1.1345583282368716,926.1132525154405,0.5751522618620593,0.10952166855906176,0.10577853642924094
Ilocos Sur,poor,0.137304,75.8221615914967,0.11524664621805784,0.0353108,0.1545553550032319,324.6544053365343,0.5745215544982936,0.1531719812314469,0.0
Iloilo,nonpoor,0.7916571,289.50620427116144,0.2712553530188997,0.22188520000000003,1.2159598099416882,1045.2664447324348,0.18581017940069222,0.14888490569897314,0.15150042957083834
Iloilo,poor,0.2083429,81.11439258093351,0.1428375088969309,0.0353108,0.17940032103331555,344.472720192986,0.1854046401779895,0.2082852395942638,0.01523454199214956
