country,hazard,rp,income_cat,fa,shew,v
Algeria,tsunami,2000.0,poor,0.0,0.0,0.547920643637
Algeria,wind,1.0,poor,0.0,0.0,0.191909963475
Algeria,wind,20.0,poor,0.0,0.0,0.347301088308
Algeria,wind,50.0,poor,0.0,0.0,0.458973177763
Algeria,wind,100.0,poor,0.0,0.0,0.502815866178
Algeria,wind,250.0,poor,0.0,0.0,0.530896200285
Algeria,wind,500.0,poor,0.0,0.0,0.540565200036
Algeria,wind,1000.0,poor,0.0,0.0,0.54545888213
Algeria,wind,1500.0,poor,0.0,0.0,0.547098947706
Algeria,wind,2000.0,poor,0.0,0.0,0.547920643637
Angola,earthquake,1.0,nonpoor,1.7826629874e-05,0.0,0.24407490807
Angola,earthquake,20.0,nonpoor,9.21165107164e-05,0.0,0.441704430903
Angola,earthquake,50.0,nonpoor,0.000298353748606,0.0,0.583731215101
Angola,earthquake,100.0,nonpoor,0.000568344647862,0.0,0.639491218128
Angola,earthquake,250.0,nonpoor,0.00139638924964,0.0,0.67520434548
Angola,earthquake,500.0,nonpoor,0.00278508120684,0.0,0.687501571652
Angola,earthquake,1000.0,nonpoor,0.00535321589933,0.0,0.69372545386
Angola,earthquake,1500.0,nonpoor,0.00754769724319,0.0,0.695811321875
Angola,earthquake,2000.0,nonpoor,9.98859607611e-18,0.0,0.696856371102
Angola,flood,1.0,nonpoor,0.000386328971007,0.0,0.24407490807
Angola,flood,20.0,nonpoor,0.00522086047242,0.0,0.441704430903
Angola,flood,50.0,nonpoor,0.00920030294594,0.0,0.583731215101
Angola,flood,100.0,nonpoor,0.0102086687682,0.0,0.639491218128
Angola,flood,250.0,nonpoor,0.0113022122579,0.0,0.67520434548
Angola,flood,500.0,nonpoor,0.0131076346602,0.0,0.687501571652
Angola,flood,1000.0,nonpoor,0.0157268016184,0.0,0.69372545386
Angola,flood,1500.0,nonpoor,0.0172406439536,0.0,0.695811321875
Angola,flood,2000.0,nonpoor,-1.74201115567e-16,0.0,0.696856371102
Angola,surge,1.0,nonpoor,0.0,0.0,0.24407490807
Angola,surge,20.0,nonpoor,0.0,0.0,0.441704430903
Angola,surge,50.0,nonpoor,0.0,0.0,0.583731215101
Angola,surge,100.0,nonpoor,0.0,0.0,0.639491218128
Angola,surge,250.0,nonpoor,0.0,0.0,0.67520434548
Angola,surge,500.0,nonpoor,0.0,0.0,0.687501571652
