country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Central African Republic,poor,0.2,93.60512977609847,0.0062126659999999995,0.21424043347926555,296.90122201956325,0.010503225381202614,0.7000000000000002,0.0
Chad,nonpoor,0.8,2430.2849764036205,0.05942366000000001,1.25,3215.349794816932,0.0071837521881060505,0.6734349004145419,0.0
Chad,poor,0.2,496.5812480690181,0.026735900000000003,0.0,704.3305911082746,0.007975794119075142,0.6999999999999997,0.0
Chile,nonpoor,0.8,26399.721150117806,0.1811644,1.1425402296171172,76547.05419029287,0.08276712001956048,0.11529374999999999,0.8000000000000004
Chile,poor,0.2,5126.589448465783,0.1033565,0.42983908153153044,12543.362969143398,0.08406526159487791,0.313141,0.8000000000000004
China,nonpoor,0.8,15968.093126647918,0.4840392,1.1166298251390272,70421.42828882164,0.014292262081700284,0.5370080662500001,0.8000000000000004
China,poor,0.2,3128.9623372053193,0.305054,0.5334806994438908,10620.338861599696,0.014598016425722444,0.6999999999999997,0.8000000000000004
Colombia,nonpoor,0.8,15691.330098830724,0.1673623,1.1919535948235338,56157.581057214,0.060171412648249725,0.2226012,0.8000000000000004
Colombia,poor,0.2,2175.51808923261,0.05714529,0.232185620705864,7484.23387529142,0.06524897092170368,0.5302351999999999,0.8000000000000004
Comoros,nonpoor,0.8,1636.105244893252,0.1475529,1.1828526502460572,8268.174700666244,0.011141681810346088,0.4424472127146907,0.5999999999999999
Comoros,poor,0.2,273.39439658389165,0.03531137,0.2685893990157707,1367.891753392608,0.011369937394957445,0.6999999999999998,0.5999999999999999
"Congo, Dem. Rep.",nonpoor,0.8,869.9272841997805,0.06591558,1.2192951397127902,3666.117827533605,0.015354737909832298,0.6,0.4000000000000002
"Congo, Dem. Rep.",poor,0.2,203.6920877156679,0.02017935,0.12281944114883853,873.6344355272961,0.02940110209884123,0.6999999999999997,0.4000000000000002
"Congo, Rep.",nonpoor,0.8,7067.4257942168915,0.13450479999999998,1.1638607885896377,19000.75251294327,0.03829101630577072,0.3,0.0
"Congo, Rep.",poor,0.2,1696.0623275500363,0.04429218,0.3445568456414491,4387.305859234667,0.04246956185035874,0.6343680960785822,0.0
Costa Rica,nonpoor,0.8,17344.436014266405,0.29628730000000003,1.1710285218317222,36157.384530935175,0.021356118731809967,0.32104216733095076,1.0
Costa Rica,poor,0.2,2981.1880007833784,0.16048690000000002,0.31588591267311067,5524.890847786997,0.021356118731809967,0.6999999999999998,1.0
Cote d'Ivoire,nonpoor,0.8,3902.337067962311,0.1283048,1.1742504036022057,6782.459464256264,0.006456674468880085,0.6734349004145419,0.4000000000000002
Cote d'Ivoire,poor,0.2,840.5919450853582,0.028859220000000005,0.3029983855911768,1430.2543494449403,0.006307952081110208,0.6999999999999997,0.4000000000000002
Croatia,nonpoor,0.8,23752.420272528096,0.292387,1.0844567876096263,105866.79590859992,0.012385417089549013,0.44120128109999995,0.8000000000000004
Croatia,poor,0.2,7140.282451563116,0.2455249,0.662172849561495,19656.486101408744,0.012873362590040805,0.6999999999999998,0.8000000000000004
Cyprus,nonpoor,0.8,34859.868759012585,0.2639375,1.1112356189521473,175869.81588892965,0.023199571993812753,0.10000000000000002,0.0
Cyprus,poor,0.2,12108.69911464017,0.15590479999999998,0.5550575241914102,47697.14077262427,0.023203735425583998,0.4646689476190476,0.0
Czech Republic,nonpoor,0.8,33698.654378077634,0.42273649999999996,1.141357091622618,139454.88828146274,0.007965998073937643,0.4135,1.0
Czech Republic,poor,0.2,14232.046404008463,0.3099159,0.4345716335095277,63643.2016231275,0.008694699054151225,0.6999999999999998,1.0
Denmark,nonpoor,0.8,49667.02245308415,0.6937743000000001,1.0616657533330605,225402.64278993724,0.00036220316883437873,0.25,0.8000000000000004
Denmark,poor,0.2,18408.0572728214,0.5787514,0.7533369866677581,41763.728872321684,0.0004021377447683431,0.2999999999999999,0.8000000000000004
Djibouti,nonpoor,0.8,3733.5230439904512,0.04367659,1.0880240335652143,14461.94014619936,0.02179078883616117,0.2919383715793353,0.6000000000000002
Djibouti,poor,0.2,666.1294640275452,0.01797438,0.6479038657391424,2015.2640149441415,0.021837472389232476,0.6224866506129807,0.6000000000000002
Dominican Republic,nonpoor,0.8,15894.407181335184,0.3398572,1.1415447283105238,42376.63018316784,0.09115299359889567,0.2999999999999999,0.8000000000000004
Dominican Republic,poor,0.2,3296.9150059527697,0.16015629999999995,0.4338210867579037,7808.799343485033,0.09038948958746162,0.3489973692170465,0.8000000000000004
Ecuador,nonpoor,0.8,12786.095147651336,0.17610920000000002,1.1658771355425919,49920.71779301604,0.02124695475996414,0.6764212741773349,0.6000000000000002
Ecuador,poor,0.2,2443.612484211655,0.09100455,0.3364914578296327,8447.281811274659,0.02261739708829775,0.6999999999999997,0.6000000000000002
"Egypt, Arab Rep.",nonpoor,0.8,11627.296008267676,0.054469970000000006,1.1514730056066735,23548.03187680825,0.007603453600273576,0.5499999999999999,0.6000000000000002
"Egypt, Arab Rep.",poor,0.2,4740.605535051284,0.02068763,0.39410797757330535,9809.581196752553,0.012843507913319499,0.6999999999999998,0.6000000000000002
El Salvador,nonpoor,0.8,9560.855160156234,0.2072156,1.1905285385270732,71079.68470423984,0.019294800390513407,0.43999999999999995,0.6000000000000002
El Salvador,poor,0.2,2234.374279596207,0.0411891,0.23788584589170722,17206.267704762864,0.019890229425828444,0.6999999999999998,0.6000000000000002
Estonia,nonpoor,0.8,31248.508905016934,0.3648965,1.1213119782318737,113700.91740840286,0.016164342199388688,0.12597759214313936,0.0
Estonia,poor,0.2,9654.284556672257,0.2434072,0.5147520870725052,25979.490773008118,0.016771411679658756,0.4342145961505898,0.0
Ethiopia,nonpoor,0.8,1758.8041397692857,0.1639884,1.1216336435640504,4663.940743360141,0.010390215366073235,0.2919383715793353,0.8000000000000004
Ethiopia,poor,0.2,614.2523536956558,0.09488185000000003,0.5134654257437985,1574.7101273523533,0.006831620932564055,0.6224866506129807,0.8000000000000004
France,nonpoor,0.8,42994.80843600399,0.5990517,1.124433146253313,195353.11200011123,0.01597710351134178,0.2394999999999999,1.0
France,poor,0.2,14549.219340600044,0.4053758,0.5022674149867479,53356.57328247081,0.017395891378546493,0.5700000000000001,1.0
Gabon,nonpoor,0.8,22169.855735809735,0.24289940000000002,1.1236999143178141,67640.93666182974,0.023628525002012936,0.3269905140632944,0.2000000000000001
Gabon,poor,0.2,5480.083261092064,0.08577912,0.5052003427287436,14843.875922977171,0.048917331168081744,0.6999999999999998,0.2000000000000001
Georgia,nonpoor,0.8,10746.645918586457,0.008063393,1.1283039992808772,31276.637209441596,0.06039192664612303,0.201292325,0.6000000000000002
Georgia,poor,0.2,2559.701210530023,0.01164885,0.4867840028764913,273.72806590895516,0.061080783103270184,0.5390769999999999,0.6000000000000002
Germany,nonpoor,0.8,50457.282900173435,0.6140809,1.0837380911993768,191586.44430319904,0.009803258551787954,0.24072669375,0.8000000000000004
Germany,poor,0.2,18436.20900903423,0.5265064,0.6650476352024923,40435.413940964085,0.010496115355671335,0.2999999999999999,0.8000000000000004
Ghana,nonpoor,0.8,4682.577458555625,0.2321198,1.0123396885620999,11826.389061871845,0.0037715030913859633,0.6973988599523725,0.8000000000000004
