country,hazard,rp,fa
Bhutan,surge,50.0,0.0
Bhutan,surge,100.0,0.0
Bhutan,surge,250.0,0.0
Bhutan,surge,500.0,0.0
Bhutan,surge,1000.0,0.0
Bhutan,surge,1500.0,0.0
Bhutan,surge,2000.0,0.0
Bhutan,tsunami,1.0,0.0
Bhutan,tsunami,20.0,0.0
Bhutan,tsunami,50.0,0.0
Bhutan,tsunami,100.0,0.0
Bhutan,tsunami,250.0,0.0
Bhutan,tsunami,500.0,0.0
Bhutan,tsunami,1000.0,0.0
Bhutan,tsunami,1500.0,0.0
Bhutan,tsunami,2000.0,0.0
Bhutan,wind,1.0,0.0
Bhutan,wind,20.0,0.0
Bhutan,wind,50.0,0.0
Bhutan,wind,100.0,0.0
Bhutan,wind,250.0,0.0
Bhutan,wind,500.0,0.0
Bhutan,wind,1000.0,0.0
Bhutan,wind,1500.0,0.0
Bhutan,wind,2000.0,0.0
Bolivia,earthquake,1.0,0.00174004893242
Bolivia,earthquake,20.0,0.00626686352713
Bolivia,earthquake,50.0,0.0165414815641
Bolivia,earthquake,100.0,0.0312337303191
Bolivia,earthquake,250.0,0.0616415498147
Bolivia,earthquake,500.0,0.09249790663
Bolivia,earthquake,1000.0,0.126720175078
Bolivia,earthquake,1500.0,0.145508448845
Bolivia,earthquake,2000.0,0.0
Bolivia,flood,1.0,0.00129101295918
Bolivia,flood,20.0,0.012891862269
Bolivia,flood,50.0,0.0212665117882
Bolivia,flood,100.0,0.0260015029074
Bolivia,flood,250.0,0.0294484813621
Bolivia,flood,500.0,0.0342295927444
Bolivia,flood,1000.0,0.0352595824374
Bolivia,flood,1500.0,0.0362895721304
Bolivia,flood,2000.0,8.99015353622e-16
Bolivia,surge,1.0,0.0
Bolivia,surge,20.0,0.0
Bolivia,surge,50.0,0.0
Bolivia,surge,100.0,0.0
Bolivia,surge,250.0,0.0
Bolivia,surge,500.0,0.0
Bolivia,surge,1000.0,0.0
Bolivia,surge,1500.0,0.0
Bolivia,surge,2000.0,0.0
Bolivia,tsunami,1.0,0.0
Bolivia,tsunami,20.0,0.0
Bolivia,tsunami,50.0,0.0
Bolivia,tsunami,100.0,0.0
Bolivia,tsunami,250.0,0.0
Bolivia,tsunami,500.0,0.0
Bolivia,tsunami,1000.0,0.0
Bolivia,tsunami,1500.0,0.0
Bolivia,tsunami,2000.0,0.0
Bolivia,wind,1.0,0.0
Bolivia,wind,20.0,0.0
Bolivia,wind,50.0,0.0
