country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,fa_glofris,protection,tau_tax
Dominican Republic,11795.4705790204,10403761.0,0.7898000000000001,0.6,0.5083333333333333,0.3771503990888722,3,0.2,1.5,0.06,0.8,0.05,0.03484973710414988,1.0,0.12132138201256201
Ecuador,10540.6573666533,15737878.0,0.63742,0.8,0.4583333333333333,0.25747347179967145,3,0.2,1.5,0.06,0.8,0.05,0.06925596070902182,1.0,0.17818828830274655
"Egypt, Arab Rep.",10733.488722812801,82056378.0,0.43135,0.6666666666666667,0.4583333333333333,0.4927783418827425,3,0.2,1.5,0.06,0.8,0.05,0.2004021134886876,1.0,0.11750811006569908
El Salvador,7515.082656377621,6340454.0,0.6672600000000001,0.6666666666666667,0.5083333333333333,0.13424357530792413,3,0.2,1.5,0.06,0.8,0.05,0.00899717179647867,1.0,0.17776823220480018
Estonia,25253.7672011471,1317997.0,0.67538,0.0,0.4,0.2800603915970392,3,0.2,1.5,0.06,0.8,0.05,0.01820620931891829,1.0,0.361123459231
Finland,38820.8218247281,5438972.0,0.84221,0.8666666666666666,0.8916666666666666,0.21799096857432496,3,0.2,1.5,0.06,0.8,0.05,0.02965226992345247,1.0,0.3572890730856
France,37216.8018998205,65939866.0,0.7951999999999999,0.7333333333333333,0.95,0.2234491797478895,3,0.2,1.5,0.06,0.8,0.05,0.0714014429531207,1.0,0.385449448517
Gabon,18646.3698144321,1671711.0,0.8715600000000001,0.5333333333333333,0.5916666666666667,0.3299123735952057,3,0.2,1.5,0.06,0.8,0.05,0.09396234844893878,1.0,0.12746510848534254
Georgia,6930.291380152889,4487200.0,0.53641,0.6666666666666667,0.6166666666666667,0.3632651483124993,3,0.2,1.5,0.06,0.8,0.05,0.08371570212028312,1.0,0.5660634998212936
Germany,42883.6868079517,80651873.0,0.7530100000000001,0.8,0.9166666666666667,0.27301744639675013,3,0.2,1.5,0.06,0.8,0.05,0.0720767912654576,1.0,0.40491323694729997
Ghana,3864.0307887795,25904598.0,0.54042,0.8,0.5416666666666667,0.40793501657637044,3,0.2,1.5,0.06,0.8,0.05,0.025936311688255692,1.0,0.12097573686150863
Greece,24305.0596068933,11027549.0,0.7800699999999999,0.8,0.4666666666666667,0.23679175031633581,3,0.2,1.5,0.06,0.8,0.05,0.017597576249905544,1.0,0.48930314571899997
Guatemala,7062.530674821691,15468203.0,0.51571,0.4666666666666667,0.5833333333333333,0.6475627728005022,3,0.2,1.5,0.06,0.8,0.05,0.032325331712589875,1.0,0.10915112423213616
Guinea,1212.88813283302,11745189.0,0.37161,0.6,0.3333333333333333,0.3510694892836516,3,0.2,1.5,0.06,0.8,0.05,0.02160955117769452,1.0,0.0731653252091149
Honduras,4445.2710541232,8097688.0,0.5473,0.33333333333333337,0.5666666666666667,0.3635926941047578,3,0.2,1.5,0.06,0.8,0.05,0.04325052661464394,1.0,0.13798710358389835
Hungary,22706.6118964343,9893899.0,0.7122700000000001,0.8666666666666666,0.6666666666666667,0.22126941170098394,3,0.2,1.5,0.06,0.8,0.05,0.09877804612886447,1.0,0.5576027275000001
India,5243.95705971261,1252139596.0,0.32747,0.8666666666666666,0.775,0.4525301642355351,3,0.2,1.5,0.06,0.8,0.05,0.08479572786387997,1.0,0.11920598623120797
Indonesia,9254.42217970391,249865631.0,0.53742,0.6666666666666667,0.6083333333333334,0.30997681866727844,3,0.2,1.5,0.06,0.8,0.05,0.0644947034323651,1.0,0.12573012643233533
"Iran, Islamic Rep.",15090.047220074799,77447168.0,0.73375,0.6,0.4166666666666667,0.31799517747918205,3,0.2,1.5,0.06,0.8,0.05,0.04368433750480298,1.0,0.1383892901817795
Iraq,14471.473317625,33417476.0,0.69471,0.2,0.25,0.5840924714508963,3,0.2,1.5,0.06,0.8,0.05,0.24086888785759994,1.0,0.09349521311619721
Ireland,44647.2359111421,4597558.0,0.63241,0.0,0.35,0.31125054927451323,3,0.2,1.5,0.06,0.8,0.05,0.03555792087175875,1.0,0.5064689547064
Israel,30926.8490945208,8059500.0,0.9214,0.0,0.4,0.3584782813615938,3,0.2,1.5,0.06,0.8,0.05,0.008807388501902946,1.0,0.1781559119449155
Italy,33923.5598171182,60233948.0,0.6896399999999999,0.8666666666666666,0.7166666666666667,0.2046119687179293,3,0.2,1.5,0.06,0.8,0.05,0.04766468506187956,1.0,0.4149386125365
Jamaica,8607.498562766179,2714734.0,0.54788,0.6,0.4083333333333333,0.38100911347268046,3,0.2,1.5,0.06,0.8,0.05,0.0005963410341568684,1.0,0.15380263536327926
Japan,35614.3100226829,127338621.0,0.93498,0.8,0.8166666666666667,0.21044253355545398,3,0.2,1.5,0.06,0.8,0.05,0.07320319274620732,1.0,0.2109684809648879
Jordan,11404.7388595369,6460000.0,0.8367899999999999,0.4666666666666667,0.425,0.17572272222131016,3,0.2,1.5,0.06,0.8,0.05,0.003988062543257742,1.0,0.20625207040433685
Kazakhstan,22469.6790194365,17035275.0,0.53247,0.6,0.775,0.3305707553557686,3,0.2,1.5,0.06,0.8,0.05,0.05316952191177236,1.0,0.25758499141711805
Kenya,2705.3232181398107,44353691.0,0.25622,0.8,0.5083333333333333,0.46296027315172006,3,0.2,1.5,0.06,0.8,0.05,0.018816828448511267,1.0,0.07101333133246544
Kyrgyz Republic,3109.8128288413104,5719600.0,0.35707,0.6,0.4833333333333333,0.5202256666410198,3,0.2,1.5,0.06,0.8,0.05,0.05226313149431831,1.0,0.48213060470599683
Lao PDR,4667.34005886512,6769727.0,0.38614,0.4,0.16666666666666666,0.2472988860728427,3,0.2,1.5,0.06,0.8,0.05,0.1858338961143098,1.0,0.1261460291667706
Latvia,21832.5707415661,2012647.0,0.6738200000000001,0.0,0.35,0.2393699080806075,3,0.2,1.5,0.06,0.8,0.05,0.05813304985866859,1.0,0.25437902239999993
Lesotho,2493.6137341397307,2074465.0,0.27312,0.4,0.16666666666666666,0.1992120956582078,3,0.2,1.5,0.06,0.8,0.05,0.022905123527444192,1.0,0.08183701978968558
Liberia,849.830924236094,4294077.0,0.49701000000000006,0.0,0.0,0.4725120712732518,3,0.2,1.5,0.06,0.8,0.05,0.06371096829492359,1.0,0.12053409240502042
Lithuania,24469.622500843598,2957689.0,0.66508,0.0,0.35,0.3129644244946807,3,0.2,1.5,0.06,0.8,0.05,0.08022328388743118,1.0,0.3495872976
"Macedonia, FYR",11608.968970793701,2107158.0,0.57104,0.6666666666666667,0.3333333333333333,0.2639321665831752,3,0.2,1.5,0.06,0.8,0.05,0.12060126446835667,1.0,0.26625459746796404
Madagascar,1368.63241207592,22924851.0,0.35105,0.6,0.25,0.2940729838426214,3,0.2,1.5,0.06,0.8,0.05,0.05063647963397895,1.0,0.10347469108691797
Malawi,754.981975267971,16362567.0,0.16272000000000006,0.8,0.3333333333333333,0.25307656921941635,3,0.2,1.5,0.06,0.8,0.05,0.02283077842331048,1.0,0.03921037753841354
Malaysia,22589.3714474966,29716965.0,0.74705,0.8,0.7666666666666666,0.2505940745612133,3,0.2,1.5,0.06,0.8,0.05,0.10812063479528926,1.0,0.06179009613676377
Mali,1589.1673480781,15301650.0,0.39916,0.6,0.3333333333333333,0.6438448659589122,3,0.2,1.5,0.06,0.8,0.05,0.09112497029457714,1.0,0.05073640864642166
Mauritania,2945.22956949672,3889880.0,0.59859,0.6666666666666667,0.3333333333333333,0.23810597085800642,3,0.2,1.5,0.06,0.8,0.05,0.06939216520184127,1.0,0.08652577966779466
Mexico,16290.8128214269,122332399.0,0.79246,0.5333333333333333,0.7666666666666666,0.36826304497677287,3,0.2,1.5,0.06,0.8,0.05,0.06110303858742192,1.0,0.26834065259696377
Moldova,4521.084844788111,3558566.0,0.44995,0.6,0.375,0.25670477375728673,3,0.2,1.5,0.06,0.8,0.05,0.06282175635919181,1.0,0.3484590959142324
Mongolia,9132.30570379131,2839073.0,0.7204,0.5333333333333333,0.5666666666666667,0.20767487925071607,3,0.2,1.5,0.06,0.8,0.05,0.047108300155032784,1.0,0.19638254401707594
Montenegro,14151.5411049103,621383.0,0.64026,0.0,0.175,0.3648966623915853,3,0.2,1.5,0.06,0.8,0.05,0.10630768483374672,1.0,0.28000076041694866
Morocco,6967.259245878559,33008150.0,0.60195,0.8666666666666666,0.75,0.26925696721882303,3,0.2,1.5,0.06,0.8,0.05,0.0562499278503009,1.0,0.1347079962539105
Nepal,2172.79039161762,27797457.0,0.18615,0.6,0.3333333333333333,0.2701993002713125,3,0.2,1.5,0.06,0.8,0.05,0.05837973990653034,1.0,0.34543894425971083
Netherlands,45021.1574077338,16804432.0,0.90496,0.8,0.9166666666666667,0.25251989485705195,3,0.2,1.5,0.06,0.8,0.05,0.32301091253359776,1.0,0.34042122622
Niger,886.809611289333,17831270.0,0.18732000000000001,0.6666666666666667,0.3333333333333333,0.23359231685535525,3,0.2,1.5,0.06,0.8,0.05,0.0402116515457816,1.0,0.061712206287922663
Nigeria,5422.6933427295,173615345.0,0.47776,0.8,0.5916666666666667,0.8736444729486806,3,0.2,1.5,0.06,0.8,0.05,0.03767008873400431,1.0,0.007621300998835119
Pakistan,4454.07482878434,182142594.0,0.38758,0.7333333333333333,0.5416666666666667,0.3767173581299691,3,0.2,1.5,0.06,0.8,0.05,0.07858921320019564,1.0,0.13072621298442735
Panama,18793.3933318045,3864170.0,0.66592,0.6666666666666667,0.7166666666666667,0.5402427160644628,3,0.2,1.5,0.06,0.8,0.05,0.018588993329232188,1.0,0.19396193509091042
Paraguay,7833.074001567579,6802295.0,0.5966600000000001,0.8,0.6666666666666667,0.3682732130696673,3,0.2,1.5,0.06,0.8,0.05,0.02750425862617814,1.0,0.18432749780895114
Peru,11396.493020613101,30375603.0,0.78609,0.6,0.7666666666666666,0.27019867536419195,3,0.2,1.5,0.06,0.8,0.05,0.06888750343228058,1.0,0.14527350856055085
Philippines,6326.2164238939795,98393574.0,0.4437300000000001,0.7333333333333333,0.6333333333333333,0.27365718828027585,3,0.2,1.5,0.06,0.8,0.05,0.053936886408158594,1.0,0.22593539358259748
Poland,22835.2204608088,38514479.0,0.60539,0.6,0.7916666666666667,0.41320263199936846,3,0.2,1.5,0.06,0.8,0.05,0.057824445643935886,1.0,0.49661923089999993
Romania,18184.1097333037,19981358.0,0.5456399999999999,0.6,0.6916666666666667,0.2677480378213938,3,0.2,1.5,0.06,0.8,0.05,0.07368380748817263,1.0,0.42337980070000003
Russian Federation,23564.2077363646,143499861.0,0.7400800000000001,0.0,0.25,0.3491630039272151,3,0.2,1.5,0.06,0.8,0.05,0.042546421105607364,1.0,0.261813236273846
Rwanda,1426.36628762623,11776522.0,0.28811,0.8,0.4833333333333333,0.712577817249879,3,0.2,1.5,0.06,0.8,0.05,0.039113916642515366,1.0,0.023583534993565563
Senegal,2170.07720699017,14133280.0,0.43721,0.6666666666666667,0.5083333333333333,0.22621011201636318,3,0.2,1.5,0.06,0.8,0.05,0.02929216907597723,1.0,0.21143304711144154
Serbia,12892.4963006621,7164132.0,0.5555300000000001,0.6,0.5083333333333333,0.2201204533701086,3,0.2,1.5,0.06,0.8,0.05,0.10955615626018066,1.0,0.2969229320267809
Sierra Leone,1494.64854833896,6092075.0,0.39942,0.7333333333333333,0.3333333333333333,0.4068659912801502,3,0.2,1.5,0.06,0.8,0.05,0.051476908048758346,1.0,0.03835775955307328
Slovak Republic,25758.862634894904,5413393.0,0.53598,0.7333333333333333,0.625,0.30590188604179597,3,0.2,1.5,0.06,0.8,0.05,0.14760856848130152,1.0,0.3929971789966
Slovenia,27368.1720259118,2059953.0,0.4965,0.8666666666666666,0.6916666666666667,0.2213378830398852,3,0.2,1.5,0.06,0.8,0.05,0.1094184334155629,1.0,0.363989556475
South Africa,12454.1909220073,53157490.0,0.6480100000000001,0.7333333333333333,0.7166666666666667,0.41221819094326817,3,0.2,1.5,0.06,0.8,0.05,0.01739097661390025,1.0,0.10659646183321776
Spain,31682.6447411771,46617825.0,0.7957899999999999,0.8,0.7166666666666667,0.18299929671374224,3,0.2,1.5,0.06,0.8,0.05,0.044690329736260935,1.0,0.4336614241722
Sri Lanka,9425.73738258594,20483000.0,0.18356,0.6666666666666667,0.5083333333333333,0.33796080258900235,3,0.2,1.5,0.06,0.8,0.05,0.06235160323157399,1.0,0.08129921148931177
Sudan,3264.77297794563,37964306.0,0.33806,0.6666666666666667,0.3333333333333333,0.9487533644538989,3,0.2,1.5,0.06,0.8,0.05,0.10540888065744397,1.0,0.059738361331924096
Swaziland,6470.88419034393,1249514.0,0.21308000000000005,0.6,0.4166666666666667,0.19038060692098577,3,0.2,1.5,0.06,0.8,0.05,0.022691869071206704,1.0,0.10955794020641903
Sweden,43540.494391932596,9600379.0,0.85815,0.7333333333333333,0.9166666666666667,0.357367643802592,3,0.2,1.5,0.06,0.8,0.05,0.03404651566690384,1.0,0.35822832046799996
Syrian Arab Republic,4959.392523364486,22845550.0,0.5765600000000001,0.6666666666666667,0.3333333333333333,0.270750756517352,3,0.2,1.5,0.06,0.8,0.05,0.05528907896355716,1.0,0.11658977550460248
Tajikistan,2431.65906854526,8207834.0,0.26781999999999995,0.6,0.3333333333333333,0.3854263244630784,3,0.2,1.5,0.06,0.8,0.05,0.07494478340376348,1.0,0.23509852414132776
Tanzania,2364.7027567607893,49253126.0,0.31608,0.6666666666666667,0.3333333333333333,0.41320436712274966,3,0.2,1.5,0.06,0.8,0.05,0.01994023261418108,1.0,0.05508715963438852
Thailand,13931.811471326699,67010502.0,0.50374,0.6666666666666667,0.7416666666666667,0.24033636299972685,3,0.2,1.5,0.06,0.8,0.05,0.17032805698914133,1.0,0.496683847729024
Togo,1345.9142762919698,6816982.0,0.39964,0.2,0.25,0.3708920312086315,3,0.2,1.5,0.06,0.8,0.05,0.02331605318040952,1.0,0.0049418420227448105
Turkey,18567.1347101229,74932641.0,0.7339699999999999,0.8666666666666666,0.6916666666666667,0.4121669094199699,3,0.2,1.5,0.06,0.8,0.05,0.029053408461022487,1.0,0.20902863839507538
Uganda,1620.57693909325,37578876.0,0.16101,0.6666666666666667,0.5916666666666667,0.5735745521051661,3,0.2,1.5,0.06,0.8,0.05,0.005528611190306575,1.0,0.13979308297109444
Ukraine,8508.01478731021,45489600.0,0.69695,0.0,0.05,0.2458541924399426,3,0.2,1.5,0.06,0.8,0.05,0.03942413210103664,1.0,0.3205803170794824
United Kingdom,36931.4742257195,64106779.0,0.8259200000000001,0.8,0.8916666666666666,0.30312817474804055,3,0.2,1.5,0.06,0.8,0.05,0.03970236878830578,1.0,0.42981128801039997
United States,51340.4876279117,316128839.0,0.8161700000000001,0.7333333333333333,0.9166666666666667,0.3187368533465751,3,0.2,1.5,0.06,0.8,0.05,0.03695696893703195,1.0,0.11538000000000001
Uruguay,18965.8165353822,3407062.0,0.95311,0.6666666666666667,0.6333333333333333,0.29188665397068997,3,0.2,1.5,0.06,0.8,0.05,0.017541884117561222,1.0,0.2125739772251163
Uzbekistan,5002.14912007417,30243200.0,0.36365,0.0,0.0,0.730183656731034,3,0.2,1.5,0.06,0.8,0.05,0.04642191618416965,1.0,0.2438273564246102
"Venezuela, RB",17614.5982099448,30405207.0,0.8898999999999999,0.0,0.05,0.3131698078545005,3,0.2,1.5,0.06,0.8,0.05,0.03348260034475498,1.0,0.10523654069336187
Vietnam,5124.60351980227,89708900.0,0.3359300000000001,0.5333333333333333,0.5916666666666667,0.2697045509948559,3,0.2,1.5,0.06,0.8,0.05,0.21090055076081826,1.0,0.2473288002342341
"Yemen, Rep.",3832.28473991896,24407381.0,0.34606000000000003,0.33333333333333337,0.16666666666666666,0.2191314756601725,3,0.2,1.5,0.06,0.8,0.05,0.01983274670164713,1.0,0.0807873653534856
Zambia,3799.54043558048,14538640.0,0.40922,0.8666666666666666,0.5416666666666667,0.425750249346411,3,0.2,1.5,0.06,0.8,0.05,0.01859221189872716,1.0,0.10816905053638778
