country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Denmark,43415.229417,5676002.0,0.87676,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.916666666667,0.230106064028,1.0,0.380926986938
Djibouti,3120.044328,887861.0,0.77343,4,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.260598620673,1.0,0.0942011263431
Dominican Republic,13374.9087463,10528391.0,0.7898,4,0.2,1.5,0.06,0.8,0.05,0.6,0.508333333333,0.377150399089,1.0,0.123134557493
Ecuador,10717.598615,16144363.0,0.63742,4,0.2,1.5,0.06,0.8,0.05,0.8,0.458333333333,0.2574734718,1.0,0.187687571352
"Egypt, Arab Rep.",10249.9579136,91508084.0,0.43135,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.458333333333,0.492778341883,1.0,0.117508110066
El Salvador,8095.55898404,6126583.0,0.66726,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.508333333333,0.134243575308,1.0,0.196495461825
Estonia,26929.6640353,1311998.0,0.67538,4,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.280060391597,1.0,0.361123459231
Ethiopia,1529.89378255,99390750.0,0.19472,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.591666666667,0.378116165384,1.0,0.0990352517545
Finland,38642.8123509,5482013.0,0.84221,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.891666666667,0.217990968574,1.0,0.357879260316
France,37305.6906169,66808385.0,0.7952,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.95,0.223449179748,1.0,0.38543741446
Gabon,18831.9012409,1725292.0,0.87156,4,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.591666666667,0.329912373595,1.0,0.126259955902
Georgia,9109.25697698,3679000.0,0.53641,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.616666666667,0.363265148312,1.0,0.567560826793
Germany,44053.0681219,81413145.0,0.75301,4,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.273017446397,1.0,0.405121610737
Ghana,3953.21018029,27409893.0,0.54042,4,0.2,1.5,0.06,0.8,0.05,0.8,0.541666666667,0.407935016576,1.0,0.172446025979
Greece,24617.037327,10823732.0,0.78007,4,0.2,1.5,0.06,0.8,0.05,0.8,0.466666666667,0.236791750316,1.0,0.490310520921
Guatemala,7252.94996595,16342897.0,0.51571,4,0.2,1.5,0.06,0.8,0.05,0.466666666667,0.583333333333,0.647562772801,1.0,0.0392574886395
Guinea,1135.48654988,12608590.0,0.37161,4,0.2,1.5,0.06,0.8,0.05,0.6,0.333333333333,0.351069489284,1.0,0.0731594936374
Haiti,1658.41320281,10711067.0,0.58645,4,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.25,0.133366953773,1.0,0.0142581898324
Honduras,4785.08630117,8075060.0,0.5473,4,0.2,1.5,0.06,0.8,0.05,0.333333333333,0.566666666667,0.363592694105,1.0,0.138792027004
Hungary,24474.4888457,9844686.0,0.71227,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.666666666667,0.221269411701,1.0,0.555862906
India,5730.13750492,1311050527.0,0.32747,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.775,0.452530164236,1.0,0.118900319585
Indonesia,10385.3233229,257563815.0,0.53742,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.608333333333,0.309976818667,1.0,0.125730126432
"Iran, Islamic Rep.",16507.0242481,79109272.0,0.73375,4,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.317995177479,1.0,0.138940899691
Iraq,14017.7737872,36423395.0,0.69471,4,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.584092471451,1.0,0.113976777353
Ireland,51899.1998927,4640703.0,0.63241,4,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.311250549275,1.0,0.506802945696
Israel,31670.6943226,8380400.0,0.9214,4,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.358478281362,1.0,0.178155911945
Italy,33587.1226357,60802085.0,0.68964,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.716666666667,0.204611968718,1.0,0.414968294448
Jamaica,8528.89633309,2725941.0,0.54788,4,0.2,1.5,0.06,0.8,0.05,0.6,0.408333333333,0.381009113473,1.0,0.153719274383
Japan,35804.2311969,126958472.0,0.93498,4,0.2,1.5,0.06,0.8,0.05,0.8,0.816666666667,0.210442533555,1.0,0.210968480965
Jordan,10239.6642755,7594547.0,0.83679,4,0.2,1.5,0.06,0.8,0.05,0.466666666667,0.425,0.175722722221,1.0,0.206234073595
Kazakhstan,24352.8461999,17544126.0,0.53247,4,0.2,1.5,0.06,0.8,0.05,0.6,0.775,0.330570755356,1.0,0.0489670431235
Kenya,2901.01294131,46050302.0,0.25622,4,0.2,1.5,0.06,0.8,0.05,0.8,0.508333333333,0.462960273152,1.0,0.0710404768772
Kyrgyz Republic,3224.87761342,5957000.0,0.35707,4,0.2,1.5,0.06,0.8,0.05,0.6,0.483333333333,0.520225666641,1.0,0.275060454363
Lao PDR,5341.30791964,6802023.0,0.38614,4,0.2,1.5,0.06,0.8,0.05,0.4,0.166666666667,0.247298886073,1.0,0.126501937731
Latvia,22628.4372652,1978440.0,0.67382,4,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.239369908081,1.0,0.2547650484
Lesotho,2517.01021009,2135022.0,0.27312,4,0.2,1.5,0.06,0.8,0.05,0.4,0.166666666667,0.199212095658,1.0,0.0818370197897
Liberia,786.916696961,4503438.0,0.49701,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.472512071273,1.0,0.125700623113
Lithuania,26396.8680795,2910199.0,0.66508,4,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.312964424495,1.0,0.3470070992
Luxembourg,93552.6043536,569676.0,0.9016,4,0.2,1.5,0.06,0.8,0.05,0.0,0.5,0.247230660386,1.0,0.386939440841
"Macedonia, FYR",12724.6752816,2078453.0,0.57104,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.333333333333,0.263932166583,1.0,0.266186659141
Madagascar,1373.34402275,24235390.0,0.35105,4,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.294072983843,1.0,0.0927801721504
Malawi,1112.98730188,17215232.0,0.16272,4,0.2,1.5,0.06,0.8,0.05,0.8,0.333333333333,0.253076569219,1.0,0.0233171837768
Malaysia,25308.0193048,30331007.0,0.74705,4,0.2,1.5,0.06,0.8,0.05,0.8,0.766666666667,0.250594074561,1.0,0.0618079784234
Mali,2285.3072165,17599694.0,0.39916,4,0.2,1.5,0.06,0.8,0.05,0.6,0.333333333333,0.643844865959,1.0,0.0507364086464
Mauritania,3693.54204123,4067564.0,0.59859,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.333333333333,0.238105970858,1.0,0.0864596825444
Mauritius,18333.4202034,1262605.0,0.39671,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.741666666667,0.294812791693,1.0,0.333311272076
Mexico,16501.9411019,127017224.0,0.79246,4,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.766666666667,0.368263044977,1.0,0.276433554275
Moldova,4741.82460255,3554150.0,0.44995,4,0.2,1.5,0.06,0.8,0.05,0.6,0.375,0.256704773757,1.0,0.368979633384
Mongolia,11470.9048574,2959134.0,0.7204,4,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.566666666667,0.207674879251,1.0,0.23075889586
Montenegro,15010.4849683,622388.0,0.64026,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.364896662392,1.0,0.333660819628
Morocco,7360.85645687,34377511.0,0.60195,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.75,0.269256967219,1.0,0.134736154606
Namibia,9800.77994661,2458830.0,0.4666,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.608333333333,0.27517268198,1.0,0.136362602592
Nepal,2313.392778,28513700.0,0.18615,4,0.2,1.5,0.06,0.8,0.05,0.6,0.333333333333,0.270199300271,1.0,0.345210197213
Netherlands,46374.3682665,16936520.0,0.90496,4,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.252519894857,1.0,0.340921112134
Nicaragua,4884.15076073,6082032.0,0.58779,4,0.2,1.5,0.06,0.8,0.05,0.6,0.483333333333,0.299517118673,1.0,0.133075028777
Niger,897.395320524,19899120.0,0.18732,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.333333333333,0.233592316855,1.0,0.0617130284904
Nigeria,5638.88737885,182201962.0,0.47776,4,0.2,1.5,0.06,0.8,0.05,0.8,0.591666666667,0.873644472949,1.0,0.0110611768417
Norway,64450.5386116,5195921.0,0.80473,4,0.2,1.5,0.06,0.8,0.05,0.8,1.0,0.335951687348,1.0,0.315200031746
Pakistan,4744.84861665,188924874.0,0.38758,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.541666666667,0.37671735813,1.0,0.130485977165
Panama,20885.3394472,3929141.0,0.66592,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.716666666667,0.540242716064,1.0,0.117009745472
Paraguay,8643.68763276,6639123.0,0.59666,4,0.2,1.5,0.06,0.8,0.05,0.8,0.666666666667,0.36827321307,1.0,0.151099594357
Peru,11672.1423451,31376670.0,0.78609,4,0.2,1.5,0.06,0.8,0.05,0.6,0.766666666667,0.270198675364,1.0,0.200111538303
Philippines,6925.52132355,100699395.0,0.44373,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.633333333333,0.27365718828,1.0,0.225923356533
Poland,24835.8980444,37999494.0,0.60539,4,0.2,1.5,0.06,0.8,0.05,0.6,0.791666666667,0.413202631999,1.0,0.4967671843
Portugal,26690.0648212,10348648.0,0.63468,4,0.2,1.5,0.06,0.8,0.05,0.8,0.666666666667,0.190242267405,1.0,0.46200575272
Romania,19925.5385548,19832389.0,0.54564,4,0.2,1.5,0.06,0.8,0.05,0.6,0.691666666667,0.267748037821,1.0,0.4233798007
Russian Federation,23895.3410009,144096812.0,0.74008,4,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.349163003927,1.0,0.260069431049
Rwanda,1655.17535546,11609666.0,0.28811,4,0.2,1.5,0.06,0.8,0.05,0.8,0.483333333333,0.71257781725,1.0,0.0766651394405
Senegal,2287.66844827,15129273.0,0.43721,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.508333333333,0.226210112016,1.0,0.211412239301
Serbia,12863.0793054,7098247.0,0.55553,4,0.2,1.5,0.06,0.8,0.05,0.6,0.508333333333,0.22012045337,1.0,0.370594700801
Sierra Leone,1496.94416821,6453184.0,0.39942,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.333333333333,0.40686599128,1.0,0.0299307644973
Slovak Republic,27394.1973817,5424050.0,0.53598,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.625,0.305901886042,1.0,0.392993085148
Slovenia,28941.8658619,2063768.0,0.4965,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.691666666667,0.22133788304,1.0,0.363120769225
South Africa,12389.9568144,54956920.3742,0.64801,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.716666666667,0.412218190943,1.0,0.168543964878
Spain,32814.4520741,46418269.0,0.79579,4,0.2,1.5,0.06,0.8,0.05,0.8,0.716666666667,0.182999296714,1.0,0.434000150819
Sri Lanka,11047.6669723,20966000.0,0.18356,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.508333333333,0.337960802589,1.0,0.088155196749
Sudan,3927.48829377,40234882.0,0.33806,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.333333333333,0.948753364454,1.0,0.0597319509487
Swaziland,7930.35812632,1286970.0,0.21308,4,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.190380606921,1.0,0.109525768236
Sweden,45296.4561785,9798871.0,0.85815,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.916666666667,0.357367643803,1.0,0.357333954955
Switzerland,55111.9769299,8286976.0,0.73912,4,0.2,1.5,0.06,0.8,0.05,0.933333333333,1.0,0.283085400036,1.0,0.319171683253
Syrian Arab Republic,4959.39252336,18502413.0,0.57656,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.333333333333,0.270750756517,1.0,0.116613069058
Tajikistan,2616.19127205,8481855.0,0.26782,4,0.2,1.5,0.06,0.8,0.05,0.6,0.333333333333,0.385426324463,1.0,0.235098524141
Tanzania,2510.23505744,53470420.0,0.31608,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.333333333333,0.413204367123,1.0,0.0764790815616
Thailand,15345.3555945,67959359.0,0.50374,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.741666666667,0.240336363,1.0,0.271786369954
Togo,1373.84086961,7304578.0,0.39964,4,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.370892031209,1.0,0.0940849437378
Tunisia,10726.142315,11107800.0,0.66842,4,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.533333333333,0.249265643269,1.0,0.144430652771
Turkey,18958.62498,78665830.0,0.73397,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.691666666667,0.41216690942,1.0,0.209028638395
Uganda,1717.82920618,39032383.0,0.16101,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.591666666667,0.573574552105,1.0,0.103435719015
Ukraine,7449.76798537,45198200.0,0.69695,4,0.2,1.5,0.06,0.8,0.05,0.0,0.05,0.24585419244,1.0,0.405491149535
United Kingdom,38657.7882731,65138232.0,0.82592,4,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.303128174748,1.0,0.434506875535
United States,52549.0065191,321418820.0,0.81617,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.916666666667,0.318736853347,1.0,0.11754
Uruguay,19952.2532472,3431555.0,0.95311,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.633333333333,0.291886653971,1.0,0.390834513207
Uzbekistan,5642.82357779,31299500.0,0.36365,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.730183656731,1.0,0.243779315913
"Venezuela, RB",15602.892366,31108083.0,0.8899,4,0.2,1.5,0.06,0.8,0.05,0.0,0.05,0.313169807855,1.0,0.104892240212
Vietnam,5667.99805142,91703800.0,0.33593,4,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.591666666667,0.269704550995,1.0,0.151113702636
West Bank and Gaza,4714.92462082,4422143.0,0.75252,4,0.2,1.5,0.06,0.8,0.05,0.466666666667,0.166666666667,0.283913633609,1.0,0.0469554629914
"Yemen, Rep.",3663.30782947,26832215.0,0.34606,4,0.2,1.5,0.06,0.8,0.05,0.333333333333,0.166666666667,0.21913147566,1.0,0.0807810896493
Zambia,3625.80642594,16211767.0,0.40922,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.541666666667,0.425750249346,1.0,0.0892315784855
