country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,fa_glofris,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
France,37216.801899821,65939866.000000000,0.795200000,0.733333333,0.950000000,0.223449180,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.071401443,1.000000000,0.439990734,1.154404558,65.323110910,4307397180.079728127,0.000000187,12.322402243,5.384694183,2.632421300,186084.009499102,65.323110910,75.409297002,75.409297002,65.323110910,0.000000187,0.001819958,5.000000000,5.384694183,5.384694183,832780.007109693,3.397303180,4.000000000,2.263836950,1.528000000,1.283520000,91.280114182,6018998497.607879639,0.002452659,0.715633536,0.001755205
Gabon,18646.369814432,1671711.000000000,0.871560000,0.533333333,0.591666667,0.329912374,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.093962348,1.000000000,0.139940459,1.254976507,123.155522379,205880441.471214324,0.000001673,2.797222624,6.145320493,0.544830930,93231.849072160,123.155522379,154.557287235,154.557287235,123.155522379,0.000001673,0.007148310,5.000000000,6.145320493,6.145320493,282595.793713859,3.389868266,0.800000000,0.761934005,2.007962056,1.943707270,289.891702465,484615147.819301963,0.015546817,0.424832865,0.006604799
Georgia,6930.291380153,4487200.000000000,0.536410000,0.666666667,0.616666667,0.363265148,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.083715702,1.000000000,0.567623199,1.286483673,66.039247688,296331312.226769805,0.000002466,11.067192679,0.119574694,0.067084004,34651.456900764,66.039247688,84.958413902,84.958413902,66.039247688,0.000002466,0.017578978,5.000000000,0.119574694,0.119574694,95388.883469095,3.373921253,2.400000000,3.161153150,1.344246300,1.215198655,96.819704367,434449377.433615923,0.013970510,0.682084790,0.009529072
Germany,42883.686807952,80651873.000000000,0.753010000,0.800000000,0.916666667,0.273017446,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.072076791,1.000000000,0.456778626,1.201229916,42.196595031,3403234423.509533405,0.000000090,7.268669050,1.576029411,2.625937300,214418.434039758,42.196595031,50.687812312,50.687812312,42.196595031,0.000000090,0.001200095,5.000000000,1.576029411,1.576029411,785365.319578020,3.398244295,3.200000000,2.439663482,1.262906775,1.101254708,54.444318333,4391036247.736526489,0.001269581,0.775041296,0.000983978
Ghana,3864.030788779,25904598.000000000,0.540420000,0.800000000,0.541666667,0.407935017,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.025936312,1.000000000,0.143973459,1.328681690,6.900602816,178757341.909361809,0.000000693,17.953465221,0.132823184,1.006222830,19320.153943897,6.900602816,9.168704610,9.168704610,6.900602816,0.000000693,0.001280659,5.000000000,0.132823184,0.132823184,47360.861801087,3.398151609,3.200000000,0.780923545,3.489595440,3.042927224,11.326592236,293410818.594463170,0.002931289,0.609239096,0.001785856
Greece,24305.059606893,11027549.000000000,0.780070000,0.800000000,0.466666667,0.236791750,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.017597576,1.000000000,0.513334476,1.167008805,458.023356510,5050875007.053340912,0.000002919,32.189892691,28.498844269,1.121221300,121525.298034467,458.023356510,534.517289790,534.517289790,458.023356510,0.000002919,0.027013304,5.000000000,28.498844269,28.498844269,513215.928646661,3.362483250,4.000000000,2.482804892,1.013277210,0.851152856,752.716987251,8300623460.041708946,0.030969559,0.608493450,0.018844774
Guatemala,7062.530674822,15468203.000000000,0.515710000,0.466666667,0.583333333,0.647562773,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.032325332,1.000000000,0.122313580,1.555049408,46.600233436,720821870.630229712,0.000004700,72.694823789,1.787607415,0.592464150,35312.653374108,46.600233436,72.465665417,72.465665417,46.600233436,0.000004700,0.036976733,5.000000000,1.787607415,1.787607415,54531.629762150,3.340007327,1.600000000,0.697373893,0.983710645,0.920753164,189.788825831,2935692085.081090927,0.026872637,0.245537287,0.006598234
Guinea,1212.888132833,11745189.000000000,0.371610000,0.600000000,0.333333333,0.351069489,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.021609551,1.000000000,0.075611601,1.274962872,5.380346852,63193190.665897436,0.000002960,34.762141941,0.086779603,0.114446690,6064.440664165,5.380346852,6.859742477,6.859742477,5.380346852,0.000002960,0.002651276,5.000000000,0.086779603,0.086779603,17274.188869387,3.395868232,2.400000000,0.340969761,3.440000000,3.109760000,8.506477720,99910188.545199051,0.007013407,0.632499964,0.004435979
Honduras,4445.271054123,8097688.000000000,0.547300000,0.333333333,0.566666667,0.363592694,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.043250527,1.000000000,0.149597295,1.286793093,123.862851890,1003002729.395553708,0.000013225,107.095952576,0.753479028,0.515344100,22226.355270616,123.862851890,159.385862332,159.385862332,123.862851890,0.000013225,0.025850245,5.000000000,0.753479028,0.753479028,61129.818148140,3.355016082,1.600000000,0.848594657,2.265503316,2.120511104,266.701050960,2159661899.944933414,0.059996578,0.464425811,0.027863959
Hungary,22706.611896434,9893899.000000000,0.712270000,0.866666667,0.666666667,0.221269412,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.098778046,1.000000000,0.578906081,1.152345410,210.356447726,2081245447.800949812,0.000001132,11.201461565,3.083885912,0.987598700,113533.059482172,210.356447726,242.403286990,242.403286990,210.356447726,0.000001132,0.005938057,5.000000000,3.083885912,3.083885912,513098.754181153,3.392217125,4.000000000,3.113916870,2.440420000,2.049952800,263.571386340,2607748675.739644527,0.011607693,0.798100472,0.009264105
